month,trades_closed,wins,net_usd,commission_usd,swap_usd,opening_balance,closing_balance,return_on_opening_balance_pct,partial_calendar_month
2021-09,0,0,0,0,0,10000.0,10000.0,0.0,True
2021-10,5,4,299.37,-11.17,0.0,10000.0,10299.37,2.9937,False
2021-11,1,0,-107.98,-3.63,0.0,10299.37,10191.39,-1.0484136408343423,False
2021-12,2,2,202.17,-5.39,0.0,10191.39,10393.56,1.9837333278384988,False
2022-01,3,0,-323.98,-7.6,0.0,10393.56,10069.58,-3.1171225258717894,False
2022-02,1,1,102.88,-1.1,0.0,10069.58,10172.46,1.0216910735105136,False
2022-03,0,0,0,0,0,10172.46,10172.46,0.0,False
2022-04,3,1,-63.93,-3.31,0.0,10172.46,10108.53,-0.6284615520729498,False
2022-05,1,1,97.77,-3.96,0.0,10108.53,10206.3,0.9672029464224768,False
2022-06,0,0,0,0,0,10206.3,10206.3,0.0,False
2022-07,0,0,0,0,0,10206.3,10206.3,0.0,False
2022-08,1,1,100.68,-1.82,0.0,10206.3,10306.98,0.986449545868728,False
2022-09,0,0,0,0,0,10306.98,10306.98,0.0,False
2022-10,1,1,38.34,-0.99,0.0,10306.98,10345.32,0.37198092942840677,False
2022-11,2,1,-4.93,-3.52,0.0,10345.32,10340.39,-0.04765439831730682,False
2022-12,5,3,88.02,-15.03,0.0,10340.39,10428.41,0.8512251472139833,False
2023-01,3,1,-115.63,-7.54,0.0,10428.41,10312.78,-1.1087979855030632,False
2023-02,0,0,0,0,0,10312.78,10312.78,0.0,False
2023-03,4,3,209.9,-5.24,0.0,10312.78,10522.68,2.035338676865015,False
2023-04,3,1,-121.62,-11.61,0.0,10522.68,10401.06,-1.155789209592993,False
2023-05,2,1,-2.21,-3.14,0.0,10401.06,10398.85,-0.02124783435534449,False
2023-06,0,0,0,0,0,10398.85,10398.85,0.0,False
2023-07,1,1,102.1,-3.63,0.0,10398.85,10500.95,0.9818393380037214,False
2023-08,0,0,0,0,0,10500.95,10500.95,0.0,False
2023-09,1,1,101.6,-4.07,0.0,10500.95,10602.55,0.9675315090539425,False
2023-10,0,0,0,0,0,10602.55,10602.55,0.0,False
2023-11,1,1,106.25,-2.37,0.0,10602.55,10708.8,1.0021174151501286,False
2023-12,2,1,-7.61,-5.17,0.0,10708.8,10701.19,-0.07106305094875241,False
2024-01,1,1,106.96,-1.93,0.0,10701.19,10808.15,0.9995150072094784,False
2024-02,2,1,-7.88,-8.31,0.0,10808.15,10800.27,-0.0729079444678321,False
2024-03,3,1,-116.51,-5.4,0.0,10800.27,10683.76,-1.0787693270631196,False
2024-04,4,4,336.57,-5.84,-5.35,10683.76,11020.33,3.150295401618905,False
2024-05,0,0,0,0,0,11020.33,11020.33,0.0,False
2024-06,0,0,0,0,0,11020.33,11020.33,0.0,False
2024-07,5,4,219.14,-9.2,-105.91,11020.33,11239.47,1.9885066962604565,False
2024-08,5,3,207.02,-8.37,-12.84,11239.47,11446.49,1.8419017978605752,False
2024-09,2,1,-10.91,-6.5,0.0,11446.49,11435.58,-0.09531306103443059,False
2024-10,3,1,-88.49,-5.84,-29.42,11435.58,11347.09,-0.7738129592027688,False
2024-11,1,0,-115.98,-1.21,0.0,11347.09,11231.11,-1.0221122772446503,False
2024-12,0,0,0,0,0,11231.11,11231.11,0.0,False
2025-01,5,3,112.76,-9.19,0.0,11231.11,11343.87,1.0039969335177021,False
2025-02,3,1,-124.01,-3.3,0.0,11343.87,11219.86,-1.0931895376092988,False
2025-03,4,3,171.7,-6.28,0.0,11219.86,11391.56,1.530322125231509,False
2025-04,2,1,-9.03,-1.65,0.0,11391.56,11382.53,-0.07926921334742562,False
2025-05,1,1,119.22,-1.05,0.0,11382.53,11501.75,1.0473945599089127,False
2025-06,1,1,117.09,-0.94,0.0,11501.75,11618.84,1.0180189971091353,False
2025-07,0,0,0,0,0,11618.84,11618.84,0.0,False
2025-08,1,1,116.89,-0.77,0.0,11618.84,11735.73,1.0060384685562413,False
2025-09,4,0,-480.97,-6.12,0.0,11735.73,11254.76,-4.0983390040500245,False
2025-10,7,6,616.39,-4.53,0.0,11254.76,11871.15,5.476704967498195,False
2025-11,2,2,242.25,-1.16,0.0,11871.15,12113.4,2.040661603972656,False
2025-12,5,0,-534.05,-4.46,0.0,12113.4,11579.35,-4.408753941915563,False
2026-01,0,0,0,0,0,11579.35,11579.35,0.0,False
2026-02,1,0,-136.34,-0.33,0.0,11579.35,11443.01,-1.1774408753513796,False
2026-03,1,0,-128.92,-0.5,0.0,11443.01,11314.09,-1.1266266480585088,False
2026-04,4,2,81.79,-2.1,0.0,11314.09,11395.88,0.7229039189187995,False
2026-05,1,1,117.24,-0.66,0.0,11395.88,11513.12,1.0287928619816984,False
2026-06,0,0,0,0,0,11513.12,11513.12,0.0,False
2026-07,1,1,120.26,-0.44,0.0,11513.12,11633.38,1.0445474380532815,False
2026-08,4,4,487.8,-2.92,0.0,11633.38,12121.18,4.193106388684972,False
2026-09,0,0,0,0,0,12121.18,12121.18,0.0,True
