key,value
first_tick,2021.09.05 22:05:00
last_tick,2021.09.16 12:31:00
first_closed_double,
first_equity_double,
first_stopout,
first_blocked,
initial_balance,3000.00000000
final_balance,-299.78000000
final_equity,-299.78000000
max_equity,3521.64000000
min_equity,-711.51000000
max_equity_dd_pct,120.20393907
max_equity_dd_cash,4233.15000000
max_total_lots,2.54000000
max_single_lot,1.28000000
max_legs,7.00000000
entries,7.00000000
baskets_closed,0.00000000
blocked_events,0.00000000
daily_targets_reached,0.00000000
leverage,2000.00000000
margin_mode,2.00000000
stopout_mode,0.00000000
margin_call,30.00000000
stopout,0.00000000
contract_size,100.00000000
min_margin_level,-315.13420144
open_legs_at_deinit,7.00000000
