deal,time,time_msc,symbol,position_id,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2025.09.05 00:00:00,1757030400000,,0,2,0,0,0.0,0.0,3000.0,0.0,0.0,0.0,
2,2025.09.05 00:00:00,1757030400001,XAUUSD,2,0,0,3,0.02,3552.649,0.0,-0.11,0.0,0.0,GRID|1|0
3,2025.09.05 12:30:28,1757075428334,XAUUSD,2,1,1,3,0.02,3562.706,20.11,0.0,0.0,0.0,
4,2025.09.05 12:30:28,1757075428396,XAUUSD,4,0,0,3,0.02,3562.816,0.0,-0.11,0.0,0.0,GRID|2|0
5,2025.09.05 12:30:42,1757075442408,XAUUSD,4,1,1,3,0.02,3572.871,20.11,0.0,0.0,0.0,
6,2025.09.05 12:30:42,1757075442470,XAUUSD,6,0,0,3,0.02,3572.981,0.0,-0.11,0.0,0.0,GRID|3|0
7,2025.09.05 12:33:42,1757075622932,XAUUSD,6,1,1,3,0.02,3582.992,20.02,0.0,0.0,0.0,
8,2025.09.05 12:33:42,1757075622966,XAUUSD,8,0,0,3,0.02,3583.042,0.0,-0.11,0.0,0.0,GRID|4|0
9,2025.09.05 12:47:40,1757076460497,XAUUSD,9,0,0,3,0.04,3573.042,0.0,-0.22,0.0,0.0,GRID|4|1
10,2025.09.05 13:00:42,1757077242806,XAUUSD,8,1,1,3,0.02,3583.053,0.03,0.0,0.0,0.0,
11,2025.09.05 13:00:42,1757077242807,XAUUSD,9,1,1,3,0.04,3583.053,40.04,0.0,0.0,0.0,
12,2025.09.05 13:00:42,1757077242866,XAUUSD,12,0,0,3,0.02,3583.102,0.0,-0.11,0.0,0.0,GRID|5|0
13,2025.09.05 13:51:41,1757080301978,XAUUSD,12,1,1,3,0.02,3593.105,20.01,0.0,0.0,0.0,
14,2025.09.05 13:51:42,1757080302092,XAUUSD,14,0,0,3,0.02,3593.159,0.0,-0.11,0.0,0.0,GRID|6|0
15,2025.09.05 14:28:21,1757082501077,XAUUSD,15,0,0,3,0.04,3583.146,0.0,-0.22,0.0,0.0,GRID|6|1
16,2025.09.05 15:43:29,1757087009694,XAUUSD,14,1,1,3,0.02,3593.18,0.04,0.0,0.0,0.0,
17,2025.09.05 15:43:29,1757087009695,XAUUSD,15,1,1,3,0.04,3593.18,40.14,0.0,0.0,0.0,
18,2025.09.05 15:43:30,1757087010001,XAUUSD,18,0,0,3,0.02,3593.248,0.0,-0.11,0.0,0.0,GRID|7|0
19,2025.09.08 03:49:36,1757303376757,XAUUSD,19,0,0,3,0.04,3583.24,0.0,-0.22,0.0,0.0,GRID|7|1
20,2025.09.08 06:13:29,1757312009295,XAUUSD,18,1,1,3,0.02,3593.264,0.03,0.0,-1.07,0.0,
21,2025.09.08 06:13:29,1757312009296,XAUUSD,19,1,1,3,0.04,3593.264,40.1,0.0,0.0,0.0,
