Month,Net profit,Closed-balance DD,Stressed DD x1.25,Stressed DD % of $100k
2025-01,727.57,2005.28,2506.6,2.5066
2025-02,1134.41,1395.69,1744.61,1.7446
2025-03,-585.07,1742.88,2178.6,2.1786
2025-04,48.87,2809.98,3512.47,3.5125
2025-05,4352.34,939.69,1174.61,1.1746
2025-06,2598.83,739.23,924.04,0.924
2025-07,-348.88,2291.84,2864.8,2.8648
2025-08,1647.7,1121.41,1401.76,1.4018
2025-09,4022.69,714.24,892.8,0.8928
2025-10,481.27,1792.93,2241.16,2.2412
2025-11,1448.07,1132.6,1415.75,1.4158
2025-12,2548.24,798.49,998.11,0.9981
2026-01,410.11,1463.78,1829.72,1.8297
2026-02,-1022.34,1412.99,1766.24,1.7662
2026-03,967.66,2948.67,3685.84,3.6858
2026-04,-330.91,1571.6,1964.5,1.9645
2026-05,-1691.76,2827.95,3534.94,3.5349
2026-06,-741.23,2423.15,3028.94,3.0289
2026-07,2177.34,2119.08,2648.85,2.6489
