symbol,session_date,phase,side,signal_time,entry_time,exit_time,entry,initial_stop,final_stop,target,exit_price,initial_risk,pnl_r,mae_r,exit_reason,stop_locked,asia_high,asia_low,asia_range,liquidity_level
XAUUSD..,2025-08-12,london_fade,sell,2025-08-12T10:40:00+00:00,2025-08-12T10:40:00+00:00,2025-08-12T10:45:00+00:00,3356.31,3358.5191,3355.978635,3352.55453,3355.978635,2.209100000000035,0.15,0.11316825856683538,locked_stop,True,3357.41,3342.44,14.9699999999998,3357.41
XAUUSD..,2025-08-13,london_fade,sell,2025-08-13T09:35:00+00:00,2025-08-13T09:35:00+00:00,2025-08-13T09:39:00+00:00,3354.11,3356.1192,3356.1192,3350.6943600000004,3356.1192,2.0091999999999643,-1.0,1.204459486362789,stop,False,3354.25,3342.61,11.639999999999873,3354.25
XAUUSD..,2025-08-15,london_fade,sell,2025-08-15T08:15:00+00:00,2025-08-15T08:15:00+00:00,2025-08-15T08:30:00+00:00,3345.87,3347.5432,3344.4166,3343.0255599999996,3343.0255599999996,1.673200000000179,1.7,0.20320344250544414,target,True,3346.62,3332.18,14.440000000000055,3346.62
XAUUSD..,2025-08-21,london_fade,buy,2025-08-21T08:05:00+00:00,2025-08-21T08:05:00+00:00,2025-08-21T08:22:00+00:00,3338.6,3336.9943000000003,3338.840855,3341.329689999999,3338.840855,1.605699999999615,0.1500000000000425,0.9964501463537975,locked_stop,True,3352.06,3337.87,14.190000000000055,3337.87
XAUUSD..,2025-08-22,london_fade,buy,2025-08-22T08:30:00+00:00,2025-08-22T08:30:00+00:00,2025-08-22T08:46:00+00:00,3329.87,3327.0605,3330.291425,3334.6461499999996,3330.291425,2.8094999999998436,0.1500000000000081,0.6655988610072949,locked_stop,True,3340.55,3327.9,12.650000000000091,3327.9
XAUUSD..,2025-08-29,london_fade,buy,2025-08-29T08:25:00+00:00,2025-08-29T08:25:00+00:00,2025-08-29T08:29:00+00:00,3407.84,3406.6154,3408.02369,3409.92182,3408.02369,1.2246000000000095,0.14999999999987004,0.23681202025147916,locked_stop,True,3418.3,3407.48,10.820000000000164,3407.48
XAUUSD..,2025-11-14,london_fade,buy,2025-11-14T09:45:00+00:00,2025-11-14T09:45:00+00:00,2025-11-14T10:09:00+00:00,4174.2,4165.9294,4175.44059,4188.26002,4175.44059,8.270599999999831,0.150000000000044,0.10640098662734591,locked_stop,True,4211.16,4170.14,41.01999999999953,4170.14
XAUUSD..,2025-11-25,london_fade,buy,2025-11-25T10:40:00+00:00,2025-11-25T10:40:00+00:00,2025-11-25T10:42:00+00:00,4127.48,4120.4191,4128.539134999999,4139.483529999999,4128.539134999999,7.060899999999492,0.14999999999994204,0.3257375122150771,locked_stop,True,4155.65,4122.62,33.029999999999745,4122.62
XAUUSD..,2026-03-03,london_fade,buy,2026-03-03T08:25:00+00:00,2026-03-03T08:25:00+00:00,2026-03-03T08:34:00+00:00,5308.46,5299.5656,5313.772800000001,5323.5804800000005,5313.772800000001,8.894400000000132,0.5973196618097373,0.18888289260661384,trailing_stop,True,5379.78,5304.3,75.47999999999956,5304.3
XAUUSD..,2026-03-12,london_fade,sell,2026-03-12T10:50:00+00:00,2026-03-12T10:50:00+00:00,2026-03-12T10:54:00+00:00,5179.35,5186.890799999999,5178.21888,5166.530640000003,5178.21888,7.540799999998853,0.15000000000002411,0.1723955018034519,locked_stop,True,5183.78,5124.42,59.35999999999967,5183.78
