2026-08-02 10:18:39,810Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 10:18:39,824Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-08-02 10:18:39,827Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-08-02 10:18:39,830Z | INFO    | asia_breakout.mt5 | GBPJPY resolved to GBPJPY..
2026-08-02 10:18:39,832Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 10:18:39,834Z | INFO    | asia_breakout.live | Live monitor started
2026-08-02 10:18:39,834Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 10:18:39,835Z | INFO    | asia_breakout.live | One-cycle live monitor completed
2026-08-02 10:18:39,835Z | INFO    | asia_breakout.mt5 | MT5 connection closed
2026-08-02 10:18:53,387Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 10:18:53,399Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-08-02 10:18:53,403Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-08-02 10:18:53,406Z | INFO    | asia_breakout.mt5 | GBPJPY resolved to GBPJPY..
2026-08-02 10:18:53,409Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 10:18:53,410Z | INFO    | asia_breakout.live | Live monitor started
2026-08-02 10:18:53,410Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 10:18:53,411Z | INFO    | asia_breakout.live | One-cycle live monitor completed
2026-08-02 10:18:53,411Z | INFO    | asia_breakout.mt5 | MT5 connection closed
2026-08-02 10:29:48,567Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 10:29:48,576Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-08-02 10:29:48,578Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-08-02 10:29:48,580Z | INFO    | asia_breakout.mt5 | GBPJPY resolved to GBPJPY..
2026-08-02 10:29:48,583Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 10:29:48,584Z | INFO    | asia_breakout.live | Live monitor started
2026-08-02 10:29:48,584Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 10:29:48,585Z | INFO    | asia_breakout.live | One-cycle live monitor completed
2026-08-02 10:29:48,585Z | INFO    | asia_breakout.mt5 | MT5 connection closed
2026-08-02 11:32:39,731Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 11:32:39,741Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-08-02 11:32:39,745Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-08-02 11:32:39,751Z | INFO    | asia_breakout.mt5 | GBPJPY resolved to GBPJPY..
2026-08-02 11:32:39,753Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 11:32:39,753Z | INFO    | asia_breakout.live | Live monitor started
2026-08-02 11:32:39,758Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:33:39,761Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:34:39,765Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:35:39,768Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:36:39,773Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:37:39,776Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:38:39,781Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:39:39,784Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 11:40:39,789Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:15:06,270Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:16:06,279Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:17:06,287Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:18:06,296Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:19:06,302Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:20:06,310Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:21:06,319Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:22:06,326Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:23:06,331Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:24:06,340Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:25:06,348Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:26:06,356Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:27:06,362Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:28:06,371Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:29:06,379Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:30:06,386Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:31:06,395Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:32:06,404Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:33:06,412Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:34:06,420Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:35:06,429Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:36:06,437Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:37:06,446Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:38:06,455Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:39:06,463Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:40:06,472Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:41:06,480Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:42:06,489Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:43:06,498Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:44:06,504Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:45:06,513Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:46:06,520Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:47:06,528Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:48:06,535Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:49:06,543Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:50:06,549Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:51:06,568Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:52:06,574Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:53:06,582Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:54:06,589Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:55:06,596Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:56:06,603Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:57:06,611Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:58:06,619Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 13:59:06,627Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:00:06,635Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:01:06,643Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:02:06,656Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:03:06,663Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:04:06,671Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:05:06,678Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:06:06,686Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:06:45,565Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 14:06:45,574Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-08-02 14:06:45,577Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-08-02 14:06:45,581Z | INFO    | asia_breakout.mt5 | GBPJPY resolved to GBPJPY..
2026-08-02 14:06:45,584Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 14:06:45,652Z | INFO    | asia_breakout.mt5 | Downloaded 129724 M1 bars for BTCUSD
2026-08-02 14:06:50,715Z | INFO    | asia_breakout.mt5 | Downloaded 93527 M1 bars for EURJPY..
2026-08-02 14:06:55,555Z | INFO    | asia_breakout.mt5 | Downloaded 93526 M1 bars for GBPJPY..
2026-08-02 14:06:59,606Z | INFO    | asia_breakout.mt5 | Downloaded 88964 M1 bars for XAUUSD..
2026-08-02 14:07:03,476Z | INFO    | asia_breakout.mt5 | MT5 connection closed
2026-08-02 14:07:06,693Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:08:06,700Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:09:06,709Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:09:42,533Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 14:09:42,533Z | INFO    | asia_breakout.mt5 | BTCUSD resolved to BTCUSD
2026-08-02 14:09:42,547Z | INFO    | asia_breakout.mt5 | EURJPY resolved to EURJPY..
2026-08-02 14:09:42,547Z | INFO    | asia_breakout.mt5 | GBPJPY resolved to GBPJPY..
2026-08-02 14:09:42,547Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 14:09:48,926Z | INFO    | asia_breakout.mt5 | MT5 connection closed
2026-08-02 14:10:06,716Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:11:06,724Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:12:06,732Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:13:06,739Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:14:06,747Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:15:06,754Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:16:06,761Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:17:06,769Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:18:06,775Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:19:06,782Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:20:06,790Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:21:06,798Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:22:06,804Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:23:06,812Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:24:06,820Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:25:06,828Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:26:06,835Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:27:06,841Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:28:06,848Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:29:06,855Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:30:06,863Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:31:06,870Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:32:06,877Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:33:06,883Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:34:06,890Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:35:06,896Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:36:06,902Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:37:06,908Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:38:06,914Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:39:06,919Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:40:06,925Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:41:06,931Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:42:06,937Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:43:06,945Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:44:06,952Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:45:06,958Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:46:06,965Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:47:06,972Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:48:06,978Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:49:06,985Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:50:06,992Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:51:06,999Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:52:07,007Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:53:07,013Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:54:07,020Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:55:07,027Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:56:07,035Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:57:07,043Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:58:07,050Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 14:59:07,056Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:00:07,061Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:01:07,068Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:02:07,075Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:03:07,080Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:04:07,087Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:05:07,093Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:06:07,098Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:07:07,105Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:08:07,112Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:09:07,118Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:10:07,125Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:11:07,131Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:12:07,137Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:13:07,144Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:14:07,150Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:15:07,156Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:16:07,161Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:17:07,167Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:18:07,173Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:19:07,180Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:20:07,186Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:21:07,193Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:22:07,200Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:23:07,207Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:24:07,215Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:25:07,222Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:26:07,229Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:27:07,234Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:28:07,241Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:29:07,247Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:30:07,253Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:31:07,259Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:32:07,266Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:33:07,274Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:34:07,280Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:35:07,287Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:36:07,293Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:37:07,301Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:38:07,308Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:39:07,312Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:40:07,319Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:41:07,326Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:42:07,333Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:43:07,339Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:44:07,347Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:45:07,353Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:46:07,359Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:47:07,367Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:48:07,374Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:49:07,380Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:50:07,387Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:51:07,395Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:52:07,402Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:53:07,409Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:54:07,414Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 15:55:07,420Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:46:13,411Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 17:46:13,422Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 17:46:13,424Z | INFO    | asia_breakout.live | Live monitor started
2026-08-02 17:46:13,424Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:46:16,427Z | ERROR   | asia_breakout.live | Failed to scan confirmation signal for XAUUSD (XAUUSD..)
Traceback (most recent call last):
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\live.py", line 1051, in run_live
    detected = _current_confirmation_signal(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\live.py", line 662, in _current_confirmation_signal
    frame = fetch_m1(symbol, day_start, closed_slot - timedelta(seconds=1))
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\mt5_data.py", line 210, in fetch_m1
    raise MT5Error(f"No M1 data for {symbol}: {mt5.last_error()}")
asia_breakout.mt5_data.MT5Error: No M1 data for XAUUSD..: (1, 'Success')
2026-08-02 17:47:16,436Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:48:16,442Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:49:16,450Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:50:16,458Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:51:16,465Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:52:16,475Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:53:16,482Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:54:16,489Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:55:16,496Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:56:16,503Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:57:16,510Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:58:16,517Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 17:59:16,524Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 18:00:04,531Z | ERROR   | asia_breakout.live | Failed to scan confirmation signal for XAUUSD (XAUUSD..)
Traceback (most recent call last):
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\live.py", line 1051, in run_live
    )
      
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\live.py", line 662, in _current_confirmation_signal
    strategy.asia_start,
        ^^^^^^^^^^^^^^^^^
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\mt5_data.py", line 210, in fetch_m1
    raise MT5Error(f"No M1 data for {symbol}: {mt5.last_error()}")
asia_breakout.mt5_data.MT5Error: No M1 data for XAUUSD..: (1, 'Success')
2026-08-02 18:00:19,534Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 18:01:19,541Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 18:02:19,548Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 18:02:53,081Z | INFO    | asia_breakout.mt5 | Connected to MT5 account
2026-08-02 18:02:53,085Z | INFO    | asia_breakout.mt5 | XAUUSD resolved to XAUUSD..
2026-08-02 18:02:53,085Z | INFO    | asia_breakout.live | Live monitor started
2026-08-02 18:02:53,085Z | INFO    | asia_breakout.live | Live monitor heartbeat
2026-08-02 18:02:56,095Z | ERROR   | asia_breakout.live | Failed to scan confirmation signal for XAUUSD (XAUUSD..)
Traceback (most recent call last):
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\live.py", line 1060, in run_live
    detected = _current_confirmation_signal(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\hama101\Desktop\geek\ai trader\AAA Final\asia breakout\src\asia_breakout\live.py", line 659, in _current_confirmation_signal
    frame = fetch_m1(symbol, day_start, closed_slot - timedelta(seconds=1))
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
