instrument,symbol,session_date,direction,entry_mode,stop_mode,exit_mode,rr_target,entry_time,exit_time,entry,stop,target,exit_price,pnl_r,outcome,portfolio_risk_cash,portfolio_pnl_cash,portfolio_balance_after_exit,asian_high,asian_low,asian_range,adr,range_adr_fraction,mae_r,ambiguous_bar
EURJPY,EURJPYb,2025-08-11,sell,mechanical_oco,midpoint,trailing,6.0,2025-08-11 10:39:00+00:00,2025-08-11 13:13:00+00:00,171.813,172.00799999999998,170.64300000000003,172.00799999999998,-1.0,loss,29.524144733153797,-29.524144733153797,954.6140130386395,172.203,171.813,0.3900000000000148,1.4169999999999914,0.27522935779817725,-1.0,False
EURJPY,EURJPYb,2025-08-18,sell,mechanical_oco,midpoint,trailing,6.0,2025-08-18 10:08:00+00:00,2025-08-18 15:34:00+00:00,172.259,172.45549999999997,171.08000000000007,172.45549999999997,-1.0,loss,30.566377499304203,-30.566377499304203,988.3128724775027,172.652,172.259,0.3930000000000007,1.26921428571428,0.30964038494006607,-1.0,False
EURJPY,EURJPYb,2025-09-17,sell,mechanical_oco,midpoint,trailing,6.0,2025-09-17 08:04:00+00:00,2025-09-17 08:48:00+00:00,173.578,173.716,172.74999999999997,173.716,-1.0,loss,31.603825414473807,-31.603825414473807,1021.8570217346531,173.854,173.578,0.27600000000001046,0.8384285714285694,0.3291872550690199,-1.0,False
EURJPY,EURJPYb,2025-09-23,sell,mechanical_oco,midpoint,trailing,6.0,2025-09-23 09:57:00+00:00,2025-09-23 15:04:00+00:00,174.209,174.3515,173.3540000000001,174.3515,-1.0,loss,31.066895608775027,-31.066895608775027,1004.4962913503925,174.494,174.209,0.2849999999999966,0.844142857142858,0.3376205787781307,-1.0,False
EURJPY,EURJPYb,2025-10-24,buy,mechanical_oco,midpoint,trailing,6.0,2025-10-24 08:05:00+00:00,2025-10-24 10:15:00+00:00,177.528,177.363,178.51799999999994,177.363,-1.0,loss,32.664131844163,-32.664131844163,1056.1402629612705,177.528,177.198,0.3299999999999841,1.1344285714285698,0.29089535323005816,-1.0,False
EURJPY,EURJPYb,2025-11-03,buy,mechanical_oco,midpoint,trailing,6.0,2025-11-03 08:14:00+00:00,2025-11-03 10:17:00+00:00,177.874,177.735,178.70799999999988,177.735,-1.0,loss,33.553826189381034,-33.553826189381034,1084.907046789987,177.874,177.596,0.2779999999999916,0.987642857142861,0.2814782671584485,-1.0,False
EURJPY,EURJPYb,2025-11-06,buy,mechanical_oco,midpoint,trailing,6.0,2025-11-06 08:52:00+00:00,2025-11-06 09:40:00+00:00,177.206,177.05,178.14199999999985,177.05,-1.0,loss,32.017171665033715,-32.017171665033715,1035.2218838360902,177.206,176.894,0.3119999999999834,1.0472857142857188,0.29791297230935404,-1.0,False
EURJPY,EURJPYb,2025-11-14,buy,mechanical_oco,midpoint,trailing,6.0,2025-11-14 09:00:00+00:00,2025-11-14 10:13:00+00:00,179.948,179.813,180.75800000000012,179.813,-1.0,loss,30.483360874809044,-30.483360874809044,985.6286682854925,179.948,179.678,0.27000000000001023,1.090357142857144,0.24762528660335012,-1.0,False
EURJPY,EURJPYb,2025-11-24,buy,mechanical_oco,midpoint,trailing,6.0,2025-11-24 08:04:00+00:00,2025-11-24 11:25:00+00:00,180.456,180.26999999999998,181.57200000000003,180.742,1.5376344086020997,win,28.149682296979282,43.283920091052735,981.6066633236956,180.456,180.084,0.3719999999999857,1.1255714285714273,0.330498794263219,-0.0376344086020232,False
EURJPY,EURJPYb,2025-12-12,buy,mechanical_oco,midpoint,trailing,6.0,2025-12-12 08:24:00+00:00,2025-12-12 09:10:00+00:00,182.853,182.68900000000002,183.83699999999993,182.68900000000002,-1.0,loss,28.37261961623869,-28.37261961623869,917.3813675917175,182.853,182.525,0.32800000000000296,0.9379285714285734,0.3497068007006345,-1.0,False
