actual_pair,actual_usd,correct,currency,date,event,executable_pips,move_pips,predicted_pair,predicted_usd,release_utc,spread_pips,status,symbol,threshold_pips
,,,AUD,2026-06-05,NFP,,,SELL,BUY,2026-06-05T12:30:00+00:00,,MISSING_BID_ASK,AUDUSD,
SELL,SELL,False,CAD,2026-06-05,NFP,-12.3,-10.1,BUY,BUY,2026-06-05T12:30:00+00:00,3.5,OK,USDCAD,7.0
BUY,BUY,True,CHF,2026-06-05,NFP,26.0,27.7,BUY,BUY,2026-06-05T12:30:00+00:00,2.6,OK,USDCHF,5.2
,,,CNY,2026-06-05,NFP,,,BUY,BUY,2026-06-05T12:30:00+00:00,,MISSING_BID_ASK,USDCNH,
SELL,BUY,True,EUR,2026-06-05,NFP,28.3,-29.45,SELL,BUY,2026-06-05T12:30:00+00:00,2.1,OK,EURUSD,4.2
SELL,BUY,True,GBP,2026-06-05,NFP,31.3,-32.95,SELL,BUY,2026-06-05T12:30:00+00:00,2.8,OK,GBPUSD,5.6
BUY,BUY,True,JPY,2026-06-05,NFP,12.3,13.55,BUY,BUY,2026-06-05T12:30:00+00:00,2.1,OK,USDJPY,4.2
SELL,BUY,True,NZD,2026-06-05,NFP,16.9,-17.85,SELL,BUY,2026-06-05T12:30:00+00:00,0.8,OK,NZDUSD,1.6
,,,AUD,2026-06-10,CPI,,,BUY,SELL,2026-06-10T12:30:00+00:00,,MISSING_BID_ASK,AUDUSD,
UNCERTAIN,UNCERTAIN,,CAD,2026-06-10,CPI,1.8,-3.6,SELL,SELL,2026-06-10T12:30:00+00:00,2.5,OK,USDCAD,5.0
SELL,SELL,True,CHF,2026-06-10,CPI,11.7,-13.4,SELL,SELL,2026-06-10T12:30:00+00:00,2.6,OK,USDCHF,5.2
SELL,SELL,True,CNY,2026-06-10,CPI,27.1,-30.55,SELL,SELL,2026-06-10T12:30:00+00:00,5.2,OK,USDCNH,10.4
BUY,SELL,True,EUR,2026-06-10,CPI,12.7,13.35,BUY,SELL,2026-06-10T12:30:00+00:00,1.1,OK,EURUSD,2.2
BUY,SELL,True,GBP,2026-06-10,CPI,10.7,13.2,BUY,SELL,2026-06-10T12:30:00+00:00,4.4,OK,GBPUSD,8.8
SELL,SELL,True,JPY,2026-06-10,CPI,3.7,-4.9,SELL,SELL,2026-06-10T12:30:00+00:00,1.9,OK,USDJPY,3.8
