release_utc,event,actual,release_move_usd,v1_direction,v2_direction,v4_active,v4_shadow,v5_active,v7_direction,v9_direction,action_tier,v9_trade_direction,v9_low_confidence_direction,confidence_pct
2025-09-11T12:30:00+00:00,CPI,POSITIVE,7.8665,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2025-09-17T18:00:00+00:00,FOMC,NEGATIVE,-4.59,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,58.06
2025-10-24T12:30:00+00:00,CPI,POSITIVE,29.2865,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2025-10-29T18:00:00+00:00,FOMC,NEGATIVE,-6.4465,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,TRADE,NEGATIVE,NO CALL,65.0
2025-11-20T13:30:00+00:00,NFP,NEGATIVE,-3.955,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,51.66
2025-12-10T19:00:00+00:00,FOMC,POSITIVE,16.72,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,65.0
2025-12-16T13:30:00+00:00,NFP,POSITIVE,4.415,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,70.07
2025-12-18T13:30:00+00:00,CPI,POSITIVE,9.758,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-01-09T13:30:00+00:00,NFP,NEGATIVE,-2.25,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO CALL,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,76.13
2026-01-13T13:30:00+00:00,CPI,POSITIVE,9.94,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-01-28T19:00:00+00:00,FOMC,POSITIVE,7.313,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,56.58
2026-02-11T13:30:00+00:00,NFP,NEGATIVE,-60.0015,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,59.78
2026-02-13T13:30:00+00:00,CPI,POSITIVE,27.565,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-03-06T13:30:00+00:00,NFP,POSITIVE,35.54,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,54.65
2026-03-11T12:30:00+00:00,CPI,NEGATIVE,-3.4885,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-03-18T18:00:00+00:00,FOMC,POSITIVE,5.7665,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,56.44
2026-04-10T12:30:00+00:00,CPI,POSITIVE,13.5965,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-04-29T18:00:00+00:00,FOMC,NEGATIVE,-3.5435,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,58.29
2026-05-08T12:30:00+00:00,NFP,NEGATIVE,-2.236,NEGATIVE,NEGATIVE,NO CALL,NEGATIVE,NO CALL,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,61.11
2026-05-12T12:30:00+00:00,CPI,NEGATIVE,-4.0535,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-06-05T12:30:00+00:00,NFP,NEGATIVE,-14.755,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,50.92
2026-06-10T12:30:00+00:00,CPI,POSITIVE,27.8235,POSITIVE,POSITIVE,NO CALL,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,-31.935,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,TRADE,NEGATIVE,NO CALL,65.0
2026-07-02T12:30:00+00:00,NFP,POSITIVE,52.13,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,58.83
2026-07-14T12:30:00+00:00,CPI,POSITIVE,60.54,POSITIVE,POSITIVE,NO CALL,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-07-29T18:00:00+00:00,FOMC,POSITIVE,32.425,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,56.43
2026-08-07T12:30:00+00:00,NFP,POSITIVE,46.95,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,65.39
2026-08-12T12:30:00+00:00,CPI,NEGATIVE,-33.192,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,-69.73,NEGATIVE,NEGATIVE,NO CALL,NEGATIVE,NO CALL,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,69.34
