sample_index,reopen_utc,side,entry_time_utc,exit_time_utc,entry_price,stop_loss,take_profit,exit_price,stop_usd,result_r,outcome,spread_usd_at_entry
105,2024-06-17T01:00:00+00:00,SELL,2024-06-14T23:54:00Z,2024-06-17T08:30:00Z,2332.73,2335.73,2320.73,2320.73,3.0,4.0,TP,0.25
106,2024-06-24T01:00:00+00:00,SELL,2024-06-21T23:54:00Z,2024-06-24T04:28:00Z,2321.69,2324.69,2309.69,2324.69,3.0,-1.0,SL,0.25
107,2024-07-01T01:00:00+00:00,SELL,2024-06-28T23:54:00Z,2024-07-01T12:59:00Z,2326.42,2330.04,2311.94,2327.63,3.62,-0.334254,TIME,0.25
108,2024-07-08T01:00:00+00:00,SELL,2024-07-05T23:54:00Z,2024-07-08T09:59:00Z,2390.96,2394.44,2377.04,2377.04,3.48,4.0,TP,0.25
109,2024-07-15T01:00:00+00:00,SELL,2024-07-12T23:54:00Z,2024-07-15T01:01:00Z,2411.41,2414.41,2399.41,2414.41,3.0,-1.0,SL,0.25
110,2024-07-22T01:00:00+00:00,SELL,2024-07-19T23:54:00Z,2024-07-22T01:00:00Z,2400.36,2403.36,2388.36,2403.36,3.0,-1.0,SL,0.25
111,2024-07-29T01:00:00+00:00,SELL,2024-07-26T23:54:00Z,2024-07-29T01:13:00Z,2388.3,2392.72,2370.62,2392.72,4.42,-1.0,SL,0.25
112,2024-08-05T01:00:00+00:00,SELL,2024-08-02T23:54:00Z,2024-08-05T01:01:00Z,2441.22,2447.98,2414.18,2447.98,6.76,-1.0,SL,0.25
113,2024-08-12T01:00:00+00:00,SELL,2024-08-09T23:54:00Z,2024-08-12T08:04:00Z,2430.96,2434.06,2418.56,2434.06,3.1,-1.0,SL,0.25
114,2024-08-19T01:00:00+00:00,SELL,2024-08-16T23:54:00Z,2024-08-19T12:59:00Z,2507.26,2511.43,2490.58,2500.11,4.17,1.714628,TIME,0.25
115,2024-08-26T01:00:00+00:00,SELL,2024-08-23T23:54:00Z,2024-08-26T02:08:00Z,2511.86,2514.86,2499.86,2514.86,3.0,-1.0,SL,0.25
116,2024-09-02T01:00:00+00:00,SELL,2024-08-30T23:54:00Z,2024-09-02T05:30:00Z,2503.24,2506.24,2491.24,2491.24,3.0,4.0,TP,0.25
117,2024-09-09T01:00:00+00:00,SELL,2024-09-06T23:54:00Z,2024-09-09T12:59:00Z,2497.67,2500.8,2485.15,2496.57,3.13,0.351438,TIME,0.25
118,2024-09-16T01:00:00+00:00,SELL,2024-09-13T23:54:00Z,2024-09-16T04:31:00Z,2579.62,2582.92,2566.42,2582.92,3.3,-1.0,SL,0.25
119,2024-09-23T01:00:00+00:00,SELL,2024-09-20T23:54:00Z,2024-09-23T05:36:00Z,2621.73,2624.98,2608.73,2624.98,3.25,-1.0,SL,0.25
120,2024-09-30T01:00:00+00:00,SELL,2024-09-27T23:54:00Z,2024-09-30T12:59:00Z,2658.65,2666.68,2626.53,2649.88,8.03,1.092154,TIME,0.25
121,2024-10-07T01:00:00+00:00,SELL,2024-10-04T23:54:00Z,2024-10-07T11:12:00Z,2653.04,2656.54,2639.04,2656.54,3.5,-1.0,SL,0.25
122,2024-10-14T01:00:00+00:00,SELL,2024-10-11T23:54:00Z,2024-10-14T01:02:00Z,2657.2,2660.2,2645.2,2645.2,3.0,4.0,TP,0.25
123,2024-10-21T01:00:00+00:00,SELL,2024-10-18T23:54:00Z,2024-10-21T04:06:00Z,2721.92,2726.08,2705.28,2726.08,4.16,-1.0,SL,0.25
124,2024-10-28T01:00:00+00:00,SELL,2024-10-25T23:54:00Z,2024-10-28T12:59:00Z,2746.65,2752.41,2723.61,2729.52,5.76,2.973958,TIME,0.56
