weekend_open,side,source,reference_time,entry_time,exit_time,pending_price,fill_price,stop_loss,take_profit,exit_price,result_r,outcome,spread_usd_at_entry
2025-08-04T01:00:00+00:00,BUY,reopen,2025-08-01T23:49:00+00:00,2025-08-04T01:00:00+00:00,2025-08-04T12:59:00+00:00,3363.78,3365.76,3343.78,3443.78,3357.93,-0.3915,TIME,0.25
2025-08-11T01:00:00+00:00,SELL,friday,2025-08-08T23:49:00+00:00,2025-08-08T23:51:00+00:00,2025-08-11T12:55:00+00:00,3395.72,3395.72,3415.72,3315.72,3354.63,2.0545,TIME,0.59
2025-09-08T01:00:00+00:00,SELL,reopen,2025-09-05T23:49:00+00:00,2025-09-08T01:00:00+00:00,2025-09-08T10:15:00+00:00,3585.68,3579.34,3605.68,3505.68,3605.68,-1.317,SL,0.25
2025-09-15T01:00:00+00:00,BUY,friday,2025-09-12T23:49:00+00:00,2025-09-12T23:54:00+00:00,2025-09-15T12:58:00+00:00,3643.9,3643.9,3623.9,3723.9,3641.39,-0.1255,TIME,0.84
2025-09-22T01:00:00+00:00,BUY,reopen,2025-09-19T23:49:00+00:00,2025-09-22T01:00:00+00:00,2025-09-22T12:59:00+00:00,3685.96,3687.73,3665.96,3765.96,3723.23,1.775,TIME,0.25
2025-09-29T01:00:00+00:00,SELL,reopen,2025-09-26T23:49:00+00:00,2025-09-29T01:00:00+00:00,2025-09-29T03:31:00+00:00,3759.81,3756.1,3779.81,3679.81,3779.81,-1.1855,SL,0.25
2025-10-06T01:00:00+00:00,BUY,friday,2025-10-03T23:49:00+00:00,2025-10-03T23:54:00+00:00,2025-10-06T12:58:00+00:00,3887.05,3887.05,3867.05,3967.05,3941.61,2.728,TIME,0.93
2025-10-13T01:00:00+00:00,BUY,friday,2025-10-10T23:49:00+00:00,2025-10-10T23:50:00+00:00,2025-10-13T12:54:00+00:00,4012.63,4012.63,3992.63,4092.63,4079.21,3.329,TIME,0.98
2025-10-20T01:00:00+00:00,SELL,friday,2025-10-17T23:49:00+00:00,2025-10-17T23:51:00+00:00,2025-10-20T01:03:00+00:00,4244.42,4244.42,4264.42,4164.42,4264.42,-1.0,SL,0.25
2025-10-27T01:26:00+00:00,BUY,friday,2025-10-24T23:49:00+00:00,2025-10-24T23:50:00+00:00,2025-10-27T01:26:00+00:00,4112.52,4112.73,4092.52,4192.52,4092.52,-1.0105,SL,1.83
2025-11-03T01:00:00+00:00,SELL,reopen,2025-10-31T23:49:00+00:00,2025-11-03T01:00:00+00:00,2025-11-03T09:01:00+00:00,4000.33,3983.32,4020.33,3920.33,4020.33,-1.8505,SL,0.25
2025-11-10T01:00:00+00:00,BUY,friday,2025-11-07T23:49:00+00:00,2025-11-07T23:51:00+00:00,2025-11-10T10:07:00+00:00,4001.37,4001.37,3981.37,4081.37,4081.37,4.0,TP,0.25
2025-11-17T01:00:00+00:00,BUY,friday,2025-11-14T23:49:00+00:00,2025-11-14T23:52:00+00:00,2025-11-17T07:26:00+00:00,4081.74,4081.74,4061.74,4161.74,4061.74,-1.0,SL,0.25
2025-11-24T01:00:00+00:00,SELL,friday,2025-11-21T23:49:00+00:00,2025-11-21T23:50:00+00:00,2025-11-24T12:54:00+00:00,4063.91,4063.91,4083.91,3983.91,4065.79,-0.094,TIME,0.25
2025-12-15T01:00:00+00:00,SELL,friday,2025-12-12T23:49:00+00:00,2025-12-12T23:50:00+00:00,2025-12-15T03:39:00+00:00,4301.23,4301.23,4321.23,4221.23,4321.23,-1.0,SL,0.25
2025-12-22T01:00:00+00:00,SELL,friday,2025-12-19T23:49:00+00:00,2025-12-19T23:51:00+00:00,2025-12-22T02:00:00+00:00,4337.06,4337.06,4357.06,4257.06,4357.06,-1.0,SL,0.25
2025-12-29T01:00:00+00:00,SELL,friday,2025-12-26T23:49:00+00:00,2025-12-26T23:50:00+00:00,2025-12-29T09:03:00+00:00,4529.96,4529.96,4549.96,4449.96,4449.96,4.0,TP,1.73
