symbol,session_date,phase,side,signal_time,entry_time,exit_time,entry,initial_stop,final_stop,target,exit_price,initial_risk,pnl_r,mae_r,exit_reason,stop_locked,asia_high,asia_low,asia_range,liquidity_level
EURUSD,2026-03-11,london_v2_reversal,sell,2026-03-11T10:45:00+00:00,2026-03-11T10:51:00+00:00,2026-03-11T18:30:00+00:00,1.1622,1.1645769,1.1645769,1.1574461999999999,1.1574461999999999,0.002376900000000015,2.0,0.06310740880983362,target,False,1.16346,1.16023,0.003229999999999844,1.16346
EURUSD,2026-03-26,london_v2_reversal,buy,2026-03-26T10:00:00+00:00,2026-03-26T10:04:00+00:00,2026-03-26T10:36:00+00:00,1.155975,1.1552048,1.1552048,1.1575154,1.1552048,0.0007702000000000542,-1.0,1.0062321474940479,stop,False,1.15717,1.15533,0.0018400000000000638,1.15533
EURUSD,2026-03-27,london_v2_reversal,sell,2026-03-27T08:30:00+00:00,2026-03-27T08:44:00+00:00,2026-03-27T08:45:00+00:00,1.15424,1.1544603,1.1544603,1.1537993999999998,1.1544603,0.0002203000000000621,-1.0,1.2256014525653127,stop,False,1.15431,1.1523,0.0020099999999998452,1.15431
EURUSD,2026-04-13,london_v2_reversal,sell,2026-04-13T09:40:00+00:00,2026-04-13T10:00:00+00:00,2026-04-13T10:28:00+00:00,1.1687949999999998,1.1695119,1.1695119,1.1673611999999993,1.1695119,0.0007169000000002423,-1.0,1.206583902915393,stop,False,1.16895,1.16622,0.002729999999999899,1.16895
EURUSD,2026-04-14,london_v2_reversal,sell,2026-04-14T09:15:00+00:00,2026-04-14T09:31:00+00:00,2026-04-14T09:46:00+00:00,1.1763400000000002,1.1771133,1.1771133,1.1747934000000004,1.1771133,0.0007732999999998658,-1.0,1.3060907797751593,stop,False,1.17693,1.17482,0.0021100000000000563,1.17693
EURUSD,2026-05-14,london_v2_reversal,sell,2026-05-14T10:20:00+00:00,2026-05-14T10:36:00+00:00,2026-05-14T14:36:00+00:00,1.171455,1.1720329,1.1720329,1.1702991999999997,1.1702991999999997,0.0005779000000001311,2.0,0.441252811905275,target,False,1.1718,1.17037,0.0014300000000000423,1.1718
EURUSD,2026-06-05,london_v2_reversal,sell,2026-06-05T09:10:00+00:00,2026-06-05T09:14:00+00:00,2026-06-05T09:27:00+00:00,1.1614550000000001,1.161767,1.161767,1.1608310000000004,1.161767,0.00031199999999986794,-1.0,1.2339743589744252,stop,False,1.16163,1.16073,0.0008999999999999009,1.16163
EURUSD,2026-06-17,london_v2_reversal,buy,2026-06-17T10:10:00+00:00,2026-06-17T10:29:00+00:00,2026-06-17T11:10:00+00:00,1.160785,1.1603033999999999,1.1603033999999999,1.1617482000000001,1.1603033999999999,0.00048160000000008196,-1.0,1.3392857142855001,stop,False,1.16159,1.16037,0.0012199999999999989,1.16037
EURUSD,2026-06-26,london_v2_reversal,sell,2026-06-26T09:50:00+00:00,2026-06-26T10:07:00+00:00,2026-06-26T10:32:00+00:00,1.137765,1.138079,1.138079,1.1371369999999996,1.138079,0.0003140000000001475,-1.0,1.162420382165603,stop,False,1.13766,1.13536,0.0022999999999999687,1.13766
EURUSD,2026-07-16,london_v2_reversal,sell,2026-07-16T11:15:00+00:00,2026-07-16T11:31:00+00:00,2026-07-16T16:01:00+00:00,1.14666,1.147611,1.147611,1.1447580000000002,1.1447580000000002,0.0009509999999999241,2.0,0.515247108307193,target,False,1.1474,1.1457,0.0017000000000000348,1.1474
EURUSD,2026-07-17,london_v2_reversal,sell,2026-07-17T11:20:00+00:00,2026-07-17T11:34:00+00:00,2026-07-17T13:51:00+00:00,1.1442649999999999,1.1449208,1.1449208,1.1429533999999997,1.1429533999999997,0.0006558000000000952,2.0,0.2973467520587663,target,False,1.14475,1.14339,0.0013600000000000279,1.14475
