date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-04-20,2026-04-20 13:45:00,2026-04-20 14:00:00,USDJPY,SELL,loss,-1.0,20.0,15.4,1
2026-04-22,2026-04-22 14:45:00,2026-04-22 20:00:00,USDJPY,BUY,timeout,0.9908,15.4,18.91,1
2026-04-23,2026-04-23 13:45:00,2026-04-23 14:30:00,USDJPY,BUY,loss,-1.0,18.91,14.56,1
2026-04-24,2026-04-24 13:45:00,2026-04-24 14:00:00,USDJPY,SELL,win,1.3043,14.56,18.93,1
2026-04-27,2026-04-27 13:45:00,2026-04-27 14:30:00,USDJPY,BUY,loss,-1.0,18.93,14.57,1
2026-04-28,2026-04-28 14:00:00,2026-04-28 14:45:00,USDJPY,BUY,win,1.3043,14.57,18.95,1
2026-04-29,2026-04-29 13:45:00,2026-04-29 14:45:00,USDJPY,BUY,loss,-1.0,18.95,14.59,1
2026-04-30,2026-04-30 13:45:00,2026-04-30 14:45:00,USDJPY,BUY,loss,-1.0,14.59,11.23,1
2026-05-04,2026-05-04 14:00:00,2026-05-04 14:30:00,USDJPY,BUY,loss,-1.0,11.23,8.65,1
2026-05-05,2026-05-05 13:45:00,2026-05-05 14:00:00,USDJPY,BUY,loss,-1.0,8.65,6.66,1
2026-05-06,2026-05-06 13:45:00,2026-05-06 14:45:00,USDJPY,SELL,loss,-1.0,6.66,5.13,1
2026-05-07,2026-05-07 13:45:00,2026-05-07 14:45:00,USDJPY,BUY,loss,-1.0,5.13,3.95,1
2026-05-08,2026-05-08 13:45:00,2026-05-08 16:30:00,USDJPY,BUY,win,1.3043,3.95,5.13,1
2026-05-11,2026-05-11 13:45:00,2026-05-11 14:30:00,USDJPY,SELL,loss,-1.0,5.13,3.95,1
2026-05-12,2026-05-12 13:45:00,2026-05-12 15:15:00,USDJPY,BUY,win,1.3043,3.95,5.14,1
2026-05-13,2026-05-13 13:45:00,2026-05-13 14:15:00,USDJPY,SELL,loss,-1.0,5.14,3.96,1
2026-05-14,2026-05-14 13:45:00,2026-05-14 15:00:00,USDJPY,SELL,loss,-1.0,3.96,3.05,1
2026-05-15,2026-05-15 13:45:00,2026-05-15 15:00:00,USDJPY,BUY,loss,-1.0,3.05,2.35,1
2026-05-18,2026-05-18 13:45:00,2026-05-18 14:00:00,USDJPY,SELL,loss,-1.0,2.35,1.81,1
2026-05-19,2026-05-19 13:45:00,2026-05-19 13:45:00,USDJPY,SELL,win,1.3043,1.81,2.35,1
2026-05-20,2026-05-20 13:45:00,2026-05-20 14:00:00,USDJPY,BUY,win,1.3043,2.35,3.05,1
2026-05-21,2026-05-21 13:45:00,2026-05-21 17:15:00,USDJPY,SELL,win,1.3043,3.05,3.97,1
2026-05-22,2026-05-22 13:45:00,2026-05-22 20:00:00,USDJPY,BUY,timeout,0.31,3.97,4.25,1
2026-05-25,2026-05-25 13:45:00,2026-05-25 14:30:00,USDJPY,BUY,loss,-1.0,4.25,3.27,1
2026-05-27,2026-05-27 13:45:00,2026-05-27 14:30:00,USDJPY,SELL,loss,-1.0,3.27,2.52,1
2026-05-28,2026-05-28 13:45:00,2026-05-28 14:00:00,USDJPY,BUY,loss,-1.0,2.52,1.94,1
2026-06-01,2026-06-01 13:45:00,2026-06-01 14:15:00,USDJPY,BUY,loss,-1.0,1.94,1.49,1
2026-06-02,2026-06-02 13:45:00,2026-06-02 13:45:00,USDJPY,BUY,win,1.3043,1.49,1.94,1
2026-06-03,2026-06-03 13:45:00,2026-06-03 14:00:00,USDJPY,BUY,loss,-1.0,1.94,1.5,1
2026-06-04,2026-06-04 13:45:00,2026-06-04 14:15:00,USDJPY,BUY,win,1.3043,1.5,1.94,1
2026-06-05,2026-06-05 13:45:00,2026-06-05 13:45:00,USDJPY,SELL,win,1.3043,1.94,2.53,1
2026-06-08,2026-06-08 13:45:00,2026-06-08 14:00:00,USDJPY,BUY,win,1.3043,2.53,3.29,1
2026-06-09,2026-06-09 13:45:00,2026-06-09 14:45:00,USDJPY,SELL,loss,-1.0,3.29,2.53,1
2026-06-10,2026-06-10 13:45:00,2026-06-10 14:30:00,USDJPY,SELL,loss,-1.0,2.53,1.95,1
2026-06-11,2026-06-11 13:45:00,2026-06-11 13:45:00,USDJPY,SELL,win,1.3043,1.95,2.53,1
2026-06-12,2026-06-12 14:45:00,2026-06-12 20:00:00,USDJPY,SELL,timeout,-0.1364,2.53,2.45,1
2026-06-15,2026-06-15 14:00:00,2026-06-15 14:45:00,USDJPY,SELL,loss,-1.0,2.45,1.89,1
2026-06-16,2026-06-16 13:45:00,2026-06-16 14:30:00,USDJPY,BUY,win,1.3043,1.89,2.46,1
2026-06-17,2026-06-17 13:45:00,2026-06-17 13:45:00,USDJPY,SELL,win,1.3043,2.46,3.19,1
2026-06-18,2026-06-18 13:45:00,2026-06-18 15:15:00,USDJPY,BUY,win,1.3043,3.19,4.15,1
