date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2025-12-18,2025-12-18 15:00:00,2025-12-18 15:15:00,GBPJPY,BUY,loss,-1.0,20.0,15.4,1
2025-12-19,2025-12-19 14:45:00,2025-12-19 15:15:00,GBPJPY,BUY,loss,-1.0,15.4,11.86,1
2025-12-22,2025-12-22 14:45:00,2025-12-22 16:45:00,GBPJPY,BUY,loss,-1.0,11.86,9.13,1
2025-12-23,2025-12-23 14:45:00,2025-12-23 15:00:00,GBPJPY,SELL,win,1.3043,9.13,11.87,1
2025-12-24,2025-12-24 14:45:00,2025-12-24 21:00:00,GBPJPY,SELL,timeout,-0.0172,11.87,11.82,1
2025-12-26,2025-12-26 14:45:00,2025-12-26 14:45:00,GBPJPY,BUY,win,1.3043,11.82,15.37,1
2025-12-29,2025-12-29 14:45:00,2025-12-29 15:45:00,GBPJPY,BUY,loss,-1.0,15.37,11.83,1
2025-12-30,2025-12-30 14:45:00,2025-12-30 15:30:00,GBPJPY,SELL,loss,-1.0,11.83,9.11,1
2025-12-31,2025-12-31 14:45:00,2025-12-31 15:00:00,GBPJPY,SELL,win,1.3043,9.11,11.85,1
2026-01-02,2026-01-02 14:45:00,2026-01-02 15:45:00,GBPJPY,BUY,win,1.3043,11.85,15.4,1
2026-01-05,2026-01-05 14:45:00,2026-01-05 15:45:00,GBPJPY,BUY,win,1.3043,15.4,20.02,1
2026-01-06,2026-01-06 14:45:00,2026-01-06 15:15:00,GBPJPY,BUY,loss,-1.0,20.02,15.42,1
2026-01-07,2026-01-07 14:45:00,2026-01-07 17:15:00,GBPJPY,BUY,loss,-1.0,15.42,11.87,1
2026-01-08,2026-01-08 15:00:00,2026-01-08 17:00:00,GBPJPY,BUY,loss,-1.0,11.87,9.14,1
2026-01-09,2026-01-09 14:45:00,2026-01-09 15:15:00,GBPJPY,SELL,loss,-1.0,9.14,7.04,1
2026-01-12,2026-01-12 15:15:00,2026-01-12 15:45:00,GBPJPY,SELL,loss,-1.0,7.04,5.42,1
2026-01-13,2026-01-13 14:45:00,2026-01-13 15:45:00,GBPJPY,SELL,win,1.3043,5.42,7.04,1
2026-01-14,2026-01-14 14:45:00,2026-01-14 15:00:00,GBPJPY,SELL,loss,-1.0,7.04,5.42,1
2026-01-15,2026-01-15 14:45:00,2026-01-15 15:30:00,GBPJPY,SELL,win,1.3043,5.42,7.05,1
2026-01-16,2026-01-16 14:45:00,2026-01-16 15:15:00,GBPJPY,SELL,win,1.3043,7.05,9.17,1
2026-01-19,2026-01-19 14:45:00,2026-01-19 15:00:00,GBPJPY,BUY,win,1.3043,9.17,11.92,1
2026-01-20,2026-01-20 14:45:00,2026-01-20 21:00:00,GBPJPY,BUY,timeout,-0.2734,11.92,11.17,1
2026-01-21,2026-01-21 15:00:00,2026-01-21 17:00:00,GBPJPY,BUY,loss,-1.0,11.17,8.6,1
2026-01-22,2026-01-22 14:45:00,2026-01-22 15:00:00,GBPJPY,BUY,win,1.3043,8.6,11.18,1
2026-01-23,2026-01-23 14:45:00,2026-01-23 15:00:00,GBPJPY,BUY,win,1.3043,11.18,14.53,1
2026-01-27,2026-01-27 14:45:00,2026-01-27 17:30:00,GBPJPY,BUY,loss,-1.0,14.53,11.19,1
2026-01-28,2026-01-28 14:45:00,2026-01-28 15:00:00,GBPJPY,BUY,win,1.3043,11.19,14.55,1
2026-01-29,2026-01-29 14:45:00,2026-01-29 14:45:00,GBPJPY,SELL,win,1.3043,14.55,18.91,1
2026-01-30,2026-01-30 14:45:00,2026-01-30 15:45:00,GBPJPY,BUY,loss,-1.0,18.91,14.56,1
2026-02-02,2026-02-02 14:45:00,2026-02-02 18:00:00,GBPJPY,BUY,win,1.3043,14.56,18.93,1
2026-02-03,2026-02-03 14:45:00,2026-02-03 15:15:00,GBPJPY,SELL,loss,-1.0,18.93,14.58,1
2026-02-04,2026-02-04 14:45:00,2026-02-04 16:00:00,GBPJPY,SELL,win,1.3043,14.58,18.95,1
2026-02-06,2026-02-06 14:45:00,2026-02-06 15:00:00,GBPJPY,BUY,win,1.3043,18.95,24.63,1
2026-02-09,2026-02-09 14:45:00,2026-02-09 15:00:00,GBPJPY,BUY,win,1.3043,24.63,32.02,2
2026-02-10,2026-02-10 14:45:00,2026-02-10 21:00:00,GBPJPY,SELL,timeout,0.8897,32.02,38.57,3
2026-02-11,2026-02-11 14:45:00,2026-02-11 14:45:00,GBPJPY,SELL,win,1.3043,38.57,50.15,4
2026-02-12,2026-02-12 14:45:00,2026-02-12 15:00:00,GBPJPY,BUY,loss,-1.0,50.15,38.61,3
2026-02-13,2026-02-13 14:45:00,2026-02-13 21:00:00,GBPJPY,BUY,timeout,-0.2161,38.61,36.69,3
2026-02-17,2026-02-17 15:00:00,2026-02-17 21:00:00,GBPJPY,BUY,timeout,0.4132,36.69,40.18,3
2026-02-18,2026-02-18 15:30:00,2026-02-18 19:00:00,GBPJPY,BUY,loss,-1.0,40.18,30.94,2
2026-02-19,2026-02-19 15:00:00,2026-02-19 16:00:00,GBPJPY,BUY,loss,-1.0,30.94,23.82,1
2026-02-20,2026-02-20 14:45:00,2026-02-20 15:00:00,GBPJPY,SELL,loss,-1.0,23.82,18.34,1
2026-02-23,2026-02-23 14:45:00,2026-02-23 15:00:00,GBPJPY,SELL,win,1.3043,18.34,23.85,1
2026-02-24,2026-02-24 14:45:00,2026-02-24 20:00:00,GBPJPY,BUY,loss,-1.0,23.85,18.36,1
2026-02-26,2026-02-26 14:45:00,2026-02-26 15:15:00,GBPJPY,SELL,win,1.3043,18.36,23.87,1
2026-02-27,2026-02-27 14:45:00,2026-02-27 15:00:00,GBPJPY,BUY,loss,-1.0,23.87,18.38,1
2026-03-02,2026-03-02 14:45:00,2026-03-02 15:45:00,GBPJPY,BUY,loss,-1.0,18.38,14.15,1
2026-03-03,2026-03-03 14:45:00,2026-03-03 15:00:00,GBPJPY,SELL,win,1.3043,14.15,18.4,1
2026-03-04,2026-03-04 14:45:00,2026-03-04 16:00:00,GBPJPY,SELL,win,1.3043,18.4,23.92,1
2026-03-05,2026-03-05 14:45:00,2026-03-05 21:00:00,GBPJPY,SELL,timeout,-0.5425,23.92,20.93,1
2026-03-06,2026-03-06 14:45:00,2026-03-06 15:00:00,GBPJPY,SELL,loss,-1.0,20.93,16.12,1
2026-03-09,2026-03-09 13:45:00,2026-03-09 14:00:00,GBPJPY,BUY,loss,-1.0,16.12,12.41,1
2026-03-10,2026-03-10 13:45:00,2026-03-10 15:00:00,GBPJPY,SELL,loss,-1.0,12.41,9.56,1
2026-03-11,2026-03-11 14:00:00,2026-03-11 14:00:00,GBPJPY,BUY,win,1.3043,9.56,12.42,1
2026-03-12,2026-03-12 13:45:00,2026-03-12 15:00:00,GBPJPY,SELL,win,1.3043,12.42,16.15,1
2026-03-13,2026-03-13 13:45:00,2026-03-13 14:15:00,GBPJPY,SELL,win,1.3043,16.15,21.0,1
2026-03-16,2026-03-16 14:00:00,2026-03-16 14:45:00,GBPJPY,SELL,loss,-1.0,21.0,16.17,1
2026-03-17,2026-03-17 13:45:00,2026-03-17 17:45:00,GBPJPY,BUY,win,1.3043,16.17,21.02,1
2026-03-18,2026-03-18 13:45:00,2026-03-18 14:00:00,GBPJPY,BUY,loss,-1.0,21.02,16.18,1
2026-03-19,2026-03-19 13:45:00,2026-03-19 15:00:00,GBPJPY,BUY,win,1.3043,16.18,21.04,1
2026-03-20,2026-03-20 13:45:00,2026-03-20 14:00:00,GBPJPY,BUY,loss,-1.0,21.04,16.2,1
2026-03-23,2026-03-23 13:45:00,2026-03-23 14:00:00,GBPJPY,BUY,loss,-1.0,16.2,12.47,1
2026-03-24,2026-03-24 13:45:00,2026-03-24 14:00:00,GBPJPY,SELL,loss,-1.0,12.47,9.6,1
2026-03-25,2026-03-25 13:45:00,2026-03-25 14:00:00,GBPJPY,SELL,win,1.3043,9.6,12.49,1
2026-03-26,2026-03-26 13:45:00,2026-03-26 16:15:00,GBPJPY,BUY,loss,-1.0,12.49,9.61,1
2026-03-27,2026-03-27 13:45:00,2026-03-27 16:00:00,GBPJPY,BUY,win,1.3043,9.61,12.5,1
2026-03-30,2026-03-30 13:45:00,2026-03-30 20:00:00,GBPJPY,SELL,timeout,-0.3505,12.5,11.49,1
2026-04-01,2026-04-01 13:45:00,2026-04-01 16:45:00,GBPJPY,BUY,win,1.3043,11.49,14.94,1
2026-04-06,2026-04-06 13:45:00,2026-04-06 15:30:00,GBPJPY,BUY,loss,-1.0,14.94,11.5,1
2026-04-07,2026-04-07 13:45:00,2026-04-07 19:15:00,GBPJPY,BUY,win,1.3043,11.5,14.95,1
2026-04-08,2026-04-08 13:45:00,2026-04-08 14:45:00,GBPJPY,BUY,loss,-1.0,14.95,11.51,1
2026-04-10,2026-04-10 13:45:00,2026-04-10 14:00:00,GBPJPY,SELL,loss,-1.0,11.51,8.86,1
2026-04-14,2026-04-14 13:45:00,2026-04-14 14:00:00,GBPJPY,BUY,loss,-1.0,8.86,6.83,1
2026-04-15,2026-04-15 13:45:00,2026-04-15 14:00:00,GBPJPY,SELL,loss,-1.0,6.83,5.26,1
2026-04-16,2026-04-16 13:45:00,2026-04-16 14:15:00,GBPJPY,BUY,loss,-1.0,5.26,4.05,1
2026-04-17,2026-04-17 14:00:00,2026-04-17 20:00:00,GBPJPY,SELL,timeout,0.4903,4.05,4.5,1
2026-04-20,2026-04-20 13:45:00,2026-04-20 15:45:00,GBPJPY,BUY,win,1.3043,4.5,5.85,1
2026-04-21,2026-04-21 13:45:00,2026-04-21 14:30:00,GBPJPY,BUY,win,1.3043,5.85,7.61,1
2026-04-22,2026-04-22 15:00:00,2026-04-22 17:00:00,GBPJPY,BUY,win,1.3043,7.61,9.89,1
2026-04-23,2026-04-23 13:45:00,2026-04-23 15:30:00,GBPJPY,BUY,loss,-1.0,9.89,7.62,1
2026-04-24,2026-04-24 13:45:00,2026-04-24 14:45:00,GBPJPY,BUY,loss,-1.0,7.62,5.87,1
2026-04-27,2026-04-27 13:45:00,2026-04-27 14:15:00,GBPJPY,SELL,loss,-1.0,5.87,4.52,1
2026-04-28,2026-04-28 13:45:00,2026-04-28 16:30:00,GBPJPY,BUY,win,1.3043,4.52,5.87,1
2026-04-29,2026-04-29 13:45:00,2026-04-29 14:30:00,GBPJPY,SELL,loss,-1.0,5.87,4.52,1
2026-04-30,2026-04-30 13:45:00,2026-04-30 14:15:00,GBPJPY,BUY,win,1.3043,4.52,5.88,1
2026-05-04,2026-05-04 13:45:00,2026-05-04 15:00:00,GBPJPY,BUY,loss,-1.0,5.88,4.53,1
2026-05-05,2026-05-05 13:45:00,2026-05-05 14:00:00,GBPJPY,BUY,win,1.3043,4.53,5.88,1
2026-05-06,2026-05-06 13:45:00,2026-05-06 14:30:00,GBPJPY,SELL,loss,-1.0,5.88,4.53,1
2026-05-08,2026-05-08 13:45:00,2026-05-08 14:45:00,GBPJPY,BUY,win,1.3043,4.53,5.89,1
2026-05-11,2026-05-11 13:45:00,2026-05-11 14:45:00,GBPJPY,SELL,loss,-1.0,5.89,4.53,1
2026-05-12,2026-05-12 13:45:00,2026-05-12 14:00:00,GBPJPY,SELL,loss,-1.0,4.53,3.49,1
2026-05-13,2026-05-13 13:45:00,2026-05-13 15:30:00,GBPJPY,BUY,win,1.3043,3.49,4.54,1
2026-05-14,2026-05-14 13:45:00,2026-05-14 20:00:00,GBPJPY,SELL,timeout,0.8459,4.54,5.42,1
2026-05-15,2026-05-15 13:45:00,2026-05-15 14:15:00,GBPJPY,SELL,loss,-1.0,5.42,4.18,1
2026-05-18,2026-05-18 13:45:00,2026-05-18 14:15:00,GBPJPY,BUY,win,1.3043,4.18,5.43,1
2026-05-21,2026-05-21 13:45:00,2026-05-21 14:45:00,GBPJPY,BUY,loss,-1.0,5.43,4.18,1
2026-05-22,2026-05-22 13:45:00,2026-05-22 14:00:00,GBPJPY,SELL,win,1.3043,4.18,5.43,1
2026-05-25,2026-05-25 13:45:00,2026-05-25 15:00:00,GBPJPY,SELL,loss,-1.0,5.43,4.18,1
2026-05-27,2026-05-27 13:45:00,2026-05-27 14:00:00,GBPJPY,SELL,loss,-1.0,4.18,3.22,1
2026-05-28,2026-05-28 13:45:00,2026-05-28 14:00:00,GBPJPY,BUY,loss,-1.0,3.22,2.48,1
2026-05-29,2026-05-29 13:45:00,2026-05-29 14:30:00,GBPJPY,BUY,loss,-1.0,2.48,1.91,1
2026-06-01,2026-06-01 13:45:00,2026-06-01 13:45:00,GBPJPY,SELL,win,1.3043,1.91,2.48,1
2026-06-02,2026-06-02 13:45:00,2026-06-02 14:30:00,GBPJPY,SELL,loss,-1.0,2.48,1.91,1
2026-06-03,2026-06-03 13:45:00,2026-06-03 14:00:00,GBPJPY,SELL,loss,-1.0,1.91,1.47,1
2026-06-04,2026-06-04 13:45:00,2026-06-04 14:30:00,GBPJPY,BUY,loss,-1.0,1.47,1.13,1
2026-06-08,2026-06-08 14:00:00,2026-06-08 14:15:00,GBPJPY,BUY,loss,-1.0,1.13,0.87,1
2026-06-09,2026-06-09 13:45:00,2026-06-09 14:15:00,GBPJPY,BUY,loss,-1.0,0.87,0.67,1
2026-06-10,2026-06-10 13:45:00,2026-06-10 14:15:00,GBPJPY,BUY,loss,-1.0,0.67,0.52,1
2026-06-11,2026-06-11 13:45:00,2026-06-11 14:00:00,GBPJPY,BUY,loss,-1.0,0.52,0.4,1
