trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,symbol
122,70,47,5,57.38,45.32,20.0,10768.46,24,52399.91,False,,84.91,7.72,AUDUSD
126,67,49,10,53.17,39.37,20.0,2882.88,19,52399.91,False,,87.53,15.21,US30
124,65,54,5,52.42,31.09,20.0,398.77,12,52399.91,False,,90.35,20.0,XAUUSD
122,63,53,6,51.64,29.54,20.0,307.0,11,52399.91,False,,79.03,20.0,USDCAD
125,59,57,9,47.2,20.31,20.0,37.24,3,52399.91,False,,96.4,1.58,EURJPY
126,60,59,7,47.62,20.54,20.0,35.81,3,52399.91,False,,92.66,2.85,XAGUSD
122,57,58,7,46.72,19.29,20.0,30.31,2,52399.91,False,,82.63,9.74,GBPUSD
122,57,59,6,46.72,16.76,20.0,16.23,1,52399.91,False,,99.12,0.34,USDCHF
121,54,59,8,44.63,14.81,20.0,11.48,1,52399.91,False,,97.97,3.25,NZDUSD
121,52,62,7,42.98,7.76,20.0,2.33,1,52399.91,False,,93.06,1.84,EURUSD
128,52,66,10,40.62,3.33,20.0,0.69,1,52399.91,False,,99.45,0.19,USDJPY
121,50,69,2,41.32,-2.6,20.0,0.19,1,52399.91,False,,99.06,0.19,EURGBP
125,46,72,7,36.8,-8.45,20.0,0.05,1,52399.91,False,,99.97,0.01,GBPJPY
176,64,93,19,36.36,-6.45,20.0,0.02,1,52399.91,False,,99.9,0.02,BTCUSD
