date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-19,2026-05-19 23:30:00,2026-05-20 00:00:00,USDCHF,SELL,loss,-1.0,20.0,15.4,1
2026-05-20,2026-05-20 23:30:00,2026-05-21 01:00:00,USDCHF,BUY,loss,-1.0,15.4,11.86,1
2026-05-21,2026-05-21 23:30:00,2026-05-21 23:45:00,USDCHF,BUY,loss,-1.0,11.86,9.13,1
2026-05-24,2026-05-24 23:30:00,2026-05-24 23:45:00,USDCHF,BUY,win,1.3043,9.13,11.87,1
2026-05-25,2026-05-25 23:30:00,2026-05-25 23:30:00,USDCHF,BUY,win,1.3043,11.87,15.43,1
2026-05-26,2026-05-26 23:30:00,2026-05-27 01:30:00,USDCHF,SELL,loss,-1.0,15.43,11.88,1
2026-05-27,2026-05-27 23:30:00,2026-05-28 01:45:00,USDCHF,BUY,win,1.3043,11.88,15.45,1
2026-05-28,2026-05-29 00:00:00,2026-05-29 00:45:00,USDCHF,SELL,loss,-1.0,15.45,11.89,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 00:00:00,USDCHF,SELL,loss,-1.0,11.89,9.16,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 01:45:00,USDCHF,BUY,loss,-1.0,9.16,7.05,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 00:30:00,USDCHF,SELL,win,1.3043,7.05,9.17,1
2026-06-04,2026-06-04 23:45:00,2026-06-05 00:00:00,USDCHF,SELL,win,1.3043,9.17,11.92,1
2026-06-07,2026-06-07 23:30:00,2026-06-08 00:45:00,USDCHF,SELL,win,1.3043,11.92,15.49,1
2026-06-08,2026-06-08 23:30:00,2026-06-09 00:00:00,USDCHF,BUY,win,1.3043,15.49,20.14,1
2026-06-09,2026-06-09 23:30:00,2026-06-10 00:00:00,USDCHF,BUY,loss,-1.0,20.14,15.51,1
2026-06-10,2026-06-10 23:30:00,2026-06-11 01:00:00,USDCHF,SELL,win,1.3043,15.51,20.16,1
2026-06-11,2026-06-11 23:30:00,2026-06-12 00:30:00,USDCHF,BUY,win,1.3043,20.16,26.21,2
2026-06-14,2026-06-14 23:30:00,2026-06-14 23:45:00,USDCHF,BUY,loss,-1.0,26.21,20.18,1
2026-06-15,2026-06-15 23:30:00,2026-06-16 00:15:00,USDCHF,SELL,loss,-1.0,20.18,15.54,1
2026-06-17,2026-06-18 00:00:00,2026-06-18 00:00:00,USDCHF,SELL,win,1.3043,15.54,20.2,1
2026-06-18,2026-06-18 23:30:00,2026-06-18 23:45:00,USDCHF,BUY,win,1.3043,20.2,26.26,2
