date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-31,2026-05-31 23:15:00,2026-06-01 00:00:00,US30,BUY,win,1.2179,20.0,25.6,1
2026-06-02,2026-06-02 23:15:00,2026-06-02 23:15:00,US30,SELL,win,1.256,25.6,33.0,2
2026-06-03,2026-06-03 23:15:00,2026-06-04 00:30:00,US30,SELL,loss,-1.0462,33.0,25.06,1
2026-06-07,2026-06-07 23:30:00,2026-06-08 01:30:00,US30,BUY,loss,-1.0231,25.06,19.16,1
2026-06-08,2026-06-08 23:30:00,2026-06-08 23:45:00,US30,BUY,loss,-1.0795,19.16,14.4,1
2026-06-09,2026-06-09 23:15:00,2026-06-09 23:45:00,US30,SELL,loss,-1.0577,14.4,10.9,1
2026-06-14,2026-06-14 23:15:00,2026-06-14 23:30:00,US30,SELL,loss,-1.0517,10.9,8.26,1
2026-06-15,2026-06-15 23:15:00,2026-06-16 00:30:00,US30,BUY,win,1.2176,8.26,10.58,1
2026-06-17,2026-06-17 23:15:00,2026-06-18 00:00:00,US30,BUY,win,1.265,10.58,13.66,1
2026-06-21,2026-06-21 23:15:00,2026-06-22 00:00:00,US30,SELL,loss,-1.0389,13.66,10.39,1
2026-06-22,2026-06-22 23:15:00,2026-06-22 23:45:00,US30,SELL,loss,-1.0774,10.39,7.82,1
2026-06-23,2026-06-23 23:15:00,2026-06-24 06:00:00,US30,BUY,timeout,-0.3733,7.82,7.15,1
2026-06-25,2026-06-25 23:15:00,2026-06-25 23:15:00,US30,BUY,win,1.2116,7.15,9.14,1
