skipped,symbol,date
ambiguous_breakout,EURUSD,2026-05-27
ambiguous_breakout,EURUSD,2026-06-01
ambiguous_breakout,BTCUSD,2026-05-27
ambiguous_breakout,BTCUSD,2026-06-01
ambiguous_breakout,BTCUSD,2026-06-02
ambiguous_breakout,BTCUSD,2026-06-08
ambiguous_breakout,BTCUSD,2026-06-10
ambiguous_breakout,BTCUSD,2026-06-15
ambiguous_breakout,BTCUSD,2026-06-22
ambiguous_breakout,US30,2026-05-27
ambiguous_breakout,US30,2026-06-01
ambiguous_breakout,US30,2026-06-10
ambiguous_breakout,US30,2026-06-11
ambiguous_breakout,US30,2026-06-24
