date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,AUDUSD,SELL,timeout,-0.22,20.0,18.99,1
2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,EURGBP,SELL,timeout,0.055,18.99,19.23,1
2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,EURUSD,BUY,timeout,-0.295,19.23,17.92,1
2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,GBPUSD,BUY,timeout,-0.13,17.92,17.39,1
2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,USDCAD,BUY,timeout,-0.03,17.39,17.27,1
2026-05-28,2026-05-29 00:00:00,2026-05-29 06:00:00,USDCHF,SELL,timeout,0.03,17.27,17.39,1
2026-05-28,2026-05-29 00:15:00,2026-05-29 06:00:00,NZDUSD,BUY,timeout,0.72,17.39,20.27,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,EURGBP,BUY,timeout,-0.175,20.27,19.45,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,EURJPY,SELL,loss,-1.08,19.45,14.62,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,NZDUSD,BUY,timeout,0.075,14.62,14.87,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,USDCAD,BUY,timeout,-0.08,14.87,14.6,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,USDCHF,SELL,timeout,0.27,14.6,15.5,1
2026-06-01,2026-06-01 23:30:00,2026-06-02 06:00:00,USDJPY,SELL,timeout,-0.425,15.5,13.99,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,AUDUSD,SELL,timeout,0.54,13.99,15.73,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,EURGBP,BUY,timeout,0.105,15.73,16.11,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,EURJPY,SELL,timeout,0.555,16.11,18.16,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,EURUSD,SELL,timeout,0.2,18.16,19.0,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,GBPUSD,SELL,timeout,0.525,19.0,21.29,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,USDCAD,BUY,timeout,0.465,21.29,23.57,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,USDCHF,BUY,timeout,0.47,23.57,26.12,2
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,USDJPY,BUY,timeout,-0.32,26.12,24.19,1
2026-06-02,2026-06-02 23:45:00,2026-06-03 06:00:00,NZDUSD,SELL,timeout,0.725,24.19,28.23,2
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,AUDUSD,SELL,timeout,-0.165,28.23,27.16,2
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,EURGBP,BUY,timeout,-0.19,27.16,25.97,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 04:30:00,EURJPY,BUY,loss,-1.08,25.97,19.52,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,USDCAD,BUY,timeout,0.425,19.52,21.43,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,USDCHF,SELL,timeout,0.31,21.43,22.95,1
2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,EURUSD,BUY,timeout,0.145,22.95,23.72,1
2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,GBPUSD,BUY,timeout,0.28,23.72,25.25,1
