symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
AUDUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:15:00,2026-05-28 10:45:00,BUY,0.71253,0.71103,0.71453,0.71103,loss,-1.06,0.06,9.0,-150.0,0.71253,0.71199,0.9594
EURGBP,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:15:00,2026-05-28 16:00:00,BUY,0.8662,0.8647,0.8682,0.86679,timeout,0.3067,0.0867,13.0,59.0,0.8662,0.86597,1.0878
GBPUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:15:00,2026-05-28 12:30:00,SELL,1.34037,1.34187,1.33837,1.34187,loss,-1.0667,0.0667,10.0,-150.0,1.34114,1.34037,1.0538
NZDUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:15:00,2026-05-28 13:00:00,BUY,0.58916,0.58766,0.59116,0.59116,win,1.24,0.0933,14.0,200.0,0.58916,0.58862,1.0471
USDCHF,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:15:00,2026-05-28 10:30:00,BUY,0.78771,0.78621,0.78971,0.78971,win,1.2467,0.0867,13.0,200.0,0.78771,0.78732,1.1098
USDJPY,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:15:00,2026-05-28 12:30:00,BUY,159.494,159.344,159.694,159.344,loss,-1.0667,0.0667,10.0,-15000.0,159.494,159.437,1.3212
EURUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 12:15:00,SELL,1.16098,1.16248,1.15898,1.16248,loss,-1.0533,0.0533,8.0,-150.0,1.16174,1.16098,1.4575
EURGBP,15,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:15:00,2026-05-29 14:45:00,BUY,0.86719,0.86569,0.86919,0.86569,loss,-1.0867,0.0867,13.0,-150.0,0.86719,0.86688,1.736
EURUSD,15,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:15:00,2026-05-29 08:45:00,SELL,1.16481,1.16631,1.16281,1.16281,win,1.28,0.0533,8.0,200.0,1.1653,1.16481,1.2846
GBPUSD,15,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:15:00,2026-05-29 08:45:00,SELL,1.3431,1.3446,1.3411,1.3411,win,1.2667,0.0667,10.0,200.0,1.34416,1.3431,2.3407
