date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 07:15:00,2026-05-28 14:00:00,AUDUSD,BUY,win,0.955,20.0,24.39,1
2026-06-01,2026-06-01 07:30:00,2026-06-01 13:00:00,AUDUSD,SELL,win,0.955,24.39,29.75,2
2026-06-02,2026-06-02 07:15:00,2026-06-02 16:00:00,AUDUSD,BUY,timeout,0.09,29.75,30.37,2
2026-06-03,2026-06-03 07:30:00,2026-06-03 13:15:00,AUDUSD,BUY,loss,-1.045,30.37,23.07,1
2026-06-05,2026-06-05 07:15:00,2026-06-05 12:45:00,AUDUSD,BUY,loss,-1.045,23.07,17.52,1
2026-06-08,2026-06-08 07:15:00,2026-06-08 11:15:00,AUDUSD,BUY,win,0.955,17.52,21.37,1
2026-06-09,2026-06-09 07:15:00,2026-06-09 14:45:00,AUDUSD,SELL,win,0.955,21.37,26.07,2
2026-06-10,2026-06-10 07:15:00,2026-06-10 11:00:00,AUDUSD,BUY,loss,-1.045,26.07,19.8,1
2026-06-11,2026-06-11 07:15:00,2026-06-11 12:15:00,AUDUSD,BUY,loss,-1.045,19.8,15.04,1
2026-06-12,2026-06-12 07:15:00,2026-06-12 08:15:00,AUDUSD,SELL,loss,-1.045,15.04,11.43,1
2026-06-15,2026-06-15 07:30:00,2026-06-15 16:00:00,AUDUSD,SELL,timeout,-0.57,11.43,9.93,1
2026-06-16,2026-06-16 07:45:00,2026-06-16 16:00:00,AUDUSD,BUY,timeout,0.845,9.93,11.86,1
2026-06-17,2026-06-17 07:15:00,2026-06-17 16:00:00,AUDUSD,BUY,timeout,0.32,11.86,12.73,1
2026-06-18,2026-06-18 07:15:00,2026-06-18 08:45:00,AUDUSD,SELL,win,0.955,12.73,15.53,1
2026-06-19,2026-06-19 07:15:00,2026-06-19 16:00:00,AUDUSD,SELL,timeout,0.025,15.53,15.62,1
2026-06-23,2026-06-23 07:15:00,2026-06-23 11:30:00,AUDUSD,BUY,loss,-1.045,15.62,11.86,1
2026-06-24,2026-06-24 07:15:00,2026-06-24 16:00:00,AUDUSD,SELL,timeout,0.41,11.86,12.98,1
2026-06-25,2026-06-25 07:15:00,2026-06-25 12:45:00,AUDUSD,BUY,win,0.955,12.98,15.83,1
2026-06-26,2026-06-26 07:15:00,2026-06-26 14:15:00,AUDUSD,SELL,loss,-1.045,15.83,12.03,1
