date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 07:15:00,2026-05-28 12:45:00,GBPUSD,SELL,loss,-1.05,20.0,15.17,1
2026-05-29,2026-05-29 07:15:00,2026-05-29 08:45:00,EURUSD,SELL,win,0.96,15.17,18.52,1
2026-06-01,2026-06-01 07:15:00,2026-06-01 13:00:00,EURUSD,SELL,win,0.96,18.52,22.61,1
2026-06-02,2026-06-02 07:15:00,2026-06-02 16:00:00,EURUSD,SELL,timeout,0.395,22.61,24.66,1
2026-06-03,2026-06-03 07:15:00,2026-06-03 13:15:00,USDCHF,SELL,loss,-1.065,24.66,18.62,1
2026-06-04,2026-06-04 07:15:00,2026-06-04 10:00:00,EURUSD,SELL,loss,-1.04,18.62,14.17,1
2026-06-05,2026-06-05 07:15:00,2026-06-05 12:30:00,EURUSD,BUY,loss,-1.04,14.17,10.78,1
2026-06-08,2026-06-08 07:15:00,2026-06-08 09:00:00,EURUSD,BUY,loss,-1.04,10.78,8.2,1
2026-06-09,2026-06-09 07:15:00,2026-06-09 09:30:00,EURUSD,SELL,loss,-1.04,8.2,6.24,1
2026-06-10,2026-06-10 07:15:00,2026-06-10 11:00:00,EURUSD,BUY,loss,-1.04,6.24,4.75,1
2026-06-11,2026-06-11 07:15:00,2026-06-11 10:00:00,EURUSD,BUY,loss,-1.04,4.75,3.61,1
2026-06-12,2026-06-12 07:15:00,2026-06-12 08:15:00,EURUSD,SELL,loss,-1.04,3.61,2.75,1
2026-06-15,2026-06-15 07:15:00,2026-06-15 16:00:00,EURUSD,BUY,timeout,-0.37,2.75,2.51,1
2026-06-16,2026-06-16 07:15:00,2026-06-16 10:15:00,EURUSD,BUY,win,0.96,2.51,3.07,1
2026-06-17,2026-06-17 07:15:00,2026-06-17 11:00:00,EURUSD,BUY,loss,-1.04,3.07,2.33,1
2026-06-18,2026-06-18 07:15:00,2026-06-18 08:45:00,EURUSD,SELL,win,0.96,2.33,2.85,1
2026-06-19,2026-06-19 07:15:00,2026-06-19 08:15:00,GBPUSD,SELL,loss,-1.05,2.85,2.16,1
2026-06-22,2026-06-22 07:15:00,2026-06-22 13:00:00,EURUSD,SELL,win,0.96,2.16,2.64,1
2026-06-23,2026-06-23 07:15:00,2026-06-23 07:30:00,EURUSD,BUY,loss,-1.04,2.64,2.01,1
2026-06-23,2026-06-23 07:30:00,2026-06-23 10:45:00,GBPUSD,SELL,win,0.95,2.01,2.45,1
2026-06-24,2026-06-24 07:15:00,2026-06-24 10:00:00,GBPUSD,BUY,loss,-1.05,2.45,1.86,1
2026-06-25,2026-06-25 07:15:00,2026-06-25 08:30:00,EURUSD,SELL,loss,-1.04,1.86,1.41,1
2026-06-26,2026-06-26 07:15:00,2026-06-26 08:00:00,GBPUSD,SELL,loss,-1.05,1.41,1.07,1
