date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 08:00:00,2026-05-28 12:30:00,EURJPY,SELL,loss,-1.08,20.0,15.03,1
2026-05-29,2026-05-29 07:30:00,2026-05-29 08:45:00,EURJPY,SELL,win,0.92,15.03,18.21,1
2026-06-01,2026-06-01 07:30:00,2026-06-01 13:00:00,EURJPY,SELL,win,0.92,18.21,22.07,1
2026-06-02,2026-06-02 08:00:00,2026-06-02 12:15:00,EURJPY,SELL,loss,-1.08,22.07,16.59,1
2026-06-03,2026-06-03 07:30:00,2026-06-03 07:30:00,EURJPY,SELL,win,0.92,16.59,20.09,1
2026-06-04,2026-06-04 07:30:00,2026-06-04 09:00:00,EURJPY,SELL,loss,-1.08,20.09,15.1,1
2026-06-05,2026-06-05 07:30:00,2026-06-05 09:00:00,EURJPY,BUY,win,0.92,15.1,18.3,1
2026-06-08,2026-06-08 08:00:00,2026-06-08 08:45:00,EURJPY,SELL,win,0.92,18.3,22.17,1
2026-06-09,2026-06-09 07:30:00,2026-06-09 08:45:00,EURJPY,SELL,loss,-1.08,22.17,16.66,1
2026-06-10,2026-06-10 09:00:00,2026-06-10 11:00:00,EURJPY,BUY,loss,-1.08,16.66,12.52,1
2026-06-11,2026-06-11 08:00:00,2026-06-11 10:00:00,EURJPY,SELL,win,0.92,12.52,15.17,1
2026-06-12,2026-06-12 07:30:00,2026-06-12 16:00:00,EURJPY,SELL,timeout,-0.185,15.17,14.53,1
2026-06-15,2026-06-15 08:00:00,2026-06-15 12:45:00,EURJPY,BUY,win,0.92,14.53,17.6,1
2026-06-16,2026-06-16 07:30:00,2026-06-16 08:45:00,EURJPY,BUY,win,0.92,17.6,21.33,1
2026-06-17,2026-06-17 07:30:00,2026-06-17 08:30:00,EURJPY,SELL,win,0.92,21.33,25.84,1
2026-06-18,2026-06-18 08:00:00,2026-06-18 08:45:00,EURJPY,SELL,win,0.92,25.84,31.31,2
2026-06-19,2026-06-19 07:30:00,2026-06-19 08:30:00,EURJPY,BUY,win,0.92,31.31,37.93,3
2026-06-22,2026-06-22 07:30:00,2026-06-22 13:00:00,EURJPY,SELL,win,0.92,37.93,45.96,4
2026-06-23,2026-06-23 07:30:00,2026-06-23 07:30:00,EURJPY,SELL,loss,-1.08,45.96,34.54,3
2026-06-24,2026-06-24 08:00:00,2026-06-24 10:45:00,EURJPY,SELL,win,0.92,34.54,41.85,3
2026-06-25,2026-06-25 08:00:00,2026-06-25 10:45:00,EURJPY,BUY,loss,-1.08,41.85,31.46,2
2026-06-26,2026-06-26 07:30:00,2026-06-26 08:15:00,EURJPY,BUY,win,0.92,31.46,38.11,3
