date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 07:30:00,2026-05-28 12:30:00,GBPUSD,SELL,loss,-1.05,20.0,15.17,1
2026-05-29,2026-05-29 07:30:00,2026-05-29 13:15:00,GBPUSD,SELL,loss,-1.05,15.17,11.51,1
2026-06-01,2026-06-01 07:30:00,2026-06-01 13:00:00,GBPUSD,SELL,win,0.95,11.51,14.02,1
2026-06-02,2026-06-02 08:15:00,2026-06-02 16:00:00,GBPUSD,SELL,timeout,-0.595,14.02,12.1,1
2026-06-04,2026-06-04 07:30:00,2026-06-04 09:15:00,GBPUSD,SELL,loss,-1.05,12.1,9.18,1
2026-06-05,2026-06-05 07:30:00,2026-06-05 09:00:00,GBPUSD,BUY,win,0.95,9.18,11.18,1
2026-06-08,2026-06-08 08:45:00,2026-06-08 10:30:00,GBPUSD,SELL,loss,-1.05,11.18,8.48,1
2026-06-09,2026-06-09 07:30:00,2026-06-09 09:15:00,GBPUSD,BUY,win,0.95,8.48,10.34,1
2026-06-10,2026-06-10 09:30:00,2026-06-10 13:30:00,GBPUSD,BUY,win,0.95,10.34,12.6,1
2026-06-11,2026-06-11 08:15:00,2026-06-11 10:00:00,GBPUSD,SELL,win,0.95,12.6,15.35,1
2026-06-12,2026-06-12 07:30:00,2026-06-12 08:15:00,GBPUSD,SELL,loss,-1.05,15.35,11.64,1
2026-06-15,2026-06-15 07:30:00,2026-06-15 16:00:00,GBPUSD,SELL,timeout,0.06,11.64,11.8,1
2026-06-16,2026-06-16 07:30:00,2026-06-16 15:45:00,GBPUSD,BUY,win,0.95,11.8,14.38,1
2026-06-17,2026-06-17 07:30:00,2026-06-17 14:45:00,GBPUSD,SELL,win,0.95,14.38,17.52,1
2026-06-18,2026-06-18 07:30:00,2026-06-18 08:30:00,GBPUSD,SELL,win,0.95,17.52,21.35,1
2026-06-19,2026-06-19 08:15:00,2026-06-19 08:30:00,GBPUSD,BUY,win,0.95,21.35,26.02,2
2026-06-22,2026-06-22 07:30:00,2026-06-22 09:00:00,GBPUSD,SELL,loss,-1.05,26.02,19.73,1
2026-06-23,2026-06-23 07:30:00,2026-06-23 10:45:00,GBPUSD,SELL,win,0.95,19.73,24.05,1
2026-06-24,2026-06-24 07:30:00,2026-06-24 10:00:00,GBPUSD,BUY,loss,-1.05,24.05,18.24,1
2026-06-25,2026-06-25 07:30:00,2026-06-25 11:15:00,GBPUSD,BUY,loss,-1.05,18.24,13.83,1
