date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 12:30:00,2026-05-28 14:00:00,NZDUSD,BUY,win,1.24,20.0,25.7,1
2026-05-29,2026-05-29 12:45:00,2026-05-29 20:45:00,NZDUSD,BUY,timeout,0.66,25.7,29.61,2
2026-06-01,2026-06-01 12:45:00,2026-06-01 13:00:00,NZDUSD,BUY,loss,-1.0933,29.61,22.16,1
2026-06-02,2026-06-02 12:30:00,2026-06-02 21:00:00,NZDUSD,SELL,timeout,0.6267,22.16,25.36,1
2026-06-03,2026-06-03 12:30:00,2026-06-03 13:45:00,NZDUSD,SELL,win,1.24,25.36,32.59,2
2026-06-04,2026-06-04 13:45:00,2026-06-04 18:15:00,NZDUSD,BUY,loss,-1.0933,32.59,24.39,1
2026-06-05,2026-06-05 12:30:00,2026-06-05 12:45:00,NZDUSD,SELL,win,1.24,24.39,31.35,2
2026-06-08,2026-06-08 12:30:00,2026-06-08 13:45:00,NZDUSD,BUY,loss,-1.0933,31.35,23.47,1
2026-06-09,2026-06-09 12:30:00,2026-06-09 15:30:00,NZDUSD,SELL,win,1.24,23.47,30.16,2
2026-06-10,2026-06-10 12:30:00,2026-06-10 13:30:00,NZDUSD,BUY,win,1.24,30.16,38.76,3
2026-06-11,2026-06-11 12:30:00,2026-06-11 17:15:00,NZDUSD,SELL,loss,-1.0933,38.76,29.01,2
2026-06-12,2026-06-12 12:30:00,2026-06-12 15:15:00,NZDUSD,SELL,loss,-1.0933,29.01,21.72,1
2026-06-15,2026-06-15 12:30:00,2026-06-15 18:15:00,NZDUSD,BUY,loss,-1.0933,21.72,16.26,1
2026-06-16,2026-06-16 12:30:00,2026-06-16 21:00:00,NZDUSD,BUY,timeout,-0.0867,16.26,15.93,1
2026-06-17,2026-06-17 12:45:00,2026-06-17 18:00:00,NZDUSD,BUY,loss,-1.0933,15.93,11.93,1
2026-06-18,2026-06-18 13:30:00,2026-06-18 15:45:00,NZDUSD,BUY,loss,-1.0933,11.93,8.93,1
2026-06-19,2026-06-19 12:30:00,2026-06-19 20:45:00,NZDUSD,SELL,timeout,0.0133,8.93,8.95,1
2026-06-22,2026-06-22 12:30:00,2026-06-22 15:45:00,NZDUSD,BUY,loss,-1.0933,8.95,6.7,1
2026-06-23,2026-06-23 12:30:00,2026-06-23 21:00:00,NZDUSD,SELL,timeout,0.4067,6.7,7.33,1
2026-06-24,2026-06-24 12:30:00,2026-06-24 16:30:00,NZDUSD,SELL,loss,-1.0933,7.33,5.49,1
2026-06-25,2026-06-25 12:30:00,2026-06-25 16:00:00,NZDUSD,BUY,win,1.24,5.49,7.05,1
2026-06-26,2026-06-26 12:30:00,2026-06-26 20:45:00,NZDUSD,SELL,timeout,0.4267,7.05,7.74,1
