date,opened_at,closed_at,symbol,direction,result,r_multiple,balance_before,balance_after,level_after
2026-05-28,2026-05-28 12:45:00,2026-05-28 21:00:00,EURGBP,BUY,timeout,-0.3766,20.0,18.27,1
2026-06-01,2026-06-01 13:00:00,2026-06-01 21:00:00,EURGBP,BUY,timeout,-0.6299,18.27,15.62,1
2026-06-02,2026-06-02 12:30:00,2026-06-02 16:30:00,EURGBP,BUY,loss,-1.0844,15.62,11.72,1
2026-06-04,2026-06-04 13:30:00,2026-06-04 21:00:00,EURGBP,BUY,timeout,-0.1948,11.72,11.2,1
2026-06-08,2026-06-08 12:30:00,2026-06-08 21:00:00,EURGBP,BUY,timeout,0.1948,11.2,11.7,1
2026-06-09,2026-06-09 12:30:00,2026-06-09 21:00:00,EURGBP,BUY,timeout,-0.5909,11.7,10.11,1
2026-06-10,2026-06-10 12:30:00,2026-06-10 21:00:00,EURGBP,BUY,timeout,0.2468,10.11,10.69,1
2026-06-11,2026-06-11 12:30:00,2026-06-11 21:00:00,EURGBP,BUY,timeout,-0.6623,10.69,9.06,1
2026-06-12,2026-06-12 12:30:00,2026-06-12 20:45:00,EURGBP,BUY,timeout,-0.4675,9.06,8.08,1
2026-06-15,2026-06-15 12:30:00,2026-06-15 15:15:00,EURGBP,BUY,loss,-1.0844,8.08,6.07,1
2026-06-16,2026-06-16 12:45:00,2026-06-16 21:00:00,EURGBP,SELL,timeout,-0.1169,6.07,5.9,1
2026-06-17,2026-06-17 12:30:00,2026-06-17 21:00:00,EURGBP,BUY,timeout,0.013,5.9,5.92,1
2026-06-18,2026-06-18 12:30:00,2026-06-18 16:00:00,EURGBP,SELL,loss,-1.0844,5.92,4.44,1
2026-06-19,2026-06-19 12:30:00,2026-06-19 20:45:00,EURGBP,BUY,timeout,-0.0649,4.44,4.38,1
2026-06-22,2026-06-22 12:30:00,2026-06-22 21:00:00,EURGBP,SELL,timeout,1.1104,4.38,5.5,1
2026-06-23,2026-06-23 12:45:00,2026-06-23 21:00:00,EURGBP,BUY,timeout,-0.1948,5.5,5.25,1
2026-06-24,2026-06-24 12:30:00,2026-06-24 21:00:00,EURGBP,SELL,timeout,-0.7727,5.25,4.32,1
2026-06-25,2026-06-25 12:45:00,2026-06-25 21:00:00,EURGBP,SELL,timeout,0.1169,4.32,4.43,1
2026-06-26,2026-06-26 12:30:00,2026-06-26 13:00:00,EURGBP,BUY,win,1.2143,4.43,5.67,1
