date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,AUDUSD,SELL,timeout,-0.275,4.6,3.2,16.0,0.0288,0.02,False,-0.88,20.0,19.12,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,AUDUSD,SELL,timeout,0.675,4.4,3.2,16.74,0.0275,0.02,False,2.16,19.12,21.28,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,AUDUSD,SELL,timeout,-0.2063,4.89,4.8,22.56,0.0306,0.03,False,-0.99,21.28,20.29,1
2026-06-04,2026-06-04 23:30:00,2026-06-05 01:00:00,AUDUSD,SELL,win,1.1937,4.67,3.2,15.77,0.0292,0.02,False,3.82,20.29,24.11,1
2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,AUDUSD,SELL,timeout,-0.375,5.55,4.8,19.91,0.0347,0.03,False,-1.8,24.11,22.31,1
2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,AUDUSD,BUY,timeout,0.325,5.13,4.8,21.52,0.0321,0.03,False,1.56,22.31,23.87,1
2026-06-11,2026-06-11 23:30:00,2026-06-12 05:45:00,AUDUSD,SELL,win,1.1937,5.49,4.8,20.11,0.0343,0.03,False,5.73,23.87,29.6,2
2026-06-16,2026-06-16 23:45:00,2026-06-17 06:00:00,AUDUSD,SELL,timeout,0.5562,6.81,6.4,21.62,0.0425,0.04,False,3.56,29.6,33.16,2
2026-06-17,2026-06-17 23:30:00,2026-06-18 02:45:00,AUDUSD,BUY,win,1.1937,7.63,6.4,19.3,0.0477,0.04,False,7.64,33.16,40.8,3
2026-06-18,2026-06-18 23:30:00,2026-06-19 04:00:00,AUDUSD,SELL,win,1.1937,9.38,8.0,19.61,0.0586,0.05,False,9.55,40.8,50.35,4
2026-06-23,2026-06-23 23:30:00,2026-06-24 06:00:00,AUDUSD,SELL,timeout,-0.2437,11.58,11.2,22.25,0.0724,0.07,False,-2.73,50.35,47.62,4
2026-06-24,2026-06-24 23:45:00,2026-06-25 06:00:00,AUDUSD,BUY,timeout,-0.3062,10.95,9.6,20.16,0.0685,0.06,False,-2.94,47.62,44.68,4
2026-06-25,2026-06-25 23:30:00,2026-06-26 02:00:00,AUDUSD,SELL,win,1.1937,10.28,9.6,21.49,0.0642,0.06,False,11.46,44.68,56.14,4
