date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2026-06-02,2026-06-02 23:30:00,2026-06-03 01:45:00,USDJPY,BUY,loss,-1.0588,4.6,4.2,21.02,0.0438,0.04,False,-4.45,20.0,15.55,1
2026-06-03,2026-06-04 00:30:00,2026-06-04 04:30:00,USDJPY,SELL,win,1.1176,3.58,3.15,20.28,0.034,0.03,False,3.52,15.55,19.07,1
2026-06-04,2026-06-05 00:30:00,2026-06-05 06:00:00,USDJPY,SELL,timeout,0.0,4.39,4.2,22.04,0.0417,0.04,False,0.0,19.07,19.07,1
2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,USDJPY,SELL,timeout,0.2765,4.39,4.2,22.04,0.0417,0.04,False,1.16,19.07,20.24,1
2026-06-10,2026-06-10 23:30:00,2026-06-11 06:00:00,USDJPY,SELL,timeout,-0.2118,4.65,4.2,20.78,0.0443,0.04,False,-0.89,20.24,19.34,1
2026-06-11,2026-06-11 23:30:00,2026-06-12 01:45:00,USDJPY,BUY,win,1.1176,4.45,4.2,21.73,0.0423,0.04,False,4.7,19.34,24.04,1
2026-06-16,2026-06-16 23:45:00,2026-06-17 04:45:00,USDJPY,BUY,loss,-1.0588,5.53,5.26,21.86,0.0526,0.05,False,-5.56,24.04,18.48,1
2026-06-17,2026-06-17 23:45:00,2026-06-18 06:00:00,USDJPY,BUY,timeout,-0.0588,4.25,4.2,22.75,0.0404,0.04,False,-0.25,18.48,18.23,1
2026-06-18,2026-06-19 00:00:00,2026-06-19 00:30:00,USDJPY,SELL,win,1.1176,4.19,3.15,17.3,0.0399,0.03,False,3.52,18.23,21.76,1
2026-06-23,2026-06-23 23:30:00,2026-06-24 06:00:00,USDJPY,BUY,timeout,0.2824,5.0,4.2,19.33,0.0476,0.04,False,1.19,21.76,22.94,1
2026-06-24,2026-06-24 23:30:00,2026-06-25 01:15:00,USDJPY,BUY,loss,-1.0588,5.28,5.26,22.91,0.0502,0.05,False,-5.56,22.94,17.38,1
2026-06-25,2026-06-26 00:00:00,2026-06-26 03:45:00,USDJPY,BUY,loss,-1.0588,4.0,3.15,18.14,0.038,0.03,False,-3.34,17.38,14.04,1
