date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2026-03-26,2026-03-26 23:30:00,2026-03-27 00:45:00,EURJPY,BUY,loss,-1.0941,4.6,4.2,21.02,0.0438,0.04,False,-4.6,20.0,15.4,1
2026-03-31,2026-03-31 23:45:00,2026-04-01 00:45:00,EURJPY,BUY,win,1.0824,3.54,3.15,20.48,0.0337,0.03,False,3.41,15.4,18.81,1
2026-04-01,2026-04-01 23:30:00,2026-04-02 02:30:00,EURJPY,BUY,win,1.0824,4.33,4.2,22.35,0.0412,0.04,False,4.55,18.81,23.36,1
2026-04-07,2026-04-07 23:30:00,2026-04-07 23:30:00,EURJPY,BUY,loss,-1.0941,5.37,5.26,22.49,0.0511,0.05,False,-5.75,23.36,17.61,1
2026-04-08,2026-04-08 23:30:00,2026-04-09 00:45:00,EURJPY,BUY,win,1.0824,4.05,3.15,17.9,0.0385,0.03,False,3.41,17.61,21.03,1
2026-04-09,2026-04-09 23:30:00,2026-04-10 06:00:00,EURJPY,SELL,loss,-1.0941,4.84,4.2,20.0,0.046,0.04,False,-4.6,21.03,16.43,1
2026-04-14,2026-04-14 23:45:00,2026-04-15 00:45:00,EURJPY,BUY,loss,-1.0941,3.78,3.15,19.2,0.0359,0.03,False,-3.45,16.43,12.98,1
2026-04-15,2026-04-15 23:30:00,2026-04-16 01:45:00,EURJPY,BUY,loss,-1.0941,2.98,2.1,16.2,0.0284,0.02,False,-2.3,12.98,10.68,1
2026-04-16,2026-04-16 23:30:00,2026-04-17 03:30:00,EURJPY,BUY,win,1.0824,2.46,2.1,19.69,0.0234,0.02,False,2.28,10.68,12.95,1
2026-04-21,2026-04-21 23:30:00,2026-04-22 00:45:00,EURJPY,BUY,loss,-1.0941,2.98,2.1,16.23,0.0283,0.02,False,-2.3,12.95,10.65,1
2026-04-22,2026-04-22 23:30:00,2026-04-23 06:00:00,EURJPY,BUY,timeout,0.4118,2.45,2.1,19.73,0.0233,0.02,False,0.87,10.65,11.52,1
2026-04-23,2026-04-23 23:30:00,2026-04-24 06:00:00,EURJPY,BUY,timeout,-0.3824,2.65,2.1,18.25,0.0252,0.02,False,-0.8,11.52,10.71,1
2026-04-28,2026-04-28 23:30:00,2026-04-29 05:30:00,EURJPY,BUY,loss,-1.0941,2.46,2.1,19.62,0.0234,0.02,False,-2.3,10.71,8.41,1
2026-04-29,2026-04-29 23:30:00,2026-04-30 06:00:00,EURJPY,SELL,loss,-1.0941,1.94,1.05,12.49,0.0184,0.01,False,-1.15,8.41,7.26,1
2026-04-30,2026-04-30 23:30:00,2026-04-30 23:45:00,EURJPY,BUY,win,1.0824,1.67,1.05,14.47,0.0159,0.01,False,1.14,7.26,8.4,1
2026-05-05,2026-05-05 23:30:00,2026-05-06 03:00:00,EURJPY,BUY,win,1.0824,1.93,1.05,12.51,0.0184,0.01,False,1.14,8.4,9.54,1
2026-05-06,2026-05-06 23:45:00,2026-05-07 00:00:00,EURJPY,BUY,loss,-1.0941,2.19,2.1,22.04,0.0209,0.02,False,-2.3,9.54,7.24,1
2026-05-07,2026-05-07 23:30:00,2026-05-08 06:00:00,EURJPY,BUY,timeout,0.6353,1.67,1.05,14.52,0.0158,0.01,False,0.67,7.24,7.91,1
2026-05-12,2026-05-12 23:30:00,2026-05-13 06:00:00,EURJPY,SELL,timeout,-0.0353,1.82,1.05,13.29,0.0173,0.01,False,-0.04,7.91,7.87,1
2026-05-13,2026-05-13 23:30:00,2026-05-14 04:00:00,EURJPY,BUY,loss,-1.0941,1.81,1.05,13.36,0.0172,0.01,False,-1.15,7.87,6.72,1
2026-05-14,2026-05-14 23:30:00,2026-05-15 05:45:00,EURJPY,SELL,win,1.0824,1.55,1.05,15.64,0.0147,0.01,False,1.14,6.72,7.86,1
2026-05-19,2026-05-19 23:45:00,2026-05-20 01:45:00,EURJPY,SELL,win,1.0824,1.81,1.05,13.38,0.0172,0.01,False,1.14,7.86,9.0,1
2026-05-20,2026-05-20 23:30:00,2026-05-21 06:00:00,EURJPY,BUY,timeout,0.7765,2.07,1.05,11.68,0.0197,0.01,False,0.82,9.0,9.81,1
2026-05-21,2026-05-21 23:30:00,2026-05-22 06:00:00,EURJPY,BUY,timeout,-0.0882,2.26,2.1,21.43,0.0215,0.02,False,-0.19,9.81,9.63,1
2026-05-26,2026-05-26 23:30:00,2026-05-27 06:00:00,EURJPY,BUY,timeout,0.8529,2.21,2.1,21.84,0.0211,0.02,False,1.79,9.63,11.42,1
2026-05-27,2026-05-27 23:30:00,2026-05-28 03:00:00,EURJPY,SELL,win,1.0824,2.63,2.1,18.41,0.025,0.02,False,2.28,11.42,13.69,1
2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,EURJPY,SELL,timeout,0.6529,3.15,2.1,15.35,0.03,0.02,False,1.37,13.69,15.07,1
2026-06-03,2026-06-03 23:30:00,2026-06-04 04:30:00,EURJPY,BUY,loss,-1.0941,3.47,3.15,20.93,0.033,0.03,False,-3.45,15.07,11.62,1
2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,EURJPY,SELL,timeout,-0.1412,2.67,2.1,18.1,0.0254,0.02,False,-0.3,11.62,11.32,1
2026-06-09,2026-06-09 23:30:00,2026-06-10 03:45:00,EURJPY,SELL,loss,-1.0941,2.6,2.1,18.57,0.0248,0.02,False,-2.3,11.32,9.02,1
2026-06-10,2026-06-10 23:30:00,2026-06-11 01:30:00,EURJPY,BUY,win,1.0824,2.07,1.05,11.65,0.0197,0.01,False,1.14,9.02,10.16,1
2026-06-11,2026-06-11 23:45:00,2026-06-12 01:15:00,EURJPY,BUY,loss,-1.0941,2.34,2.1,20.69,0.0222,0.02,False,-2.3,10.16,7.86,1
2026-06-17,2026-06-17 23:45:00,2026-06-18 00:45:00,EURJPY,BUY,win,1.0824,1.81,1.05,13.38,0.0172,0.01,False,1.14,7.86,9.0,1
2026-06-18,2026-06-18 23:30:00,2026-06-19 00:30:00,EURJPY,SELL,win,1.0824,2.07,1.05,11.68,0.0197,0.01,False,1.14,9.0,10.13,1
2026-06-23,2026-06-23 23:30:00,2026-06-24 02:45:00,EURJPY,SELL,win,1.0824,2.33,2.1,20.74,0.0222,0.02,False,2.28,10.13,12.41,1
2026-06-24,2026-06-24 23:30:00,2026-06-25 00:30:00,EURJPY,BUY,loss,-1.0941,2.85,2.1,16.94,0.0272,0.02,False,-2.3,12.41,10.11,1
2026-06-25,2026-06-25 23:30:00,2026-06-26 06:00:00,EURJPY,SELL,timeout,0.1353,2.33,2.1,20.8,0.0221,0.02,False,0.28,10.11,10.39,1
