date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-31 01:15:00,2025-12-31 07:00:00,USDCHF,SELL,timeout,-0.9824,4.6,4.2,20.99,0.0219,0.02,False,-4.12,20.0,15.88,1
2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,USDCHF,SELL,timeout,-0.7059,3.65,2.1,13.22,0.0174,0.01,False,-1.48,15.88,14.39,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,USDCHF,SELL,timeout,0.3059,3.31,2.1,14.58,0.0158,0.01,False,0.64,14.39,15.04,1
2026-01-07,2026-01-08 00:30:00,2026-01-08 07:00:00,USDCHF,SELL,timeout,-0.0588,3.46,2.1,13.96,0.0165,0.01,False,-0.12,15.04,14.91,1
2026-01-08,2026-01-09 01:00:00,2026-01-09 07:00:00,USDCHF,BUY,timeout,0.2882,3.43,2.1,14.08,0.0163,0.01,False,0.6,14.91,15.52,1
2026-01-13,2026-01-14 01:00:00,2026-01-14 07:00:00,USDCHF,BUY,timeout,-0.5,3.57,2.1,13.53,0.017,0.01,False,-1.05,15.52,14.47,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,USDCHF,BUY,timeout,0.6471,3.33,2.1,14.51,0.0159,0.01,False,1.36,14.47,15.83,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,USDCHF,BUY,timeout,-0.8059,3.64,2.1,13.26,0.0173,0.01,False,-1.69,15.83,14.13,1
2026-01-20,2026-01-21 00:45:00,2026-01-21 07:00:00,USDCHF,BUY,timeout,0.7,3.25,2.1,14.85,0.0155,0.01,False,1.47,14.13,15.6,1
2026-01-21,2026-01-22 00:30:00,2026-01-22 07:00:00,USDCHF,SELL,timeout,0.3294,3.59,2.1,13.45,0.0171,0.01,False,0.69,15.6,16.3,1
2026-01-22,2026-01-23 00:30:00,2026-01-23 07:00:00,USDCHF,SELL,timeout,-0.8,3.75,2.1,12.88,0.0179,0.01,False,-1.68,16.3,14.62,1
2026-01-27,2026-01-28 01:00:00,2026-01-28 02:00:00,USDCHF,BUY,win,1.1,3.36,2.1,14.36,0.016,0.01,False,2.31,14.62,16.93,1
2026-01-28,2026-01-29 00:30:00,2026-01-29 01:00:00,USDCHF,SELL,loss,-1.0765,3.89,2.1,12.4,0.0185,0.01,False,-2.26,16.93,14.67,1
2026-01-29,2026-01-30 00:30:00,2026-01-30 01:15:00,USDCHF,BUY,win,1.1,3.37,2.1,14.31,0.0161,0.01,False,2.31,14.67,16.97,1
2026-02-03,2026-02-04 00:30:00,2026-02-04 07:00:00,USDCHF,BUY,timeout,-0.3471,3.9,2.1,12.37,0.0186,0.01,False,-0.73,16.97,16.25,1
2026-02-04,2026-02-05 00:30:00,2026-02-05 07:00:00,USDCHF,BUY,timeout,0.3647,3.74,2.1,12.92,0.0178,0.01,False,0.77,16.25,17.01,1
2026-02-05,2026-02-06 00:45:00,2026-02-06 07:00:00,USDCHF,SELL,timeout,0.3765,3.91,2.1,12.34,0.0186,0.01,False,0.79,17.01,17.8,1
2026-02-10,2026-02-11 00:30:00,2026-02-11 04:15:00,USDCHF,SELL,win,1.1,4.09,2.1,11.79,0.0195,0.01,False,2.31,17.8,20.11,1
2026-02-11,2026-02-12 00:30:00,2026-02-12 06:30:00,USDCHF,SELL,loss,-1.0765,4.63,4.2,20.88,0.022,0.02,False,-4.52,20.11,15.59,1
2026-02-12,2026-02-13 00:30:00,2026-02-13 07:00:00,USDCHF,SELL,loss,-1.0765,3.59,2.1,13.46,0.0171,0.01,False,-2.26,15.59,13.33,1
2026-02-17,2026-02-18 00:30:00,2026-02-18 07:00:00,USDCHF,SELL,timeout,-0.8176,3.07,2.1,15.75,0.0146,0.01,False,-1.72,13.33,11.62,1
2026-02-19,2026-02-20 00:30:00,2026-02-20 07:00:00,USDCHF,BUY,timeout,-0.3235,2.67,2.1,18.07,0.0127,0.01,False,-0.68,11.62,10.94,1
2026-02-24,2026-02-25 00:30:00,2026-02-25 07:00:00,USDCHF,SELL,timeout,0.5118,2.52,2.1,19.2,0.012,0.01,False,1.07,10.94,12.01,1
2026-02-26,2026-02-27 00:45:00,2026-02-27 07:00:00,USDCHF,BUY,timeout,0.0706,2.76,2.1,17.48,0.0132,0.01,False,0.15,12.01,12.16,1
2026-03-03,2026-03-04 00:30:00,2026-03-04 01:15:00,USDCHF,SELL,loss,-1.0765,2.8,2.1,17.27,0.0133,0.01,False,-2.26,12.16,9.9,1
2026-03-04,2026-03-05 00:30:00,2026-03-05 03:15:00,USDCHF,SELL,loss,-1.0765,2.28,2.1,21.21,0.0108,0.01,False,-2.26,9.9,7.64,1
2026-03-05,2026-03-06 01:15:00,2026-03-06 07:00:00,USDCHF,BUY,timeout,-0.2353,1.76,2.1,27.48,0.0084,0.01,True,-0.49,7.64,7.15,1
2026-03-11,2026-03-11 23:30:00,2026-03-12 06:00:00,USDCHF,BUY,timeout,-0.0412,1.64,2.1,29.38,0.0078,0.01,True,-0.09,7.15,7.06,1
2026-03-12,2026-03-12 23:45:00,2026-03-13 04:30:00,USDCHF,SELL,loss,-1.0765,1.62,2.1,29.74,0.0077,0.01,True,-2.26,7.06,4.8,1
2026-03-17,2026-03-17 23:45:00,2026-03-18 06:00:00,USDCHF,BUY,timeout,0.0647,1.1,2.1,43.74,0.0053,0.01,True,0.14,4.8,4.93,1
2026-03-18,2026-03-18 23:30:00,2026-03-19 06:00:00,USDCHF,SELL,timeout,0.1353,1.13,2.1,42.54,0.0054,0.01,True,0.28,4.93,5.22,1
2026-03-19,2026-03-19 23:30:00,2026-03-20 06:00:00,USDCHF,BUY,timeout,0.0824,1.2,2.1,40.22,0.0057,0.01,True,0.17,5.22,5.39,1
2026-03-24,2026-03-24 23:30:00,2026-03-25 04:00:00,USDCHF,SELL,loss,-1.0765,1.24,2.1,38.93,0.0059,0.01,True,-2.26,5.39,3.13,1
2026-03-25,2026-03-25 23:30:00,2026-03-26 06:00:00,USDCHF,BUY,timeout,0.5529,0.72,2.1,67.03,0.0034,0.01,True,1.16,3.13,4.29,1
2026-03-31,2026-03-31 23:30:00,2026-04-01 05:45:00,USDCHF,SELL,win,1.1,0.99,2.1,48.9,0.0047,0.01,True,2.31,4.29,6.6,1
2026-04-01,2026-04-01 23:30:00,2026-04-02 01:30:00,USDCHF,BUY,win,1.1,1.52,2.1,31.8,0.0072,0.01,True,2.31,6.6,8.91,1
2026-04-07,2026-04-07 23:45:00,2026-04-08 05:30:00,USDCHF,SELL,win,1.1,2.05,2.1,23.56,0.0098,0.01,True,2.31,8.91,11.22,1
