date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-31 00:30:00,2025-12-31 07:00:00,EURGBP,BUY,timeout,-0.2294,4.6,4.49,22.44,0.0205,0.02,False,-1.03,20.0,18.97,1
2025-12-30,2025-12-31 00:30:00,2025-12-31 07:00:00,GBPUSD,SELL,timeout,0.5706,4.36,3.4,17.92,0.0257,0.02,False,1.94,18.97,20.91,1
2025-12-30,2025-12-31 00:30:00,2025-12-31 07:00:00,USDCAD,BUY,timeout,0.6059,4.81,4.79,22.91,0.0402,0.04,False,2.9,20.91,23.81,1
2025-12-30,2025-12-31 00:30:00,2025-12-31 06:15:00,USDJPY,BUY,win,1.1176,5.48,5.26,22.07,0.0521,0.05,False,5.87,23.81,29.69,2
2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,AUDUSD,SELL,timeout,0.5765,6.83,6.8,22.91,0.0402,0.04,False,3.92,29.69,33.61,2
2025-12-30,2025-12-31 01:15:00,2025-12-31 07:00:00,USDCHF,SELL,timeout,-0.9824,7.73,6.3,18.74,0.0368,0.03,False,-6.19,33.61,27.42,2
2026-01-01,2026-01-02 00:30:00,2026-01-02 03:15:00,AUDUSD,BUY,win,1.1235,6.31,5.1,18.6,0.0371,0.03,False,5.73,27.42,33.15,2
2026-01-01,2026-01-02 00:30:00,2026-01-02 07:00:00,EURGBP,SELL,timeout,-0.0941,7.62,6.73,20.3,0.034,0.03,False,-0.63,33.15,32.52,2
2026-01-01,2026-01-02 00:30:00,2026-01-02 07:00:00,GBPUSD,BUY,timeout,-0.5706,7.48,6.8,20.91,0.044,0.04,False,-3.88,32.52,28.64,2
2026-01-01,2026-01-02 00:30:00,2026-01-02 07:00:00,USDCAD,SELL,timeout,0.2882,6.59,5.99,20.91,0.055,0.05,False,1.73,28.64,30.36,2
2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,EURUSD,BUY,timeout,-0.5294,6.98,6.8,22.4,0.0411,0.04,False,-3.6,30.36,26.76,2
2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,USDCHF,SELL,timeout,-0.7059,6.16,4.2,15.69,0.0293,0.02,False,-2.96,26.76,23.8,1
2026-01-01,2026-01-02 00:45:00,2026-01-02 04:15:00,USDJPY,SELL,loss,-1.0588,5.47,5.26,22.08,0.0521,0.05,False,-5.56,23.8,18.23,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 01:45:00,AUDUSD,SELL,loss,-1.0529,4.19,3.4,18.65,0.0247,0.02,False,-3.58,18.23,14.66,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,EURUSD,BUY,timeout,0.2412,3.37,1.7,11.6,0.0198,0.01,False,0.41,14.66,15.07,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,GBPUSD,BUY,timeout,0.4412,3.46,3.4,22.57,0.0204,0.02,False,1.5,15.07,16.57,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,USDCAD,BUY,timeout,-0.4882,3.81,3.59,21.69,0.0318,0.03,False,-1.75,16.57,14.81,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,USDCHF,SELL,timeout,0.3059,3.41,2.1,14.17,0.0162,0.01,False,0.64,14.81,15.45,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 05:15:00,USDJPY,SELL,win,1.1176,3.55,3.15,20.41,0.0338,0.03,False,3.52,15.45,18.98,1
2026-01-07,2026-01-08 00:30:00,2026-01-08 07:00:00,EURUSD,BUY,timeout,-0.0235,4.36,3.4,17.92,0.0257,0.02,False,-0.08,18.98,18.9,1
2026-01-07,2026-01-08 00:30:00,2026-01-08 07:00:00,USDCHF,SELL,timeout,-0.0588,4.35,4.2,22.22,0.0207,0.02,False,-0.25,18.9,18.65,1
2026-01-07,2026-01-08 01:00:00,2026-01-08 04:45:00,AUDUSD,BUY,loss,-1.0529,4.29,3.4,18.23,0.0252,0.02,False,-3.58,18.65,15.07,1
2026-01-07,2026-01-08 01:00:00,2026-01-08 07:00:00,GBPUSD,BUY,timeout,-0.5353,3.47,3.4,22.56,0.0204,0.02,False,-1.82,15.07,13.25,1
2026-01-07,2026-01-08 01:15:00,2026-01-08 07:00:00,USDCAD,BUY,timeout,0.6176,3.05,2.4,18.08,0.0254,0.02,False,1.48,13.25,14.73,1
2026-01-07,2026-01-08 01:15:00,2026-01-08 03:30:00,USDJPY,BUY,loss,-1.0588,3.39,3.15,21.41,0.0322,0.03,False,-3.34,14.73,11.39,1
2026-01-08,2026-01-09 00:30:00,2026-01-09 07:00:00,EURGBP,SELL,timeout,-0.1882,2.62,2.24,19.7,0.0117,0.01,False,-0.42,11.39,10.97,1
2026-01-08,2026-01-09 00:30:00,2026-01-09 07:00:00,EURUSD,SELL,timeout,0.4824,2.52,1.7,15.5,0.0148,0.01,False,0.82,10.97,11.79,1
2026-01-08,2026-01-09 00:30:00,2026-01-09 07:00:00,USDCAD,BUY,timeout,0.1529,2.71,2.4,20.32,0.0226,0.02,False,0.37,11.79,12.16,1
2026-01-08,2026-01-09 00:30:00,2026-01-09 01:45:00,USDJPY,BUY,win,1.1176,2.8,2.1,17.29,0.0266,0.02,False,2.35,12.16,14.5,1
2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,GBPUSD,SELL,timeout,0.6294,3.34,1.7,11.72,0.0196,0.01,False,1.07,14.5,15.57,1
2026-01-08,2026-01-09 01:00:00,2026-01-09 07:00:00,AUDUSD,SELL,timeout,0.4294,3.58,3.4,21.83,0.0211,0.02,False,1.46,15.57,17.03,1
2026-01-08,2026-01-09 01:00:00,2026-01-09 07:00:00,USDCHF,BUY,timeout,0.2882,3.92,2.1,12.32,0.0187,0.01,False,0.6,17.03,17.64,1
2026-01-13,2026-01-14 00:30:00,2026-01-14 07:00:00,AUDUSD,BUY,timeout,0.8471,4.06,3.4,19.27,0.0239,0.02,False,2.88,17.64,20.52,1
2026-01-13,2026-01-14 00:30:00,2026-01-14 07:00:00,EURUSD,BUY,timeout,0.2765,4.72,3.4,16.57,0.0278,0.02,False,0.94,20.52,21.46,1
2026-01-13,2026-01-14 00:30:00,2026-01-14 03:45:00,GBPUSD,BUY,win,1.1176,4.94,3.4,15.84,0.029,0.02,False,3.8,21.46,25.26,1
2026-01-13,2026-01-14 00:45:00,2026-01-14 07:00:00,USDCAD,BUY,timeout,-0.7353,5.81,4.79,18.97,0.0485,0.04,False,-3.52,25.26,21.74,1
2026-01-13,2026-01-14 01:00:00,2026-01-14 07:00:00,EURGBP,SELL,timeout,0.3882,5.0,4.49,20.64,0.0223,0.02,False,1.74,21.74,23.48,1
2026-01-13,2026-01-14 01:00:00,2026-01-14 07:00:00,USDCHF,BUY,timeout,-0.5,5.4,4.2,17.88,0.0257,0.02,False,-2.1,23.48,21.38,1
2026-01-13,2026-01-14 01:00:00,2026-01-14 03:00:00,USDJPY,BUY,loss,-1.0588,4.92,4.2,19.67,0.0468,0.04,False,-4.45,21.38,16.93,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 03:30:00,AUDUSD,BUY,loss,-1.0529,3.89,3.4,20.08,0.0229,0.02,False,-3.58,16.93,13.35,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,EURGBP,SELL,timeout,0.3176,3.07,2.24,16.81,0.0137,0.01,False,0.71,13.35,14.06,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,EURUSD,SELL,timeout,0.5353,3.23,1.7,12.09,0.019,0.01,False,0.91,14.06,14.97,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,GBPUSD,SELL,timeout,-0.0882,3.44,3.4,22.71,0.0203,0.02,False,-0.3,14.97,14.67,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,USDCAD,BUY,timeout,0.6118,3.37,2.4,16.33,0.0282,0.02,False,1.47,14.67,16.14,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,USDCHF,BUY,timeout,0.6471,3.71,2.1,13.01,0.0177,0.01,False,1.36,16.14,17.49,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 00:45:00,USDJPY,BUY,loss,-1.0588,4.02,3.15,18.02,0.0383,0.03,False,-3.34,17.49,14.16,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,EURGBP,SELL,timeout,-0.2235,3.26,2.24,15.85,0.0145,0.01,False,-0.5,14.16,13.65,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,EURUSD,SELL,timeout,-0.4647,3.14,1.7,12.45,0.0185,0.01,False,-0.79,13.65,12.86,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,GBPUSD,SELL,timeout,-0.3647,2.96,1.7,13.21,0.0174,0.01,False,-0.62,12.86,12.24,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,USDCAD,BUY,timeout,-0.0471,2.82,2.4,19.56,0.0235,0.02,False,-0.11,12.24,12.13,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,USDCHF,BUY,timeout,-0.8059,2.79,2.1,17.3,0.0133,0.01,False,-1.69,12.13,10.44,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 02:15:00,USDJPY,BUY,loss,-1.0588,2.4,2.1,20.14,0.0228,0.02,False,-2.23,10.44,8.21,1
2026-01-15,2026-01-16 00:45:00,2026-01-16 07:00:00,AUDUSD,SELL,timeout,-0.1882,1.89,1.7,20.7,0.0111,0.01,False,-0.32,8.21,7.89,1
2026-01-20,2026-01-21 00:30:00,2026-01-21 06:45:00,AUDUSD,BUY,win,1.1235,1.82,1.7,21.53,0.0107,0.01,False,1.91,7.89,9.8,1
2026-01-20,2026-01-21 00:30:00,2026-01-21 07:00:00,EURGBP,SELL,timeout,0.1353,2.26,2.24,22.88,0.0101,0.01,False,0.3,9.8,10.11,1
2026-01-20,2026-01-21 00:30:00,2026-01-21 07:00:00,EURUSD,SELL,timeout,0.2118,2.32,1.7,16.82,0.0137,0.01,False,0.36,10.11,10.47,1
2026-01-20,2026-01-21 00:30:00,2026-01-21 07:00:00,USDCAD,BUY,timeout,-0.3647,2.41,2.4,22.88,0.0201,0.02,False,-0.87,10.47,9.59,1
2026-01-20,2026-01-21 00:45:00,2026-01-21 07:00:00,USDCHF,BUY,timeout,0.7,2.21,2.1,21.88,0.0105,0.01,False,1.47,9.59,11.06,1
