date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-31 00:15:00,2025-12-31 07:00:00,EURUSD,BUY,timeout,-0.8937,4.6,3.2,16.0,0.0288,0.02,False,-2.86,20.0,17.14,1
2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,EURUSD,BUY,timeout,-0.5625,3.94,3.2,18.67,0.0246,0.02,False,-1.8,17.14,15.34,1
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,EURUSD,BUY,timeout,0.2562,3.53,3.2,20.86,0.0221,0.02,False,0.82,15.34,16.16,1
2026-01-08,2026-01-09 00:15:00,2026-01-09 07:00:00,EURUSD,SELL,timeout,0.5563,3.72,3.2,19.8,0.0232,0.02,False,1.78,16.16,17.94,1
2026-01-13,2026-01-14 00:30:00,2026-01-14 07:00:00,EURUSD,BUY,timeout,0.2937,4.13,3.2,17.84,0.0258,0.02,False,0.94,17.94,18.88,1
2026-01-15,2026-01-16 00:15:00,2026-01-16 07:00:00,EURUSD,SELL,timeout,-0.4687,4.34,3.2,16.95,0.0271,0.02,False,-1.5,18.88,17.38,1
2026-01-20,2026-01-21 00:15:00,2026-01-21 07:00:00,EURUSD,SELL,timeout,0.425,4.0,3.2,18.41,0.025,0.02,False,1.36,17.38,18.74,1
2026-01-21,2026-01-22 00:15:00,2026-01-22 07:00:00,EURUSD,BUY,timeout,0.3125,4.31,3.2,17.08,0.0269,0.02,False,1.0,18.74,19.74,1
2026-01-22,2026-01-23 00:15:00,2026-01-23 07:00:00,EURUSD,SELL,timeout,0.3687,4.54,3.2,16.21,0.0284,0.02,False,1.18,19.74,20.92,1
2026-01-27,2026-01-28 00:30:00,2026-01-28 01:15:00,EURUSD,BUY,loss,-1.05,4.81,4.8,22.94,0.0301,0.03,False,-5.04,20.92,15.88,1
2026-01-28,2026-01-29 00:15:00,2026-01-29 01:00:00,EURUSD,BUY,loss,-1.05,3.65,3.2,20.15,0.0228,0.02,False,-3.36,15.88,12.52,1
2026-01-29,2026-01-30 00:15:00,2026-01-30 00:15:00,EURUSD,SELL,win,1.2,2.88,1.6,12.78,0.018,0.01,False,1.92,12.52,14.44,1
2026-02-03,2026-02-04 00:45:00,2026-02-04 05:45:00,EURUSD,BUY,win,1.2,3.32,3.2,22.16,0.0208,0.02,False,3.84,14.44,18.28,1
2026-02-04,2026-02-05 00:30:00,2026-02-05 07:00:00,EURUSD,SELL,timeout,0.1688,4.2,3.2,17.51,0.0263,0.02,False,0.54,18.28,18.82,1
2026-02-05,2026-02-06 00:15:00,2026-02-06 02:15:00,EURUSD,SELL,loss,-1.05,4.33,3.2,17.0,0.0271,0.02,False,-3.36,18.82,15.46,1
2026-02-10,2026-02-11 00:15:00,2026-02-11 02:30:00,EURUSD,BUY,win,1.2,3.56,3.2,20.7,0.0222,0.02,False,3.84,15.46,19.3,1
2026-02-11,2026-02-12 00:15:00,2026-02-12 04:45:00,EURUSD,BUY,loss,-1.05,4.44,3.2,16.58,0.0277,0.02,False,-3.36,19.3,15.94,1
2026-02-12,2026-02-13 00:30:00,2026-02-13 07:00:00,EURUSD,SELL,timeout,1.0187,3.67,3.2,20.08,0.0229,0.02,False,3.26,15.94,19.2,1
2026-02-19,2026-02-20 00:15:00,2026-02-20 07:00:00,EURUSD,SELL,timeout,0.2812,4.42,3.2,16.67,0.0276,0.02,False,0.9,19.2,20.1,1
2026-02-24,2026-02-25 00:15:00,2026-02-25 05:00:00,EURUSD,BUY,win,1.2,4.62,3.2,15.92,0.0289,0.02,False,3.84,20.1,23.94,1
2026-02-25,2026-02-26 00:15:00,2026-02-26 07:00:00,EURUSD,BUY,timeout,-0.2438,5.51,4.8,20.05,0.0344,0.03,False,-1.17,23.94,22.77,1
2026-02-26,2026-02-27 00:15:00,2026-02-27 07:00:00,EURUSD,BUY,timeout,-0.3625,5.24,4.8,21.08,0.0327,0.03,False,-1.74,22.77,21.03,1
2026-03-03,2026-03-04 00:15:00,2026-03-04 01:15:00,EURUSD,SELL,win,1.2,4.84,4.8,22.82,0.0302,0.03,False,5.76,21.03,26.79,2
2026-03-04,2026-03-05 00:15:00,2026-03-05 03:00:00,EURUSD,BUY,loss,-1.05,6.16,4.8,17.92,0.0385,0.03,False,-5.04,26.79,21.75,1
2026-03-05,2026-03-06 00:15:00,2026-03-06 07:00:00,EURUSD,BUY,timeout,-0.2063,5.0,4.8,22.07,0.0313,0.03,False,-0.99,21.75,20.76,1
2026-03-10,2026-03-10 23:15:00,2026-03-11 03:30:00,EURUSD,BUY,win,1.2,4.77,3.2,15.41,0.0298,0.02,False,3.84,20.76,24.6,1
2026-03-11,2026-03-11 23:15:00,2026-03-12 06:00:00,EURUSD,SELL,timeout,0.225,5.66,4.8,19.51,0.0354,0.03,False,1.08,24.6,25.68,1
2026-03-12,2026-03-12 23:15:00,2026-03-13 06:00:00,EURUSD,SELL,timeout,1.025,5.91,4.8,18.69,0.0369,0.03,False,4.92,25.68,30.6,2
