date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-31 00:15:00,2025-12-31 07:00:00,GBPUSD,SELL,timeout,0.6062,4.6,3.2,16.0,0.0288,0.02,False,1.94,20.0,21.94,1
2026-01-01,2026-01-02 00:15:00,2026-01-02 02:00:00,GBPUSD,SELL,loss,-1.0625,5.05,4.8,21.88,0.0315,0.03,False,-5.1,21.94,16.84,1
2026-01-06,2026-01-07 00:15:00,2026-01-07 07:00:00,GBPUSD,BUY,timeout,0.4875,3.87,3.2,19.0,0.0242,0.02,False,1.56,16.84,18.4,1
2026-01-07,2026-01-08 00:15:00,2026-01-08 07:00:00,GBPUSD,SELL,timeout,0.2813,4.23,3.2,17.39,0.0264,0.02,False,0.9,18.4,19.3,1
2026-01-13,2026-01-14 00:30:00,2026-01-14 03:45:00,GBPUSD,BUY,win,1.1875,4.44,3.2,16.58,0.0277,0.02,False,3.8,19.3,23.1,1
2026-01-14,2026-01-15 00:30:00,2026-01-15 07:00:00,GBPUSD,SELL,timeout,-0.0937,5.31,4.8,20.78,0.0332,0.03,False,-0.45,23.1,22.65,1
2026-01-15,2026-01-16 00:15:00,2026-01-16 07:00:00,GBPUSD,SELL,timeout,-0.3375,5.21,4.8,21.19,0.0326,0.03,False,-1.62,22.65,21.03,1
2026-01-20,2026-01-21 00:15:00,2026-01-21 01:15:00,GBPUSD,SELL,loss,-1.0625,4.84,4.8,22.82,0.0302,0.03,False,-5.1,21.03,15.93,1
2026-01-21,2026-01-22 00:15:00,2026-01-22 07:00:00,GBPUSD,BUY,timeout,0.1,3.66,3.2,20.09,0.0229,0.02,False,0.32,15.93,16.25,1
2026-01-22,2026-01-23 00:45:00,2026-01-23 07:00:00,GBPUSD,SELL,timeout,0.3063,3.74,3.2,19.69,0.0234,0.02,False,0.98,16.25,17.23,1
2026-01-27,2026-01-28 00:15:00,2026-01-28 00:30:00,GBPUSD,SELL,loss,-1.0625,3.96,3.2,18.57,0.0248,0.02,False,-3.4,17.23,13.83,1
2026-01-28,2026-01-29 00:15:00,2026-01-29 01:00:00,GBPUSD,BUY,loss,-1.0625,3.18,1.6,11.57,0.0199,0.01,False,-1.7,13.83,12.13,1
2026-01-29,2026-01-30 00:15:00,2026-01-30 00:30:00,GBPUSD,SELL,win,1.1875,2.79,1.6,13.19,0.0174,0.01,False,1.9,12.13,14.03,1
2026-02-03,2026-02-04 00:15:00,2026-02-04 05:30:00,GBPUSD,BUY,win,1.1875,3.23,3.2,22.81,0.0202,0.02,False,3.8,14.03,17.83,1
2026-02-04,2026-02-05 00:15:00,2026-02-05 02:15:00,GBPUSD,BUY,loss,-1.0625,4.1,3.2,17.95,0.0256,0.02,False,-3.4,17.83,14.43,1
2026-02-05,2026-02-06 00:15:00,2026-02-06 00:45:00,GBPUSD,SELL,loss,-1.0625,3.32,3.2,22.18,0.0207,0.02,False,-3.4,14.43,11.03,1
2026-02-10,2026-02-11 00:15:00,2026-02-11 02:15:00,GBPUSD,BUY,win,1.1875,2.54,1.6,14.51,0.0159,0.01,False,1.9,11.03,12.93,1
2026-02-11,2026-02-12 00:15:00,2026-02-12 06:30:00,GBPUSD,BUY,loss,-1.0625,2.97,1.6,12.37,0.0186,0.01,False,-1.7,12.93,11.23,1
2026-02-12,2026-02-13 00:15:00,2026-02-13 06:15:00,GBPUSD,SELL,win,1.1875,2.58,1.6,14.25,0.0161,0.01,False,1.9,11.23,13.13,1
2026-02-17,2026-02-18 00:15:00,2026-02-18 07:00:00,GBPUSD,SELL,timeout,0.2875,3.02,1.6,12.19,0.0189,0.01,False,0.46,13.13,13.59,1
2026-02-19,2026-02-20 00:45:00,2026-02-20 01:30:00,GBPUSD,BUY,loss,-1.0625,3.13,1.6,11.77,0.0195,0.01,False,-1.7,13.59,11.89,1
2026-02-24,2026-02-25 00:15:00,2026-02-25 02:30:00,GBPUSD,BUY,win,1.1875,2.73,1.6,13.46,0.0171,0.01,False,1.9,11.89,13.79,1
2026-02-25,2026-02-26 00:30:00,2026-02-26 07:00:00,GBPUSD,BUY,timeout,-0.625,3.17,1.6,11.6,0.0198,0.01,False,-1.0,13.79,12.79,1
2026-02-26,2026-02-27 00:15:00,2026-02-27 01:45:00,GBPUSD,BUY,loss,-1.0625,2.94,1.6,12.51,0.0184,0.01,False,-1.7,12.79,11.09,1
2026-03-03,2026-03-04 00:15:00,2026-03-04 01:15:00,GBPUSD,SELL,win,1.1875,2.55,1.6,14.43,0.0159,0.01,False,1.9,11.09,12.99,1
2026-03-04,2026-03-05 00:15:00,2026-03-05 03:00:00,GBPUSD,BUY,loss,-1.0625,2.99,1.6,12.32,0.0187,0.01,False,-1.7,12.99,11.29,1
2026-03-05,2026-03-06 00:15:00,2026-03-06 07:00:00,GBPUSD,BUY,timeout,0.05,2.6,1.6,14.17,0.0162,0.01,False,0.08,11.29,11.37,1
2026-03-10,2026-03-10 23:15:00,2026-03-11 01:15:00,GBPUSD,BUY,win,1.1875,2.62,1.6,14.07,0.0163,0.01,False,1.9,11.37,13.27,1
2026-03-11,2026-03-11 23:15:00,2026-03-12 02:30:00,GBPUSD,SELL,win,1.1875,3.05,1.6,12.06,0.0191,0.01,False,1.9,13.27,15.17,1
2026-03-12,2026-03-12 23:15:00,2026-03-13 00:15:00,GBPUSD,SELL,loss,-1.0625,3.49,3.2,21.09,0.0218,0.02,False,-3.4,15.17,11.77,1
2026-03-17,2026-03-17 23:30:00,2026-03-18 06:00:00,GBPUSD,SELL,loss,-1.0625,2.71,1.6,13.59,0.0169,0.01,False,-1.7,11.77,10.07,1
2026-03-18,2026-03-18 23:15:00,2026-03-19 00:45:00,GBPUSD,BUY,win,1.1875,2.32,1.6,15.89,0.0145,0.01,False,1.9,10.07,11.97,1
2026-03-19,2026-03-19 23:15:00,2026-03-20 03:45:00,GBPUSD,SELL,win,1.1875,2.75,1.6,13.37,0.0172,0.01,False,1.9,11.97,13.87,1
2026-03-24,2026-03-24 23:15:00,2026-03-25 02:30:00,GBPUSD,BUY,loss,-1.0625,3.19,1.6,11.54,0.0199,0.01,False,-1.7,13.87,12.17,1
2026-03-25,2026-03-25 23:15:00,2026-03-26 06:00:00,GBPUSD,SELL,timeout,0.3875,2.8,1.6,13.15,0.0175,0.01,False,0.62,12.17,12.79,1
2026-03-31,2026-03-31 23:15:00,2026-04-01 00:15:00,GBPUSD,BUY,win,1.1875,2.94,1.6,12.51,0.0184,0.01,False,1.9,12.79,14.69,1
2026-04-01,2026-04-01 23:15:00,2026-04-02 01:15:00,GBPUSD,SELL,win,1.1875,3.38,3.2,21.78,0.0211,0.02,False,3.8,14.69,18.49,1
2026-04-07,2026-04-07 23:15:00,2026-04-07 23:15:00,GBPUSD,BUY,win,1.1875,4.25,3.2,17.31,0.0266,0.02,False,3.8,18.49,22.29,1
2026-04-08,2026-04-08 23:15:00,2026-04-09 06:00:00,GBPUSD,SELL,timeout,0.4625,5.13,4.8,21.53,0.032,0.03,False,2.22,22.29,24.51,1
2026-04-09,2026-04-09 23:15:00,2026-04-10 06:00:00,GBPUSD,BUY,timeout,-0.7812,5.64,4.8,19.58,0.0352,0.03,False,-3.75,24.51,20.76,1
2026-04-14,2026-04-14 23:15:00,2026-04-15 06:00:00,GBPUSD,BUY,timeout,-0.1687,4.77,3.2,15.41,0.0298,0.02,False,-0.54,20.76,20.22,1
2026-04-15,2026-04-15 23:15:00,2026-04-16 03:00:00,GBPUSD,BUY,win,1.1875,4.65,3.2,15.83,0.0291,0.02,False,3.8,20.22,24.02,1
2026-04-16,2026-04-16 23:15:00,2026-04-17 01:00:00,GBPUSD,BUY,loss,-1.0625,5.52,4.8,19.98,0.0345,0.03,False,-5.1,24.02,18.92,1
2026-04-21,2026-04-21 23:15:00,2026-04-22 05:15:00,GBPUSD,BUY,win,1.1875,4.35,3.2,16.91,0.0272,0.02,False,3.8,18.92,22.72,1
2026-04-23,2026-04-23 23:15:00,2026-04-24 06:00:00,GBPUSD,SELL,timeout,-0.1313,5.23,4.8,21.13,0.0327,0.03,False,-0.63,22.72,22.09,1
2026-04-28,2026-04-28 23:15:00,2026-04-29 05:15:00,GBPUSD,BUY,loss,-1.0625,5.08,4.8,21.73,0.0318,0.03,False,-5.1,22.09,16.99,1
2026-04-29,2026-04-29 23:15:00,2026-04-30 04:15:00,GBPUSD,BUY,loss,-1.0625,3.91,3.2,18.83,0.0244,0.02,False,-3.4,16.99,13.59,1
2026-04-30,2026-04-30 23:15:00,2026-05-01 05:45:00,GBPUSD,BUY,loss,-1.0625,3.13,1.6,11.77,0.0195,0.01,False,-1.7,13.59,11.89,1
2026-05-05,2026-05-05 23:15:00,2026-05-06 06:00:00,GBPUSD,BUY,timeout,0.3875,2.73,1.6,13.46,0.0171,0.01,False,0.62,11.89,12.51,1
2026-05-06,2026-05-06 23:15:00,2026-05-07 06:00:00,GBPUSD,SELL,timeout,-0.0375,2.88,1.6,12.79,0.018,0.01,False,-0.06,12.51,12.45,1
2026-05-07,2026-05-07 23:15:00,2026-05-08 05:15:00,GBPUSD,BUY,win,1.1875,2.86,1.6,12.85,0.0179,0.01,False,1.9,12.45,14.35,1
2026-05-12,2026-05-12 23:15:00,2026-05-13 06:00:00,GBPUSD,SELL,timeout,-0.125,3.3,3.2,22.3,0.0206,0.02,False,-0.4,14.35,13.95,1
2026-05-13,2026-05-14 00:00:00,2026-05-14 06:00:00,GBPUSD,BUY,timeout,-0.7438,3.21,3.2,22.94,0.0201,0.02,False,-2.38,13.95,11.57,1
2026-05-14,2026-05-14 23:15:00,2026-05-15 01:30:00,GBPUSD,SELL,win,1.1875,2.66,1.6,13.83,0.0166,0.01,False,1.9,11.57,13.47,1
2026-05-19,2026-05-19 23:15:00,2026-05-20 01:15:00,GBPUSD,BUY,loss,-1.0625,3.1,1.6,11.88,0.0194,0.01,False,-1.7,13.47,11.77,1
2026-05-20,2026-05-20 23:15:00,2026-05-21 06:00:00,GBPUSD,SELL,timeout,-0.1375,2.71,1.6,13.59,0.0169,0.01,False,-0.22,11.77,11.55,1
2026-05-21,2026-05-21 23:15:00,2026-05-22 06:00:00,GBPUSD,SELL,timeout,0.35,2.66,1.6,13.85,0.0166,0.01,False,0.56,11.55,12.11,1
2026-05-26,2026-05-26 23:15:00,2026-05-27 06:00:00,GBPUSD,BUY,timeout,-0.3562,2.79,1.6,13.21,0.0174,0.01,False,-0.57,12.11,11.54,1
2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,GBPUSD,BUY,timeout,-0.1625,2.65,1.6,13.86,0.0166,0.01,False,-0.26,11.54,11.28,1
2026-06-02,2026-06-02 23:15:00,2026-06-03 06:00:00,GBPUSD,SELL,timeout,0.925,2.59,1.6,14.18,0.0162,0.01,False,1.48,11.28,12.76,1
2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,GBPUSD,BUY,timeout,0.35,2.93,1.6,12.54,0.0183,0.01,False,0.56,12.76,13.32,1
2026-06-04,2026-06-04 23:15:00,2026-06-05 06:00:00,GBPUSD,BUY,timeout,0.0312,3.06,1.6,12.01,0.0191,0.01,False,0.05,13.32,13.37,1
2026-06-09,2026-06-09 23:15:00,2026-06-10 03:15:00,GBPUSD,SELL,loss,-1.0625,3.08,1.6,11.97,0.0192,0.01,False,-1.7,13.37,11.67,1
2026-06-11,2026-06-11 23:15:00,2026-06-12 01:15:00,GBPUSD,SELL,win,1.1875,2.68,1.6,13.71,0.0168,0.01,False,1.9,11.67,13.57,1
2026-06-16,2026-06-16 23:15:00,2026-06-17 06:00:00,GBPUSD,BUY,loss,-1.0625,3.12,1.6,11.79,0.0195,0.01,False,-1.7,13.57,11.87,1
2026-06-17,2026-06-17 23:15:00,2026-06-18 06:00:00,GBPUSD,BUY,timeout,1.025,2.73,1.6,13.48,0.0171,0.01,False,1.64,11.87,13.51,1
2026-06-18,2026-06-18 23:15:00,2026-06-19 04:30:00,GBPUSD,SELL,win,1.1875,3.11,1.6,11.84,0.0194,0.01,False,1.9,13.51,15.41,1
2026-06-23,2026-06-23 23:15:00,2026-06-24 06:00:00,GBPUSD,SELL,timeout,-0.55,3.54,3.2,20.77,0.0222,0.02,False,-1.76,15.41,13.65,1
2026-06-24,2026-06-24 23:15:00,2026-06-25 06:00:00,GBPUSD,BUY,timeout,0.7437,3.14,1.6,11.72,0.0196,0.01,False,1.19,13.65,14.84,1
2026-06-25,2026-06-25 23:15:00,2026-06-26 05:15:00,GBPUSD,SELL,loss,-1.0625,3.41,3.2,21.56,0.0213,0.02,False,-3.4,14.84,11.44,1
