date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-31 00:15:00,2025-12-31 07:00:00,USDCAD,SELL,timeout,-0.9812,4.6,4.51,22.55,0.0408,0.04,False,-4.42,20.0,15.58,1
2026-01-01,2026-01-02 00:15:00,2026-01-02 07:00:00,USDCAD,SELL,timeout,0.3062,3.58,3.38,21.72,0.0318,0.03,False,1.04,15.58,16.61,1
2026-01-06,2026-01-07 00:15:00,2026-01-07 07:00:00,USDCAD,BUY,timeout,-0.3313,3.82,3.38,20.36,0.0339,0.03,False,-1.12,16.61,15.49,1
2026-01-07,2026-01-08 00:15:00,2026-01-08 07:00:00,USDCAD,BUY,timeout,0.7625,3.56,3.38,21.83,0.0316,0.03,False,2.58,15.49,18.07,1
2026-01-08,2026-01-09 00:15:00,2026-01-09 07:00:00,USDCAD,BUY,timeout,0.1812,4.16,3.38,18.72,0.0369,0.03,False,0.61,18.07,18.68,1
2026-01-13,2026-01-14 00:15:00,2026-01-14 07:00:00,USDCAD,BUY,timeout,-0.7188,4.3,3.38,18.1,0.0381,0.03,False,-2.43,18.68,16.25,1
2026-01-14,2026-01-15 00:15:00,2026-01-15 04:45:00,USDCAD,SELL,loss,-1.0937,3.74,3.38,20.81,0.0332,0.03,False,-3.7,16.25,12.55,1
2026-01-15,2026-01-16 00:15:00,2026-01-16 07:00:00,USDCAD,BUY,timeout,-0.0125,2.89,2.25,17.96,0.0256,0.02,False,-0.03,12.55,12.52,1
2026-01-20,2026-01-21 00:15:00,2026-01-21 07:00:00,USDCAD,BUY,timeout,-0.2875,2.88,2.25,18.0,0.0255,0.02,False,-0.65,12.52,11.88,1
2026-01-21,2026-01-22 00:15:00,2026-01-22 04:00:00,USDCAD,SELL,win,1.1562,2.73,2.25,18.99,0.0242,0.02,False,2.61,11.88,14.48,1
2026-01-22,2026-01-23 00:15:00,2026-01-23 07:00:00,USDCAD,BUY,timeout,-0.4,3.33,2.25,15.57,0.0295,0.02,False,-0.9,14.48,13.58,1
2026-01-27,2026-01-28 00:15:00,2026-01-28 05:30:00,USDCAD,BUY,loss,-1.0937,3.12,2.25,16.6,0.0277,0.02,False,-2.47,13.58,11.11,1
2026-01-28,2026-01-29 00:15:00,2026-01-29 01:00:00,USDCAD,SELL,loss,-1.0937,2.56,2.25,20.29,0.0227,0.02,False,-2.47,11.11,8.65,1
2026-01-29,2026-01-30 00:15:00,2026-01-30 00:45:00,USDCAD,BUY,win,1.1562,1.99,1.13,13.04,0.0176,0.01,False,1.3,8.65,9.95,1
2026-02-04,2026-02-05 00:15:00,2026-02-05 02:15:00,USDCAD,SELL,loss,-1.0937,2.29,2.25,22.66,0.0203,0.02,False,-2.47,9.95,7.49,1
2026-02-05,2026-02-06 00:15:00,2026-02-06 01:45:00,USDCAD,BUY,loss,-1.0937,1.72,1.13,15.06,0.0153,0.01,False,-1.23,7.49,6.25,1
2026-02-10,2026-02-11 00:15:00,2026-02-11 02:15:00,USDCAD,SELL,win,1.1562,1.44,1.13,18.03,0.0128,0.01,False,1.3,6.25,7.56,1
2026-02-11,2026-02-12 00:15:00,2026-02-12 06:30:00,USDCAD,SELL,loss,-1.0937,1.74,1.13,14.92,0.0154,0.01,False,-1.23,7.56,6.32,1
2026-02-12,2026-02-13 00:45:00,2026-02-13 07:00:00,USDCAD,BUY,win,1.1562,1.45,1.13,17.83,0.0129,0.01,False,1.3,6.32,7.63,1
2026-02-19,2026-02-20 00:15:00,2026-02-20 07:00:00,USDCAD,BUY,timeout,-0.6375,1.75,1.13,14.78,0.0156,0.01,False,-0.72,7.63,6.91,1
2026-02-24,2026-02-25 00:15:00,2026-02-25 03:00:00,USDCAD,SELL,win,1.1562,1.59,1.13,16.32,0.0141,0.01,False,1.3,6.91,8.21,1
2026-02-25,2026-02-26 00:15:00,2026-02-26 07:00:00,USDCAD,SELL,timeout,0.2063,1.89,1.13,13.73,0.0168,0.01,False,0.23,8.21,8.44,1
2026-02-26,2026-02-27 00:15:00,2026-02-27 07:00:00,USDCAD,SELL,timeout,0.0312,1.94,1.13,13.35,0.0172,0.01,False,0.04,8.44,8.48,1
2026-03-03,2026-03-04 00:15:00,2026-03-04 01:15:00,USDCAD,SELL,loss,-1.0937,1.95,1.13,13.3,0.0173,0.01,False,-1.23,8.48,7.25,1
2026-03-04,2026-03-05 00:15:00,2026-03-05 04:00:00,USDCAD,SELL,loss,-1.0937,1.67,1.13,15.56,0.0148,0.01,False,-1.23,7.25,6.01,1
2026-03-05,2026-03-06 00:15:00,2026-03-06 07:00:00,USDCAD,SELL,timeout,0.2188,1.38,1.13,18.75,0.0123,0.01,False,0.25,6.01,6.26,1
2026-03-10,2026-03-11 00:00:00,2026-03-11 02:45:00,USDCAD,SELL,win,1.1562,1.44,1.13,18.01,0.0128,0.01,False,1.3,6.26,7.56,1
