date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-30 08:30:00,2025-12-30 08:30:00,XAUUSD,SELL,loss,-1.0444,4.6,3.6,18.0,0.0128,0.01,False,-3.76,20.0,16.24,1
2025-12-31,2025-12-31 08:30:00,2025-12-31 08:30:00,XAUUSD,SELL,loss,-1.0444,3.74,3.6,22.17,0.0104,0.01,False,-3.76,16.24,12.48,1
2026-01-06,2026-01-06 09:00:00,2026-01-06 09:00:00,XAUUSD,SELL,loss,-1.0444,2.87,3.6,28.85,0.008,0.01,True,-3.76,12.48,8.72,1
2026-01-07,2026-01-07 08:30:00,2026-01-07 08:30:00,XAUUSD,BUY,loss,-1.0444,2.01,3.6,41.28,0.0056,0.01,True,-3.76,8.72,4.96,1
2026-01-08,2026-01-08 08:30:00,2026-01-08 08:30:00,XAUUSD,SELL,win,1.0667,1.14,3.6,72.57,0.0032,0.01,True,3.84,4.96,8.8,1
2026-01-13,2026-01-13 08:30:00,2026-01-13 08:30:00,XAUUSD,BUY,win,1.0667,2.02,3.6,40.91,0.0056,0.01,True,3.84,8.8,12.64,1
2026-01-14,2026-01-14 08:45:00,2026-01-14 09:00:00,XAUUSD,BUY,win,1.0667,2.91,3.6,28.48,0.0081,0.01,True,3.84,12.64,16.48,1
2026-01-15,2026-01-15 08:30:00,2026-01-15 08:30:00,XAUUSD,BUY,loss,-1.0444,3.79,3.6,21.84,0.0105,0.01,False,-3.76,16.48,12.72,1
2026-01-20,2026-01-20 08:45:00,2026-01-20 08:45:00,XAUUSD,BUY,win,1.0667,2.93,3.6,28.3,0.0081,0.01,True,3.84,12.72,16.56,1
2026-01-21,2026-01-21 08:45:00,2026-01-21 08:45:00,XAUUSD,SELL,loss,-1.0444,3.81,3.6,21.74,0.0106,0.01,False,-3.76,16.56,12.8,1
2026-01-22,2026-01-22 08:30:00,2026-01-22 08:30:00,XAUUSD,SELL,loss,-1.0444,2.94,3.6,28.12,0.0082,0.01,True,-3.76,12.8,9.04,1
2026-01-27,2026-01-27 08:30:00,2026-01-27 08:30:00,XAUUSD,SELL,loss,-1.0444,2.08,3.6,39.82,0.0058,0.01,True,-3.76,9.04,5.28,1
2026-01-28,2026-01-28 08:30:00,2026-01-28 08:30:00,XAUUSD,BUY,loss,-1.0444,1.21,3.6,68.16,0.0034,0.01,True,-3.76,5.28,1.52,1
2026-01-29,2026-01-29 08:30:00,2026-01-29 08:30:00,XAUUSD,SELL,loss,-1.0444,0.35,3.6,236.54,0.001,0.01,True,-3.76,1.52,0.0,1
2026-02-03,2026-02-03 08:30:00,2026-02-03 08:30:00,XAUUSD,BUY,loss,-1.0444,0.0,3.6,0.0,0.0,0.01,True,-3.76,0.0,0.0,1
2026-02-04,2026-02-04 08:30:00,2026-02-04 08:30:00,XAUUSD,SELL,loss,-1.0667,0.0,3.6,0.0,0.0,0.01,True,-3.84,0.0,0.0,1
2026-02-05,2026-02-05 08:45:00,2026-02-05 08:45:00,XAUUSD,SELL,loss,-1.0444,0.0,3.6,0.0,0.0,0.01,True,-3.76,0.0,0.0,1
2026-02-10,2026-02-10 08:30:00,2026-02-10 08:30:00,XAUUSD,BUY,loss,-1.0667,0.0,3.6,0.0,0.0,0.01,True,-3.84,0.0,0.0,1
2026-02-11,2026-02-11 08:30:00,2026-02-11 08:30:00,XAUUSD,SELL,win,1.0444,0.0,3.6,0.0,0.0,0.01,True,3.76,0.0,3.76,1
2026-02-12,2026-02-12 08:30:00,2026-02-12 08:30:00,XAUUSD,SELL,win,1.0444,0.86,3.6,95.75,0.0024,0.01,True,3.76,3.76,7.52,1
2026-02-18,2026-02-18 08:30:00,2026-02-18 08:30:00,XAUUSD,SELL,loss,-1.0444,1.73,3.6,47.87,0.0048,0.01,True,-3.76,7.52,3.76,1
2026-02-19,2026-02-19 08:30:00,2026-02-19 08:30:00,XAUUSD,BUY,loss,-1.0667,0.86,3.6,95.75,0.0024,0.01,True,-3.84,3.76,0.0,1
2026-02-24,2026-02-24 08:30:00,2026-02-24 08:30:00,XAUUSD,BUY,loss,-1.0667,0.0,3.6,0.0,0.0,0.01,True,-3.84,0.0,0.0,1
2026-02-25,2026-02-25 08:30:00,2026-02-25 08:45:00,XAUUSD,BUY,loss,-1.0667,0.0,3.6,0.0,0.0,0.01,True,-3.84,0.0,0.0,1
2026-02-26,2026-02-26 08:30:00,2026-02-26 08:30:00,XAUUSD,SELL,loss,-1.0667,0.0,3.6,0.0,0.0,0.01,True,-3.84,0.0,0.0,1
2026-03-03,2026-03-03 08:30:00,2026-03-03 08:30:00,XAUUSD,SELL,win,1.0111,0.0,3.6,0.0,0.0,0.01,True,3.64,0.0,3.64,1
2026-03-04,2026-03-04 08:30:00,2026-03-04 08:30:00,XAUUSD,BUY,loss,-1.0667,0.84,3.6,98.9,0.0023,0.01,True,-3.84,3.64,0.0,1
2026-03-05,2026-03-05 08:30:00,2026-03-05 08:30:00,XAUUSD,BUY,loss,-1.0667,0.0,3.6,0.0,0.0,0.01,True,-3.84,0.0,0.0,1
2026-03-10,2026-03-10 07:45:00,2026-03-10 07:45:00,XAUUSD,BUY,loss,-1.1,0.0,3.6,0.0,0.0,0.01,True,-3.96,0.0,0.0,1
2026-03-11,2026-03-11 07:30:00,2026-03-11 07:30:00,XAUUSD,SELL,win,1.0111,0.0,3.6,0.0,0.0,0.01,True,3.64,0.0,3.64,1
2026-03-12,2026-03-12 07:30:00,2026-03-12 07:30:00,XAUUSD,BUY,win,1.0111,0.84,3.6,98.9,0.0023,0.01,True,3.64,3.64,7.28,1
2026-03-17,2026-03-17 07:30:00,2026-03-17 07:30:00,XAUUSD,BUY,win,1.0333,1.67,3.6,49.45,0.0047,0.01,True,3.72,7.28,11.0,1
2026-03-18,2026-03-18 07:30:00,2026-03-18 07:30:00,XAUUSD,SELL,loss,-1.0611,2.53,3.6,32.73,0.007,0.01,True,-3.82,11.0,7.18,1
2026-03-19,2026-03-19 07:30:00,2026-03-19 07:30:00,XAUUSD,SELL,loss,-1.0556,1.65,3.6,50.14,0.0046,0.01,True,-3.8,7.18,3.38,1
2026-03-25,2026-03-25 07:30:00,2026-03-25 07:30:00,XAUUSD,SELL,loss,-1.0778,0.78,3.6,106.52,0.0022,0.01,True,-3.88,3.38,0.0,1
2026-03-26,2026-03-26 07:30:00,2026-03-26 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-03-31,2026-03-31 07:45:00,2026-03-31 07:45:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-01,2026-04-01 07:30:00,2026-04-01 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-02,2026-04-02 07:30:00,2026-04-02 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-07,2026-04-07 07:30:00,2026-04-07 07:30:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-08,2026-04-08 07:30:00,2026-04-08 07:30:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-09,2026-04-09 07:30:00,2026-04-09 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-14,2026-04-14 10:30:00,2026-04-14 10:30:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-15,2026-04-15 08:45:00,2026-04-15 08:45:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-16,2026-04-16 08:00:00,2026-04-16 08:00:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-21,2026-04-21 07:45:00,2026-04-21 07:45:00,XAUUSD,BUY,win,1.0333,0.0,3.6,0.0,0.0,0.01,True,3.72,0.0,3.72,1
2026-04-22,2026-04-22 07:30:00,2026-04-22 07:30:00,XAUUSD,SELL,loss,-1.0778,0.86,3.6,96.78,0.0024,0.01,True,-3.88,3.72,0.0,1
2026-04-23,2026-04-23 07:45:00,2026-04-23 07:45:00,XAUUSD,BUY,win,1.0333,0.0,3.6,0.0,0.0,0.01,True,3.72,0.0,3.72,1
2026-04-28,2026-04-28 07:30:00,2026-04-28 07:30:00,XAUUSD,SELL,loss,-1.0778,0.86,3.6,96.78,0.0024,0.01,True,-3.88,3.72,0.0,1
2026-04-29,2026-04-29 07:30:00,2026-04-29 07:30:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-04-30,2026-04-30 07:30:00,2026-04-30 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-05,2026-05-05 07:30:00,2026-05-05 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-06,2026-05-06 07:30:00,2026-05-06 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-07,2026-05-07 08:00:00,2026-05-07 08:00:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-12,2026-05-12 07:30:00,2026-05-12 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-13,2026-05-13 08:15:00,2026-05-13 08:15:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-14,2026-05-14 07:30:00,2026-05-14 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-19,2026-05-19 07:30:00,2026-05-19 07:30:00,XAUUSD,SELL,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-20,2026-05-20 07:30:00,2026-05-20 07:30:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
2026-05-21,2026-05-21 08:00:00,2026-05-21 08:00:00,XAUUSD,BUY,loss,-1.0778,0.0,3.6,0.0,0.0,0.01,True,-3.88,0.0,0.0,1
