symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
XAUUSD,30,1.1111111111111112,2025-12,2025-12-30,2025-12-30 08:30:00,2025-12-30 08:30:00,SELL,4351.837,4355.437,4347.837,4355.437,loss,-1.0444,0.0444,160.0,-360.0,4374.008,4351.837,2.6453,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2025-12,2025-12-31,2025-12-31 08:30:00,2025-12-31 08:30:00,SELL,4320.269,4323.869,4316.269,4323.869,loss,-1.0444,0.0444,160.0,-360.0,4333.067,4320.269,0.845,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-06,2026-01-06 09:00:00,2026-01-06 09:00:00,SELL,4457.412,4461.012,4453.412,4461.012,loss,-1.0444,0.0444,160.0,-360.0,4476.002,4457.412,2.6689,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-07,2026-01-07 08:30:00,2026-01-07 08:30:00,BUY,4468.536,4464.936,4472.536,4464.936,loss,-1.0444,0.0444,160.0,-360.0,4468.536,4459.346,1.1116,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-08,2026-01-08 08:30:00,2026-01-08 08:30:00,SELL,4425.305,4428.905,4421.305,4421.305,win,1.0667,0.0444,160.0,400.0,4433.3,4425.305,0.9834,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-13,2026-01-13 08:30:00,2026-01-13 08:30:00,BUY,4592.683,4589.083,4596.683,4596.683,win,1.0667,0.0444,160.0,400.0,4592.683,4579.536,1.792,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-14,2026-01-14 08:45:00,2026-01-14 09:00:00,BUY,4634.332,4630.732,4638.332,4638.332,win,1.0667,0.0444,160.0,400.0,4634.332,4621.938,1.5406,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-15,2026-01-15 08:30:00,2026-01-15 08:30:00,BUY,4606.239,4602.639,4610.239,4602.639,loss,-1.0444,0.0444,160.0,-360.0,4606.239,4597.807,1.0239,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-20,2026-01-20 08:45:00,2026-01-20 08:45:00,BUY,4725.598,4721.998,4729.598,4729.598,win,1.0667,0.0444,160.0,400.0,4725.598,4715.0,1.323,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-21,2026-01-21 08:45:00,2026-01-21 08:45:00,SELL,4853.69,4857.29,4849.69,4857.29,loss,-1.0444,0.0444,160.0,-360.0,4869.67,4853.69,1.1229,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-22,2026-01-22 08:30:00,2026-01-22 08:30:00,SELL,4824.399,4827.999,4820.399,4827.999,loss,-1.0444,0.0444,160.0,-360.0,4835.648,4824.399,1.4394,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-27,2026-01-27 08:30:00,2026-01-27 08:30:00,SELL,5075.326,5078.926,5071.326,5078.926,loss,-1.0444,0.0444,160.0,-360.0,5088.428,5075.326,1.2032,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-28,2026-01-28 08:30:00,2026-01-28 08:30:00,BUY,5301.073,5297.473,5305.073,5297.473,loss,-1.0444,0.0444,160.0,-360.0,5301.073,5286.449,1.1881,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-01,2026-01-29,2026-01-29 08:30:00,2026-01-29 08:30:00,SELL,5522.926,5526.526,5518.926,5526.526,loss,-1.0444,0.0444,160.0,-360.0,5554.969,5522.926,1.6609,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-03,2026-02-03 08:30:00,2026-02-03 08:30:00,BUY,4942.051,4938.451,4946.051,4938.451,loss,-1.0444,0.0444,160.0,-360.0,4942.051,4898.547,1.8305,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-04,2026-02-04 08:30:00,2026-02-04 08:30:00,SELL,5074.869,5078.469,5070.869,5078.469,loss,-1.0667,0.0667,240.0,-360.0,5091.855,5074.869,1.0694,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-05,2026-02-05 08:45:00,2026-02-05 08:45:00,SELL,4912.659,4916.259,4908.659,4916.259,loss,-1.0444,0.0444,160.0,-360.0,4943.555,4912.659,1.0625,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-10,2026-02-10 08:30:00,2026-02-10 08:30:00,BUY,5041.269,5037.669,5045.269,5037.669,loss,-1.0667,0.0667,240.0,-360.0,5041.269,5029.082,1.0155,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-11,2026-02-11 08:30:00,2026-02-11 08:30:00,SELL,5050.738,5054.338,5046.738,5046.738,win,1.0444,0.0667,240.0,400.0,5060.3,5050.738,0.9676,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-12,2026-02-12 08:30:00,2026-02-12 08:30:00,SELL,5060.849,5064.449,5056.849,5056.849,win,1.0444,0.0667,240.0,400.0,5073.434,5060.849,1.2335,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-18,2026-02-18 08:30:00,2026-02-18 08:30:00,SELL,4922.493,4926.093,4918.493,4926.093,loss,-1.0444,0.0444,160.0,-360.0,4932.364,4922.493,1.3474,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-19,2026-02-19 08:30:00,2026-02-19 08:30:00,BUY,5014.798,5011.198,5018.798,5011.198,loss,-1.0667,0.0667,240.0,-360.0,5014.798,5006.094,1.3523,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-24,2026-02-24 08:30:00,2026-02-24 08:30:00,BUY,5179.569,5175.969,5183.569,5175.969,loss,-1.0667,0.0667,240.0,-360.0,5179.569,5165.06,1.3723,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-25,2026-02-25 08:30:00,2026-02-25 08:45:00,BUY,5193.83,5190.23,5197.83,5190.23,loss,-1.0667,0.0667,240.0,-360.0,5193.83,5184.74,1.1102,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-02,2026-02-26,2026-02-26 08:30:00,2026-02-26 08:30:00,SELL,5175.241,5178.841,5171.241,5178.841,loss,-1.0667,0.0667,240.0,-360.0,5190.64,5175.241,2.1704,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-03,2026-03-03,2026-03-03 08:30:00,2026-03-03 08:30:00,SELL,5310.583,5314.183,5306.583,5306.583,win,1.0111,0.1,360.0,400.0,5335.675,5310.583,1.2738,360.0,0.01,200.0,0.01
