date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-30 08:30:00,2025-12-30 08:45:00,XAUUSD,SELL,loss,-1.0178,4.6,9.0,45.0,0.0051,0.01,True,-9.16,20.0,10.84,1
2025-12-31,2025-12-31 08:30:00,2025-12-31 08:45:00,XAUUSD,SELL,win,1.0933,2.49,9.0,83.03,0.0028,0.01,True,9.84,10.84,20.68,1
2026-01-06,2026-01-06 09:00:00,2026-01-06 09:00:00,XAUUSD,SELL,loss,-1.0178,4.76,9.0,43.52,0.0053,0.01,True,-9.16,20.68,11.52,1
2026-01-07,2026-01-07 08:30:00,2026-01-07 10:15:00,XAUUSD,BUY,loss,-1.0178,2.65,9.0,78.13,0.0029,0.01,True,-9.16,11.52,2.36,1
2026-01-08,2026-01-08 08:30:00,2026-01-08 09:00:00,XAUUSD,SELL,loss,-1.0178,0.54,9.0,381.5,0.0006,0.01,True,-9.16,2.36,0.0,1
2026-01-13,2026-01-13 08:30:00,2026-01-13 10:00:00,XAUUSD,BUY,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-01-14,2026-01-14 08:45:00,2026-01-14 13:30:00,XAUUSD,BUY,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-01-15,2026-01-15 08:30:00,2026-01-15 10:30:00,XAUUSD,BUY,win,1.0933,0.0,9.0,0.0,0.0,0.01,True,9.84,0.0,9.84,1
2026-01-20,2026-01-20 08:45:00,2026-01-20 09:30:00,XAUUSD,BUY,win,1.0933,2.26,9.0,91.47,0.0025,0.01,True,9.84,9.84,19.68,1
2026-01-21,2026-01-21 08:45:00,2026-01-21 08:45:00,XAUUSD,SELL,loss,-1.0178,4.53,9.0,45.73,0.005,0.01,True,-9.16,19.68,10.52,1
2026-01-22,2026-01-22 08:30:00,2026-01-22 09:00:00,XAUUSD,SELL,loss,-1.0178,2.42,9.0,85.56,0.0027,0.01,True,-9.16,10.52,1.36,1
2026-01-27,2026-01-27 08:30:00,2026-01-27 08:45:00,XAUUSD,SELL,loss,-1.0178,0.31,9.0,662.25,0.0003,0.01,True,-9.16,1.36,0.0,1
2026-01-28,2026-01-28 08:30:00,2026-01-28 08:30:00,XAUUSD,BUY,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-01-29,2026-01-29 08:30:00,2026-01-29 08:30:00,XAUUSD,SELL,win,1.0933,0.0,9.0,0.0,0.0,0.01,True,9.84,0.0,9.84,1
2026-02-03,2026-02-03 08:30:00,2026-02-03 08:30:00,XAUUSD,BUY,loss,-1.0178,2.26,9.0,91.47,0.0025,0.01,True,-9.16,9.84,0.68,1
2026-02-04,2026-02-04 08:30:00,2026-02-04 08:30:00,XAUUSD,SELL,loss,-1.0267,0.16,9.0,1324.5,0.0002,0.01,True,-9.24,0.68,0.0,1
2026-02-05,2026-02-05 08:45:00,2026-02-05 08:45:00,XAUUSD,SELL,loss,-1.0178,0.0,9.0,0.0,0.0,0.01,True,-9.16,0.0,0.0,1
2026-02-10,2026-02-10 08:30:00,2026-02-10 08:45:00,XAUUSD,BUY,win,1.0844,0.0,9.0,0.0,0.0,0.01,True,9.76,0.0,9.76,1
2026-02-11,2026-02-11 08:30:00,2026-02-11 09:30:00,XAUUSD,SELL,loss,-1.0267,2.24,9.0,92.22,0.0025,0.01,True,-9.24,9.76,0.52,1
2026-02-12,2026-02-12 08:30:00,2026-02-12 08:45:00,XAUUSD,SELL,loss,-1.0267,0.12,9.0,1733.1,0.0001,0.01,True,-9.24,0.52,0.0,1
2026-02-18,2026-02-18 08:30:00,2026-02-18 10:30:00,XAUUSD,SELL,win,1.0933,0.0,9.0,0.0,0.0,0.01,True,9.84,0.0,9.84,1
2026-02-19,2026-02-19 08:30:00,2026-02-19 09:15:00,XAUUSD,BUY,loss,-1.0267,2.26,9.0,91.47,0.0025,0.01,True,-9.24,9.84,0.6,1
2026-02-24,2026-02-24 08:30:00,2026-02-24 08:30:00,XAUUSD,BUY,loss,-1.0267,0.14,9.0,1501.5,0.0002,0.01,True,-9.24,0.6,0.0,1
2026-02-25,2026-02-25 08:30:00,2026-02-25 08:45:00,XAUUSD,BUY,loss,-1.0267,0.0,9.0,0.0,0.0,0.01,True,-9.24,0.0,0.0,1
2026-02-26,2026-02-26 08:30:00,2026-02-26 09:45:00,XAUUSD,SELL,loss,-1.0267,0.0,9.0,0.0,0.0,0.01,True,-9.24,0.0,0.0,1
2026-03-03,2026-03-03 08:30:00,2026-03-03 08:30:00,XAUUSD,SELL,win,1.0711,0.0,9.0,0.0,0.0,0.01,True,9.64,0.0,9.64,1
2026-03-04,2026-03-04 08:30:00,2026-03-04 08:30:00,XAUUSD,BUY,loss,-1.0267,2.22,9.0,93.36,0.0025,0.01,True,-9.24,9.64,0.4,1
2026-03-05,2026-03-05 08:30:00,2026-03-05 08:30:00,XAUUSD,BUY,loss,-1.0267,0.09,9.0,2252.25,0.0001,0.01,True,-9.24,0.4,0.0,1
2026-03-10,2026-03-10 07:45:00,2026-03-10 08:30:00,XAUUSD,BUY,win,1.0711,0.0,9.0,0.0,0.0,0.01,True,9.64,0.0,9.64,1
2026-03-11,2026-03-11 07:30:00,2026-03-11 07:30:00,XAUUSD,SELL,win,1.0711,2.22,9.0,93.36,0.0025,0.01,True,9.64,9.64,19.28,1
2026-03-12,2026-03-12 07:30:00,2026-03-12 07:45:00,XAUUSD,BUY,win,1.0711,4.43,9.0,46.68,0.0049,0.01,True,9.64,19.28,28.92,2
2026-03-17,2026-03-17 07:30:00,2026-03-17 08:15:00,XAUUSD,BUY,win,1.08,6.65,9.0,31.12,0.0074,0.01,True,9.72,28.92,38.64,3
2026-03-18,2026-03-18 07:30:00,2026-03-18 07:45:00,XAUUSD,SELL,win,1.0867,8.89,9.0,23.29,0.0099,0.01,True,9.78,38.64,48.42,4
2026-03-19,2026-03-19 07:30:00,2026-03-19 07:30:00,XAUUSD,SELL,loss,-1.0222,11.14,9.0,18.59,0.0124,0.01,False,-9.2,48.42,39.22,3
2026-03-24,2026-03-24 07:45:00,2026-03-24 07:45:00,XAUUSD,BUY,loss,-1.0404,9.02,9.0,22.95,0.01,0.01,False,-9.36,39.22,29.86,2
2026-03-25,2026-03-25 07:30:00,2026-03-25 07:30:00,XAUUSD,SELL,loss,-1.0311,6.87,9.0,30.14,0.0076,0.01,True,-9.28,29.86,20.58,1
2026-03-26,2026-03-26 07:30:00,2026-03-26 07:30:00,XAUUSD,BUY,loss,-1.0311,4.73,9.0,43.74,0.0053,0.01,True,-9.28,20.58,11.3,1
2026-03-31,2026-03-31 07:45:00,2026-03-31 08:30:00,XAUUSD,BUY,win,1.08,2.6,9.0,79.67,0.0029,0.01,True,9.72,11.3,21.02,1
2026-04-01,2026-04-01 07:30:00,2026-04-01 07:30:00,XAUUSD,BUY,loss,-1.0311,4.83,9.0,42.82,0.0054,0.01,True,-9.28,21.02,11.74,1
2026-04-02,2026-04-02 07:30:00,2026-04-02 07:30:00,XAUUSD,BUY,win,1.08,2.7,9.0,76.68,0.003,0.01,True,9.72,11.74,21.46,1
2026-04-07,2026-04-07 07:30:00,2026-04-07 08:00:00,XAUUSD,SELL,loss,-1.0311,4.94,9.0,41.94,0.0055,0.01,True,-9.28,21.46,12.18,1
2026-04-08,2026-04-08 07:30:00,2026-04-08 07:30:00,XAUUSD,SELL,loss,-1.0311,2.8,9.0,73.91,0.0031,0.01,True,-9.28,12.18,2.9,1
2026-04-09,2026-04-09 07:30:00,2026-04-09 07:30:00,XAUUSD,BUY,loss,-1.0311,0.67,9.0,310.66,0.0007,0.01,True,-9.28,2.9,0.0,1
2026-04-14,2026-04-14 10:30:00,2026-04-14 10:30:00,XAUUSD,SELL,loss,-1.0311,0.0,9.0,0.0,0.0,0.01,True,-9.28,0.0,0.0,1
2026-04-15,2026-04-15 08:45:00,2026-04-15 09:00:00,XAUUSD,BUY,loss,-1.0311,0.0,9.0,0.0,0.0,0.01,True,-9.28,0.0,0.0,1
2026-04-16,2026-04-16 08:00:00,2026-04-16 08:30:00,XAUUSD,SELL,win,1.08,0.0,9.0,0.0,0.0,0.01,True,9.72,0.0,9.72,1
2026-04-21,2026-04-21 07:45:00,2026-04-21 08:00:00,XAUUSD,BUY,loss,-1.0311,2.24,9.0,92.59,0.0025,0.01,True,-9.28,9.72,0.44,1
2026-04-22,2026-04-22 07:30:00,2026-04-22 08:30:00,XAUUSD,SELL,win,1.08,0.1,9.0,2044.99,0.0001,0.01,True,9.72,0.44,10.16,1
2026-04-23,2026-04-23 07:45:00,2026-04-23 08:30:00,XAUUSD,BUY,loss,-1.0311,2.34,9.0,88.58,0.0026,0.01,True,-9.28,10.16,0.88,1
2026-04-28,2026-04-28 07:30:00,2026-04-28 08:00:00,XAUUSD,SELL,win,1.08,0.2,9.0,1022.49,0.0002,0.01,True,9.72,0.88,10.6,1
2026-04-29,2026-04-29 07:30:00,2026-04-29 07:30:00,XAUUSD,SELL,loss,-1.0311,2.44,9.0,84.9,0.0027,0.01,True,-9.28,10.6,1.32,1
2026-04-30,2026-04-30 07:30:00,2026-04-30 08:00:00,XAUUSD,BUY,win,1.08,0.3,9.0,681.66,0.0003,0.01,True,9.72,1.32,11.04,1
2026-05-05,2026-05-05 07:30:00,2026-05-05 07:45:00,XAUUSD,BUY,loss,-1.0311,2.54,9.0,81.52,0.0028,0.01,True,-9.28,11.04,1.76,1
2026-05-06,2026-05-06 07:30:00,2026-05-06 07:45:00,XAUUSD,BUY,win,1.08,0.4,9.0,511.25,0.0004,0.01,True,9.72,1.76,11.48,1
2026-05-07,2026-05-07 08:00:00,2026-05-07 08:15:00,XAUUSD,BUY,loss,-1.0311,2.64,9.0,78.39,0.0029,0.01,True,-9.28,11.48,2.2,1
2026-05-12,2026-05-12 07:30:00,2026-05-12 10:30:00,XAUUSD,BUY,loss,-1.0311,0.51,9.0,409.0,0.0006,0.01,True,-9.28,2.2,0.0,1
2026-05-13,2026-05-13 08:15:00,2026-05-13 09:15:00,XAUUSD,SELL,win,1.08,0.0,9.0,0.0,0.0,0.01,True,9.72,0.0,9.72,1
2026-05-14,2026-05-14 07:30:00,2026-05-14 07:30:00,XAUUSD,BUY,win,1.08,2.24,9.0,92.59,0.0025,0.01,True,9.72,9.72,19.44,1
2026-05-19,2026-05-19 07:30:00,2026-05-19 07:45:00,XAUUSD,SELL,loss,-1.0311,4.47,9.0,46.3,0.005,0.01,True,-9.28,19.44,10.16,1
2026-05-20,2026-05-20 07:30:00,2026-05-20 07:30:00,XAUUSD,BUY,loss,-1.0311,2.34,9.0,88.58,0.0026,0.01,True,-9.28,10.16,0.88,1
2026-05-21,2026-05-21 08:00:00,2026-05-21 08:00:00,XAUUSD,BUY,win,1.08,0.2,9.0,1022.49,0.0002,0.01,True,9.72,0.88,10.6,1
2026-05-26,2026-05-26 07:30:00,2026-05-26 07:45:00,XAUUSD,SELL,loss,-1.0311,2.44,9.0,84.9,0.0027,0.01,True,-9.28,10.6,1.32,1
2026-05-27,2026-05-27 07:45:00,2026-05-27 08:00:00,XAUUSD,SELL,loss,-1.0311,0.3,9.0,681.66,0.0003,0.01,True,-9.28,1.32,0.0,1
2026-05-28,2026-05-28 07:45:00,2026-05-28 08:00:00,XAUUSD,SELL,loss,-1.0311,0.0,9.0,0.0,0.0,0.01,True,-9.28,0.0,0.0,1
2026-06-02,2026-06-02 07:30:00,2026-06-02 09:30:00,XAUUSD,SELL,win,1.08,0.0,9.0,0.0,0.0,0.01,True,9.72,0.0,9.72,1
2026-06-03,2026-06-03 07:30:00,2026-06-03 08:45:00,XAUUSD,SELL,win,1.08,2.24,9.0,92.59,0.0025,0.01,True,9.72,9.72,19.44,1
2026-06-04,2026-06-04 07:30:00,2026-06-04 09:45:00,XAUUSD,SELL,loss,-1.0311,4.47,9.0,46.3,0.005,0.01,True,-9.28,19.44,10.16,1
2026-06-09,2026-06-09 07:30:00,2026-06-09 08:00:00,XAUUSD,SELL,loss,-1.0289,2.34,9.0,88.58,0.0026,0.01,True,-9.26,10.16,0.9,1
2026-06-10,2026-06-10 07:30:00,2026-06-10 07:45:00,XAUUSD,SELL,win,1.0822,0.21,9.0,1000.0,0.0002,0.01,True,9.74,0.9,10.64,1
2026-06-11,2026-06-11 07:30:00,2026-06-11 07:45:00,XAUUSD,BUY,loss,-1.0289,2.45,9.0,84.59,0.0027,0.01,True,-9.26,10.64,1.38,1
2026-06-16,2026-06-16 07:30:00,2026-06-16 08:00:00,XAUUSD,BUY,win,1.0822,0.32,9.0,652.32,0.0004,0.01,True,9.74,1.38,11.12,1
2026-06-17,2026-06-17 07:30:00,2026-06-17 09:30:00,XAUUSD,SELL,loss,-1.0289,2.56,9.0,80.94,0.0028,0.01,True,-9.26,11.12,1.86,1
2026-06-18,2026-06-18 07:30:00,2026-06-18 07:45:00,XAUUSD,SELL,win,1.0822,0.43,9.0,484.03,0.0005,0.01,True,9.74,1.86,11.6,1
2026-06-23,2026-06-23 07:30:00,2026-06-23 07:30:00,XAUUSD,SELL,loss,-1.0289,2.67,9.0,77.59,0.003,0.01,True,-9.26,11.6,2.34,1
2026-06-24,2026-06-24 07:30:00,2026-06-24 08:00:00,XAUUSD,SELL,win,1.0822,0.54,9.0,384.76,0.0006,0.01,True,9.74,2.34,12.08,1
2026-06-25,2026-06-25 07:45:00,2026-06-25 07:45:00,XAUUSD,SELL,loss,-1.0289,2.78,9.0,74.51,0.0031,0.01,True,-9.26,12.08,2.82,1
