date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-30 14:15:00,2025-12-30 14:15:00,BTCUSD,BUY,loss,-1.1,4.6,3.6,18.0,0.0256,0.02,False,-3.96,20.0,16.04,1
2025-12-31,2025-12-31 08:30:00,2025-12-31 08:30:00,BTCUSD,SELL,win,1.0111,3.69,3.6,22.44,0.0205,0.02,False,3.64,16.04,19.68,1
2026-01-01,2026-01-01 09:00:00,2026-01-01 11:45:00,BTCUSD,BUY,win,1.0111,4.53,3.6,18.29,0.0251,0.02,False,3.64,19.68,23.32,1
2026-01-06,2026-01-06 08:45:00,2026-01-06 09:00:00,BTCUSD,SELL,loss,-1.1,5.36,3.6,15.44,0.0298,0.02,False,-3.96,23.32,19.36,1
2026-01-07,2026-01-07 08:30:00,2026-01-07 09:00:00,BTCUSD,SELL,win,1.0111,4.45,3.6,18.6,0.0247,0.02,False,3.64,19.36,23.0,1
2026-01-13,2026-01-13 08:30:00,2026-01-13 09:00:00,BTCUSD,BUY,win,1.0111,5.29,3.6,15.65,0.0294,0.02,False,3.64,23.0,26.64,2
2026-01-14,2026-01-14 08:30:00,2026-01-14 08:30:00,BTCUSD,SELL,win,1.0111,6.13,5.4,20.27,0.034,0.03,False,5.46,26.64,32.1,2
2026-01-15,2026-01-15 08:30:00,2026-01-15 08:45:00,BTCUSD,SELL,loss,-1.1,7.38,7.2,22.43,0.041,0.04,False,-7.92,32.1,24.18,1
2026-01-20,2026-01-20 08:30:00,2026-01-20 08:30:00,BTCUSD,SELL,loss,-1.1,5.56,5.4,22.33,0.0309,0.03,False,-5.94,24.18,18.24,1
2026-01-21,2026-01-21 08:30:00,2026-01-21 09:15:00,BTCUSD,SELL,loss,-1.1,4.2,3.6,19.74,0.0233,0.02,False,-3.96,18.24,14.28,1
2026-01-22,2026-01-22 09:00:00,2026-01-22 13:15:00,BTCUSD,BUY,win,1.0111,3.28,1.8,12.61,0.0182,0.01,False,1.82,14.28,16.1,1
2026-01-27,2026-01-27 08:30:00,2026-01-27 09:00:00,BTCUSD,SELL,win,1.0111,3.7,3.6,22.36,0.0206,0.02,False,3.64,16.1,19.74,1
2026-01-28,2026-01-28 08:30:00,2026-01-28 09:30:00,BTCUSD,SELL,loss,-1.1,4.54,3.6,18.24,0.0252,0.02,False,-3.96,19.74,15.78,1
2026-01-29,2026-01-29 08:30:00,2026-01-29 08:30:00,BTCUSD,BUY,loss,-1.1,3.63,3.6,22.81,0.0202,0.02,False,-3.96,15.78,11.82,1
2026-02-03,2026-02-03 08:30:00,2026-02-03 08:30:00,BTCUSD,BUY,loss,-1.1,2.72,1.8,15.23,0.0151,0.01,False,-1.98,11.82,9.84,1
2026-02-04,2026-02-04 08:30:00,2026-02-04 08:30:00,BTCUSD,SELL,loss,-1.1,2.26,1.8,18.29,0.0126,0.01,False,-1.98,9.84,7.86,1
2026-02-05,2026-02-05 08:30:00,2026-02-05 08:30:00,BTCUSD,BUY,loss,-1.1,1.81,1.8,22.9,0.01,0.01,False,-1.98,7.86,5.88,1
2026-02-10,2026-02-10 08:30:00,2026-02-10 08:30:00,BTCUSD,BUY,loss,-1.1,1.35,1.8,30.61,0.0075,0.01,True,-1.98,5.88,3.9,1
2026-02-11,2026-02-11 08:30:00,2026-02-11 08:30:00,BTCUSD,SELL,loss,-1.1,0.9,1.8,46.16,0.005,0.01,True,-1.98,3.9,1.92,1
2026-02-12,2026-02-12 09:30:00,2026-02-12 09:45:00,BTCUSD,BUY,win,1.0111,0.44,1.8,93.76,0.0025,0.01,True,1.82,1.92,3.74,1
2026-02-17,2026-02-17 08:30:00,2026-02-17 09:00:00,BTCUSD,SELL,win,1.0111,0.86,1.8,48.13,0.0048,0.01,True,1.82,3.74,5.56,1
2026-02-18,2026-02-18 08:45:00,2026-02-18 09:30:00,BTCUSD,SELL,loss,-1.1,1.28,1.8,32.38,0.0071,0.01,True,-1.98,5.56,3.58,1
2026-02-19,2026-02-19 08:30:00,2026-02-19 09:15:00,BTCUSD,SELL,loss,-1.1,0.82,1.8,50.28,0.0046,0.01,True,-1.98,3.58,1.6,1
2026-02-24,2026-02-24 08:30:00,2026-02-24 09:15:00,BTCUSD,BUY,loss,-1.1,0.37,1.8,112.52,0.002,0.01,True,-1.98,1.6,0.0,1
2026-02-25,2026-02-25 08:30:00,2026-02-25 08:30:00,BTCUSD,BUY,win,1.0111,0.0,1.8,0.0,0.0,0.01,True,1.82,0.0,1.82,1
2026-02-26,2026-02-26 09:00:00,2026-02-26 09:00:00,BTCUSD,BUY,loss,-1.1,0.42,1.8,98.9,0.0023,0.01,True,-1.98,1.82,0.0,1
2026-03-03,2026-03-03 08:30:00,2026-03-03 08:30:00,BTCUSD,SELL,win,1.0111,0.0,1.8,0.0,0.0,0.01,True,1.82,0.0,1.82,1
2026-03-04,2026-03-04 08:30:00,2026-03-04 08:30:00,BTCUSD,BUY,loss,-1.1,0.42,1.8,98.9,0.0023,0.01,True,-1.98,1.82,0.0,1
2026-03-05,2026-03-05 08:30:00,2026-03-05 08:30:00,BTCUSD,BUY,loss,-1.1,0.0,1.8,0.0,0.0,0.01,True,-1.98,0.0,0.0,1
2026-03-10,2026-03-10 08:00:00,2026-03-10 08:00:00,BTCUSD,BUY,win,1.0111,0.0,1.8,0.0,0.0,0.01,True,1.82,0.0,1.82,1
2026-03-11,2026-03-11 07:30:00,2026-03-11 07:30:00,BTCUSD,SELL,win,1.0111,0.42,1.8,98.9,0.0023,0.01,True,1.82,1.82,3.64,1
2026-03-12,2026-03-12 07:30:00,2026-03-12 07:45:00,BTCUSD,BUY,win,1.0111,0.84,1.8,49.45,0.0047,0.01,True,1.82,3.64,5.46,1
2026-03-17,2026-03-17 08:00:00,2026-03-17 08:00:00,BTCUSD,BUY,loss,-1.1,1.26,1.8,32.97,0.007,0.01,True,-1.98,5.46,3.48,1
2026-03-18,2026-03-18 07:30:00,2026-03-18 08:00:00,BTCUSD,SELL,loss,-1.1,0.8,1.8,51.73,0.0044,0.01,True,-1.98,3.48,1.5,1
2026-03-19,2026-03-19 12:45:00,2026-03-19 12:45:00,BTCUSD,SELL,win,1.0111,0.34,1.8,120.0,0.0019,0.01,True,1.82,1.5,3.32,1
2026-03-24,2026-03-24 07:45:00,2026-03-24 07:45:00,BTCUSD,BUY,loss,-1.0778,0.76,1.8,54.22,0.0042,0.01,True,-1.94,3.32,1.38,1
2026-03-25,2026-03-25 07:30:00,2026-03-25 07:45:00,BTCUSD,BUY,loss,-1.0778,0.32,1.8,130.45,0.0018,0.01,True,-1.94,1.38,0.0,1
2026-03-26,2026-03-26 07:30:00,2026-03-26 07:30:00,BTCUSD,SELL,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-03-31,2026-03-31 08:30:00,2026-03-31 08:30:00,BTCUSD,SELL,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-04-01,2026-04-01 07:30:00,2026-04-01 08:00:00,BTCUSD,SELL,win,1.0333,0.0,1.8,0.0,0.0,0.01,True,1.86,0.0,1.86,1
2026-04-02,2026-04-02 07:30:00,2026-04-02 07:45:00,BTCUSD,BUY,win,1.0333,0.43,1.8,96.78,0.0024,0.01,True,1.86,1.86,3.72,1
2026-04-07,2026-04-07 07:30:00,2026-04-07 08:15:00,BTCUSD,BUY,win,1.0333,0.86,1.8,48.39,0.0048,0.01,True,1.86,3.72,5.58,1
2026-04-08,2026-04-08 07:30:00,2026-04-08 07:30:00,BTCUSD,SELL,loss,-1.0778,1.28,1.8,32.26,0.0071,0.01,True,-1.94,5.58,3.64,1
2026-04-09,2026-04-09 07:30:00,2026-04-09 08:30:00,BTCUSD,SELL,loss,-1.0778,0.84,1.8,49.45,0.0047,0.01,True,-1.94,3.64,1.7,1
2026-04-14,2026-04-14 10:30:00,2026-04-14 10:30:00,BTCUSD,SELL,loss,-1.0778,0.39,1.8,105.9,0.0022,0.01,True,-1.94,1.7,0.0,1
2026-04-15,2026-04-15 07:30:00,2026-04-15 07:45:00,BTCUSD,SELL,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-04-16,2026-04-16 07:30:00,2026-04-16 07:45:00,BTCUSD,SELL,win,1.0333,0.0,1.8,0.0,0.0,0.01,True,1.86,0.0,1.86,1
2026-04-21,2026-04-21 08:15:00,2026-04-21 08:15:00,BTCUSD,BUY,loss,-1.0778,0.43,1.8,96.78,0.0024,0.01,True,-1.94,1.86,0.0,1
2026-04-22,2026-04-22 08:00:00,2026-04-22 08:30:00,BTCUSD,BUY,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-04-23,2026-04-23 07:30:00,2026-04-23 08:30:00,BTCUSD,SELL,win,1.0333,0.0,1.8,0.0,0.0,0.01,True,1.86,0.0,1.86,1
2026-04-28,2026-04-28 07:30:00,2026-04-28 07:45:00,BTCUSD,BUY,win,1.0333,0.43,1.8,96.78,0.0024,0.01,True,1.86,1.86,3.72,1
2026-04-29,2026-04-29 07:30:00,2026-04-29 09:45:00,BTCUSD,BUY,win,1.0333,0.86,1.8,48.39,0.0048,0.01,True,1.86,3.72,5.58,1
2026-04-30,2026-04-30 07:30:00,2026-04-30 07:45:00,BTCUSD,BUY,win,1.0333,1.28,1.8,32.26,0.0071,0.01,True,1.86,5.58,7.44,1
2026-05-05,2026-05-05 07:30:00,2026-05-05 07:45:00,BTCUSD,BUY,loss,-1.0778,1.71,1.8,24.19,0.0095,0.01,True,-1.94,7.44,5.5,1
2026-05-06,2026-05-06 07:30:00,2026-05-06 08:00:00,BTCUSD,SELL,loss,-1.0778,1.26,1.8,32.73,0.007,0.01,True,-1.94,5.5,3.56,1
2026-05-07,2026-05-07 08:15:00,2026-05-07 09:00:00,BTCUSD,SELL,win,1.0333,0.82,1.8,50.57,0.0045,0.01,True,1.86,3.56,5.42,1
2026-05-12,2026-05-12 07:45:00,2026-05-12 10:15:00,BTCUSD,SELL,win,1.0333,1.25,1.8,33.21,0.0069,0.01,True,1.86,5.42,7.28,1
2026-05-13,2026-05-13 07:30:00,2026-05-13 08:00:00,BTCUSD,SELL,loss,-1.0778,1.67,1.8,24.73,0.0093,0.01,True,-1.94,7.28,5.34,1
2026-05-14,2026-05-14 07:30:00,2026-05-14 08:00:00,BTCUSD,BUY,loss,-1.0778,1.23,1.8,33.71,0.0068,0.01,True,-1.94,5.34,3.4,1
2026-05-19,2026-05-19 07:30:00,2026-05-19 08:00:00,BTCUSD,BUY,loss,-1.0778,0.78,1.8,52.95,0.0043,0.01,True,-1.94,3.4,1.46,1
2026-05-20,2026-05-20 07:45:00,2026-05-20 08:30:00,BTCUSD,SELL,loss,-1.0778,0.34,1.8,123.33,0.0019,0.01,True,-1.94,1.46,0.0,1
2026-05-21,2026-05-21 07:30:00,2026-05-21 07:45:00,BTCUSD,BUY,win,1.0333,0.0,1.8,0.0,0.0,0.01,True,1.86,0.0,1.86,1
2026-05-26,2026-05-26 10:00:00,2026-05-26 10:15:00,BTCUSD,SELL,loss,-1.0778,0.43,1.8,96.78,0.0024,0.01,True,-1.94,1.86,0.0,1
2026-05-27,2026-05-27 07:30:00,2026-05-27 09:15:00,BTCUSD,BUY,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-05-28,2026-05-28 07:30:00,2026-05-28 09:45:00,BTCUSD,BUY,win,1.0333,0.0,1.8,0.0,0.0,0.01,True,1.86,0.0,1.86,1
2026-06-02,2026-06-02 08:45:00,2026-06-02 08:45:00,BTCUSD,SELL,loss,-1.0778,0.43,1.8,96.78,0.0024,0.01,True,-1.94,1.86,0.0,1
2026-06-03,2026-06-03 07:45:00,2026-06-03 08:00:00,BTCUSD,BUY,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-06-04,2026-06-04 08:00:00,2026-06-04 08:00:00,BTCUSD,SELL,loss,-1.0778,0.0,1.8,0.0,0.0,0.01,True,-1.94,0.0,0.0,1
2026-06-09,2026-06-09 08:00:00,2026-06-09 08:00:00,BTCUSD,SELL,loss,-1.0556,0.0,1.8,0.0,0.0,0.01,True,-1.9,0.0,0.0,1
2026-06-10,2026-06-10 07:30:00,2026-06-10 08:00:00,BTCUSD,BUY,loss,-1.0556,0.0,1.8,0.0,0.0,0.01,True,-1.9,0.0,0.0,1
2026-06-16,2026-06-16 07:45:00,2026-06-16 08:00:00,BTCUSD,SELL,loss,-1.0556,0.0,1.8,0.0,0.0,0.01,True,-1.9,0.0,0.0,1
2026-06-17,2026-06-17 07:45:00,2026-06-17 07:45:00,BTCUSD,SELL,win,1.0556,0.0,1.8,0.0,0.0,0.01,True,1.9,0.0,1.9,1
2026-06-18,2026-06-18 07:30:00,2026-06-18 07:45:00,BTCUSD,BUY,win,1.0556,0.44,1.8,94.73,0.0024,0.01,True,1.9,1.9,3.8,1
2026-06-23,2026-06-23 07:30:00,2026-06-23 08:00:00,BTCUSD,SELL,win,1.0556,0.87,1.8,47.37,0.0049,0.01,True,1.9,3.8,5.7,1
2026-06-24,2026-06-24 07:30:00,2026-06-24 10:15:00,BTCUSD,SELL,win,1.0556,1.31,1.8,31.58,0.0073,0.01,True,1.9,5.7,7.6,1
2026-06-25,2026-06-25 07:30:00,2026-06-25 08:15:00,BTCUSD,BUY,loss,-1.0556,1.75,1.8,23.68,0.0097,0.01,True,-1.9,7.6,5.7,1
