date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-31,2025-12-31 13:30:00,2025-12-31 13:45:00,US30,BUY,win,1.0583,4.6,4.32,21.6,0.1278,0.12,False,4.57,20.0,24.57,1
2026-01-06,2026-01-06 13:30:00,2026-01-06 13:30:00,US30,BUY,loss,-1.0528,5.65,5.4,21.98,0.157,0.15,False,-5.69,24.57,18.89,1
2026-01-07,2026-01-07 13:30:00,2026-01-07 14:15:00,US30,BUY,win,1.0583,4.34,4.32,22.87,0.1207,0.12,False,4.57,18.89,23.46,1
2026-01-08,2026-01-08 13:30:00,2026-01-08 13:45:00,US30,BUY,loss,-1.0528,5.4,5.04,21.48,0.1499,0.14,False,-5.31,23.46,18.15,1
2026-01-13,2026-01-13 13:30:00,2026-01-13 13:30:00,US30,BUY,win,1.0528,4.18,3.96,21.82,0.116,0.11,False,4.17,18.15,22.32,1
2026-01-15,2026-01-15 13:30:00,2026-01-15 13:30:00,US30,SELL,loss,-1.0583,5.13,5.04,22.58,0.1426,0.14,False,-5.33,22.32,16.99,1
2026-01-20,2026-01-20 13:30:00,2026-01-20 13:30:00,US30,SELL,win,1.0583,3.91,3.6,21.19,0.1085,0.1,False,3.81,16.99,20.8,1
2026-01-21,2026-01-21 13:30:00,2026-01-21 13:45:00,US30,SELL,loss,-1.0528,4.78,4.68,22.5,0.1329,0.13,False,-4.93,20.8,15.87,1
2026-01-22,2026-01-22 13:30:00,2026-01-22 13:45:00,US30,BUY,win,1.0583,3.65,3.6,22.68,0.1014,0.1,False,3.81,15.87,19.68,1
2026-01-27,2026-01-27 13:30:00,2026-01-27 13:45:00,US30,SELL,win,1.0528,4.53,4.32,21.95,0.1257,0.12,False,4.55,19.68,24.23,1
2026-01-28,2026-01-28 13:30:00,2026-01-28 14:15:00,US30,SELL,loss,-1.0528,5.57,5.4,22.29,0.1548,0.15,False,-5.69,24.23,18.54,1
2026-01-29,2026-01-29 13:45:00,2026-01-29 13:45:00,US30,SELL,loss,-1.0583,4.26,3.96,21.36,0.1185,0.11,False,-4.19,18.54,14.35,1
2026-02-03,2026-02-03 13:45:00,2026-02-03 14:15:00,US30,SELL,win,1.0583,3.3,3.24,22.57,0.0917,0.09,False,3.43,14.35,17.78,1
2026-02-04,2026-02-04 13:30:00,2026-02-04 13:45:00,US30,BUY,loss,-1.0583,4.09,3.96,22.27,0.1136,0.11,False,-4.19,17.78,13.59,1
2026-02-05,2026-02-05 13:30:00,2026-02-05 13:30:00,US30,BUY,loss,-1.0583,3.13,2.88,21.19,0.0868,0.08,False,-3.05,13.59,10.54,1
2026-02-10,2026-02-10 13:30:00,2026-02-10 14:00:00,US30,BUY,win,1.0528,2.42,2.16,20.49,0.0674,0.06,False,2.27,10.54,12.82,1
2026-02-11,2026-02-11 13:30:00,2026-02-11 13:30:00,US30,BUY,win,1.0528,2.95,2.88,22.47,0.0819,0.08,False,3.03,12.82,15.85,1
2026-02-12,2026-02-12 13:30:00,2026-02-12 13:30:00,US30,BUY,win,1.0528,3.65,3.6,22.71,0.1013,0.1,False,3.79,15.85,19.64,1
2026-02-17,2026-02-17 13:45:00,2026-02-17 13:45:00,US30,BUY,loss,-1.0583,4.52,4.32,22.0,0.1255,0.12,False,-4.57,19.64,15.07,1
2026-02-19,2026-02-19 13:30:00,2026-02-19 13:30:00,US30,SELL,loss,-1.0583,3.47,3.24,21.5,0.0963,0.09,False,-3.43,15.07,11.64,1
2026-02-24,2026-02-24 13:30:00,2026-02-24 13:45:00,US30,BUY,win,1.0528,2.68,2.52,21.65,0.0744,0.07,False,2.65,11.64,14.29,1
2026-02-25,2026-02-25 13:30:00,2026-02-25 13:45:00,US30,SELL,loss,-1.0583,3.29,3.24,22.67,0.0913,0.09,False,-3.43,14.29,10.86,1
2026-02-26,2026-02-26 13:30:00,2026-02-26 13:45:00,US30,BUY,loss,-1.0583,2.5,2.16,19.89,0.0694,0.06,False,-2.29,10.86,8.58,1
2026-03-03,2026-03-03 13:30:00,2026-03-03 13:30:00,US30,SELL,win,1.0528,1.97,1.8,20.99,0.0548,0.05,False,1.9,8.58,10.47,1
2026-03-04,2026-03-04 14:15:00,2026-03-04 14:15:00,US30,BUY,loss,-1.0583,2.41,2.16,20.63,0.0669,0.06,False,-2.29,10.47,8.19,1
