date,opened_at,closed_at,symbol,direction,result,r_multiple,requested_risk,actual_risk,actual_risk_percent,raw_lot,lot,minimum_lot_override,pnl,balance_before,balance_after,level_after
2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,US100,SELL,timeout,0.545,4.6,4.5,22.5,0.0511,0.05,False,2.45,20.0,22.45,1
2026-01-01,2026-01-02 00:45:00,2026-01-02 03:30:00,US100,BUY,win,1.0871,5.16,4.5,20.04,0.0574,0.05,False,4.89,22.45,27.34,2
2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,US100,SELL,timeout,0.514,6.29,5.4,19.75,0.0699,0.06,False,2.78,27.34,30.12,2
2026-01-07,2026-01-08 00:30:00,2026-01-08 05:45:00,US100,BUY,loss,-1.024,6.93,6.3,20.92,0.077,0.07,False,-6.45,30.12,23.67,1
2026-01-08,2026-01-09 00:30:00,2026-01-09 07:00:00,US100,BUY,timeout,-0.0957,5.44,5.4,22.81,0.0605,0.06,False,-0.52,23.67,23.15,1
2026-01-13,2026-01-14 00:30:00,2026-01-14 07:00:00,US100,BUY,timeout,-0.7521,5.32,4.5,19.44,0.0592,0.05,False,-3.38,23.15,19.77,1
2026-01-15,2026-01-16 00:30:00,2026-01-16 07:00:00,US100,BUY,timeout,0.7062,4.55,4.5,22.76,0.0505,0.05,False,3.18,19.77,22.95,1
2026-01-20,2026-01-21 00:30:00,2026-01-21 07:00:00,US100,BUY,timeout,0.8063,5.28,4.5,19.61,0.0586,0.05,False,3.63,22.95,26.57,2
2026-01-21,2026-01-22 01:15:00,2026-01-22 06:00:00,US100,BUY,loss,-1.024,6.11,5.4,20.32,0.0679,0.06,False,-5.53,26.57,21.04,1
2026-01-22,2026-01-23 00:30:00,2026-01-23 07:00:00,US100,BUY,timeout,0.662,4.84,4.5,21.38,0.0538,0.05,False,2.98,21.04,24.02,1
2026-01-27,2026-01-28 00:30:00,2026-01-28 06:00:00,US100,BUY,win,1.0871,5.53,5.4,22.48,0.0614,0.06,False,5.87,24.02,29.89,2
2026-01-28,2026-01-29 01:15:00,2026-01-29 03:30:00,US100,SELL,loss,-1.024,6.88,6.3,21.07,0.0764,0.07,False,-6.45,29.89,23.44,1
2026-01-29,2026-01-30 00:30:00,2026-01-30 01:00:00,US100,BUY,loss,-1.024,5.39,4.5,19.2,0.0599,0.05,False,-4.61,23.44,18.83,1
2026-02-03,2026-02-04 00:45:00,2026-02-04 06:45:00,US100,SELL,loss,-1.024,4.33,3.6,19.11,0.0481,0.04,False,-3.69,18.83,15.15,1
2026-02-04,2026-02-05 00:30:00,2026-02-05 02:00:00,US100,BUY,loss,-1.024,3.48,2.7,17.82,0.0387,0.03,False,-2.76,15.15,12.38,1
2026-02-05,2026-02-06 00:30:00,2026-02-06 01:30:00,US100,BUY,win,1.0871,2.85,2.7,21.8,0.0316,0.03,False,2.94,12.38,15.32,1
2026-02-10,2026-02-11 00:30:00,2026-02-11 07:00:00,US100,BUY,timeout,-0.3581,3.52,2.7,17.63,0.0391,0.03,False,-0.97,15.32,14.35,1
2026-02-11,2026-02-12 00:30:00,2026-02-12 07:00:00,US100,BUY,timeout,0.8633,3.3,2.7,18.81,0.0367,0.03,False,2.33,14.35,16.68,1
2026-02-12,2026-02-13 00:30:00,2026-02-13 06:30:00,US100,SELL,win,1.0898,3.84,3.6,21.58,0.0426,0.04,False,3.92,16.68,20.61,1
2026-02-17,2026-02-18 02:00:00,2026-02-18 07:00:00,US100,BUY,timeout,0.6149,4.74,4.5,21.84,0.0527,0.05,False,2.77,20.61,23.37,1
2026-02-18,2026-02-19 01:00:00,2026-02-19 07:00:00,US100,BUY,timeout,0.5597,5.38,4.5,19.25,0.0597,0.05,False,2.52,23.37,25.89,1
2026-02-19,2026-02-20 00:30:00,2026-02-20 07:00:00,US100,BUY,timeout,0.5556,5.96,5.4,20.86,0.0662,0.06,False,3.0,25.89,28.89,2
2026-02-26,2026-02-27 00:30:00,2026-02-27 07:00:00,US100,SELL,timeout,-0.751,6.65,6.3,21.81,0.0738,0.07,False,-4.73,28.89,24.16,1
2026-03-03,2026-03-04 01:15:00,2026-03-04 03:15:00,US100,SELL,win,1.0898,5.56,5.4,22.35,0.0617,0.06,False,5.88,24.16,30.05,2
2026-03-04,2026-03-05 01:15:00,2026-03-05 01:45:00,US100,SELL,win,1.0871,6.91,6.3,20.97,0.0768,0.07,False,6.85,30.05,36.89,3
2026-03-05,2026-03-06 01:15:00,2026-03-06 07:00:00,US100,SELL,timeout,-0.4466,8.49,8.1,21.95,0.0943,0.09,False,-3.62,36.89,33.28,2
2026-03-10,2026-03-10 23:45:00,2026-03-11 01:30:00,US100,BUY,win,1.0898,7.65,7.2,21.64,0.085,0.08,False,7.85,33.28,41.12,3
2026-03-11,2026-03-11 23:30:00,2026-03-12 06:00:00,US100,SELL,timeout,0.4526,9.46,9.0,21.89,0.1051,0.1,False,4.07,41.12,45.2,4
2026-03-12,2026-03-12 23:30:00,2026-03-13 01:00:00,US100,SELL,loss,-1.024,10.4,9.9,21.9,0.1155,0.11,False,-10.14,45.2,35.06,3
2026-03-17,2026-03-18 00:00:00,2026-03-18 02:15:00,US100,BUY,win,1.0898,8.06,7.2,20.54,0.0896,0.08,False,7.85,35.06,42.91,3
2026-03-18,2026-03-18 23:30:00,2026-03-19 02:30:00,US100,BUY,win,1.0898,9.87,9.0,20.98,0.1096,0.1,False,9.81,42.91,52.71,4
2026-03-19,2026-03-19 23:30:00,2026-03-20 06:00:00,US100,SELL,timeout,0.2064,12.12,11.7,22.2,0.1347,0.13,False,2.41,52.71,55.13,4
2026-03-26,2026-03-26 23:30:00,2026-03-27 06:00:00,US100,BUY,timeout,0.5868,12.68,12.6,22.86,0.1409,0.14,False,7.39,55.13,62.52,5
2026-03-31,2026-03-31 23:30:00,2026-04-01 06:00:00,US100,BUY,timeout,1.0462,14.38,13.5,21.59,0.1598,0.15,False,14.12,62.52,76.65,6
2026-04-01,2026-04-01 23:45:00,2026-04-02 01:15:00,US100,SELL,win,1.0898,17.63,17.1,22.31,0.1959,0.19,False,18.64,76.65,95.28,6
2026-04-02,2026-04-02 23:30:00,2026-04-03 06:00:00,US100,BUY,timeout,-0.3902,21.91,21.6,22.67,0.2435,0.24,False,-8.43,95.28,86.85,6
2026-04-07,2026-04-08 00:00:00,2026-04-08 05:45:00,US100,BUY,win,1.0871,19.98,19.8,22.8,0.222,0.22,False,21.52,86.85,108.38,7
2026-04-08,2026-04-08 23:45:00,2026-04-09 06:00:00,US100,SELL,timeout,-0.1182,24.93,24.3,22.42,0.277,0.27,False,-2.87,108.38,105.51,7
2026-04-09,2026-04-09 23:30:00,2026-04-10 06:00:00,US100,BUY,timeout,0.3693,24.27,23.4,22.18,0.2696,0.26,False,8.64,105.51,114.15,7
2026-04-14,2026-04-14 23:30:00,2026-04-15 06:00:00,US100,BUY,timeout,-0.4907,26.25,26.1,22.87,0.2917,0.29,False,-12.81,114.15,101.34,7
2026-04-15,2026-04-15 23:30:00,2026-04-16 06:00:00,US100,BUY,timeout,0.9044,23.31,22.5,22.2,0.259,0.25,False,20.35,101.34,121.69,7
2026-04-16,2026-04-16 23:30:00,2026-04-17 06:00:00,US100,BUY,timeout,-0.1786,27.99,27.9,22.93,0.311,0.31,False,-4.98,121.69,116.71,7
