symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
US100,30,1.0,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 01:00:00,SELL,25455.57,25485.57,25425.57,25425.57,win,0.928,0.072,216.0,30.0,25478.17,25455.57,1.1787,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 01:30:00,BUY,25339.57,25309.57,25369.57,25369.57,win,0.928,0.072,216.0,30.0,25339.57,25305.86,1.037,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-06,2026-01-07 00:30:00,2026-01-07 04:00:00,SELL,25660.51,25690.51,25630.51,25630.51,win,0.928,0.072,216.0,30.0,25681.42,25660.51,1.494,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-07,2026-01-08 00:30:00,2026-01-08 02:30:00,BUY,25670.83,25640.83,25700.83,25640.83,loss,-1.072,0.072,216.0,-30.0,25670.83,25649.59,0.9807,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-08,2026-01-09 00:30:00,2026-01-09 01:00:00,BUY,25540.05,25510.05,25570.05,25510.05,loss,-1.072,0.072,216.0,-30.0,25540.05,25518.19,0.8234,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-13,2026-01-14 00:30:00,2026-01-14 01:45:00,BUY,25778.15,25748.15,25808.15,25748.15,loss,-1.072,0.072,216.0,-30.0,25778.15,25739.61,1.5567,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-15,2026-01-16 00:30:00,2026-01-16 02:00:00,BUY,25615.79,25585.79,25645.79,25645.79,win,0.928,0.072,216.0,30.0,25615.79,25593.75,0.7678,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-20,2026-01-21 00:30:00,2026-01-21 01:00:00,BUY,25034.87,25004.87,25064.87,25064.87,win,0.936,0.064,192.0,30.0,25034.87,24992.57,1.1979,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-21,2026-01-22 01:15:00,2026-01-22 05:30:00,BUY,25459.79,25429.79,25489.79,25429.79,loss,-1.072,0.072,216.0,-30.0,25459.79,25416.95,0.7656,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-22,2026-01-23 00:30:00,2026-01-23 01:00:00,BUY,25518.57,25488.57,25548.57,25548.57,win,0.928,0.072,216.0,30.0,25518.57,25477.89,1.1419,30.0,0.01,500.0,0.01,100
