symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
US30,H1,2026-01,2026-01-09 18:00:00,2026-01-11 23:00:00,BUY,49504.2,49467.79464,49722.63214,49467.79464,SL,-1.0522,0.0522,19.0,100,49492.7,49501.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-15.78,284.22
US30,H1,2026-01,2026-01-12 16:00:00,2026-01-12 18:00:00,SELL,49457.2,49525.21607,49049.10357,49525.21607,SL,-1.0279,0.0279,19.0,99,49492.7,49501.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-14.61,269.61
US30,H1,2026-01,2026-01-16 15:00:00,2026-01-18 23:00:00,BUY,49381.2,49225.04107,50318.15357,49225.04107,SL,-1.0122,0.0122,19.0,100,49242.1,49276.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-13.64,255.96
US30,H1,2026-01,2026-01-21 17:00:00,2026-01-27 21:00:00,BUY,48789.7,48643.3,49668.1,49010.7,TIME,1.4966,0.013,19.0,98,48677.4,48737.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,19.15,275.12
US30,H1,2026-01,2026-01-27 16:00:00,2026-01-29 11:00:00,SELL,49106.4,49187.42857,48620.22857,49187.42857,SL,-1.0234,0.0234,19.0,99,49152.7,49166.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-14.08,261.04
US30,H1,2026-01,2026-01-29 14:00:00,2026-02-02 15:00:00,SELL,48983.9,49342.59286,46831.74286,49342.59286,SL,-1.0059,0.0059,21.0,100,49318.1,49318.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-13.13,247.91
US30,H1,2026-02,2026-02-02 08:00:00,2026-02-02 09:00:00,SELL,48727.2,48769.99464,48470.43214,48769.99464,SL,-1.0491,0.0491,21.0,99,48728.8,48729.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-13.0,234.91
US30,H1,2026-02,2026-02-03 17:00:00,2026-02-03 18:00:00,BUY,49049.2,48995.87857,49369.12857,48995.87857,SL,-1.0356,0.0356,19.0,100,49023.5,49047.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-12.16,222.74
US30,H1,2026-02,2026-02-10 18:00:00,2026-02-11 15:00:00,BUY,50217.7,50157.90179,50576.48929,50157.90179,SL,-1.0351,0.0351,21.0,100,50188.3,50198.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-11.53,211.22
US30,H1,2026-02,2026-02-12 03:00:00,2026-02-12 10:00:00,SELL,50291.7,50351.92321,49930.36071,50351.92321,SL,-1.0349,0.0349,21.0,100,50285.8,50315.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-10.93,200.29
US30,H1,2026-02,2026-02-16 11:00:00,2026-02-16 14:00:00,BUY,49731.7,49649.975,50222.05,49649.975,SL,-1.0257,0.0257,21.0,98,49664.7,49708.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-10.27,190.01
US30,H1,2026-02,2026-02-18 14:00:00,2026-02-18 15:00:00,SELL,49772.5,49810.80357,49542.67857,49810.80357,SL,-1.0548,0.0548,21.0,100,49775.4,49786.7,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-10.02,179.99
US30,H1,2026-02,2026-02-19 15:00:00,2026-02-20 15:00:00,SELL,49542.9,49640.16607,48959.30357,49640.16607,SL,-1.0216,0.0216,21.0,100,49614.5,49616.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-9.19,170.8
US30,H1,2026-02,2026-02-26 15:00:00,2026-02-26 17:00:00,BUY,49586.2,49333.38214,51103.10714,49333.38214,SL,-1.0075,0.0075,19.0,97,49355.3,49372.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-8.6,162.2
US30,H1,2026-03,2026-03-04 12:00:00,2026-03-04 14:00:00,BUY,48510.9,48413.49464,49095.33214,48413.49464,SL,-1.0216,0.0216,21.0,98,48449.4,48478.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-8.28,153.91
US30,H1,2026-03,2026-03-16 14:00:00,2026-03-17 05:00:00,BUY,47090.7,46843.88393,48571.59643,46843.88393,SL,-1.0077,0.0077,19.0,100,46878.8,46890.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.75,146.16
US30,H1,2026-03,2026-03-17 14:00:00,2026-03-17 16:00:00,BUY,47250.1,47060.74107,48386.25357,47060.74107,SL,-1.0111,0.0111,21.0,100,47093.7,47109.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.39,138.77
US30,H1,2026-03,2026-03-26 20:00:00,2026-03-27 05:00:00,SELL,46074.2,46264.10357,44934.77857,46264.10357,SL,-1.01,0.01,19.0,98,46184.7,46208.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.01,131.76
