rr,symbol,timeframe,session,weekday,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
4,USDCAD,M30,Asia 19-02 NY,Mon,5,4,1,0,80.0,15.0,3.0,16.0,4,3,1,3.75,4.0,-1.0,75.0,114.0
6,AUDUSD,M30,Asia 19-02 NY,Tue,5,3,2,0,60.0,16.0,3.2,9.0,4,3,1,4.0,5.5,-1.0,75.0,83.0
4,GBPJPY,M15,Asia 19-02 NY,Tue,6,4,2,0,66.67,14.0,2.3333,8.0,5,4,1,2.8,4.0,-1.0,80.0,77.0
5,AUDUSD,M30,Asia 19-02 NY,Tue,5,3,2,0,60.0,13.0,2.6,7.5,4,3,1,3.25,4.5,-1.0,75.0,70.5
6,NZDUSD,M15,London pre-overlap 03-08 NY,Wed,5,2,2,1,40.0,13.04,2.6076,7.52,4,3,1,3.26,4.02,-1.0,75.0,69.68
1,USDCAD,M15,Asia 19-02 NY,Tue,7,7,0,0,100.0,7.0,1.0,7.0,6,6,0,1.17,1.0,1.0,100.0,69.0
5,GBPJPY,M15,London/NY overlap 08-12 NY,Tue,6,2,2,2,33.33,12.63,2.1053,7.32,5,3,2,2.53,4.31,-1.0,60.0,68.85
2,AUDUSD,M30,Asia 19-02 NY,Tue,5,4,1,0,80.0,7.0,1.4,8.0,4,4,0,1.75,2.0,1.0,100.0,68.0
2,NZDUSD,M30,London pre-overlap 03-08 NY,Wed,5,4,1,0,80.0,7.0,1.4,8.0,4,4,0,1.75,2.0,1.0,100.0,68.0
6,GBPJPY,M15,London/NY overlap 08-12 NY,Tue,6,1,2,3,16.67,12.31,2.0522,7.16,5,3,2,2.46,3.68,-1.0,60.0,66.47
6,GBPJPY,M15,Asia 19-02 NY,Tue,6,3,3,0,50.0,15.0,2.5,6.0,5,3,2,3.0,5.0,-1.0,60.0,66.0
2,USDCAD,M30,London pre-overlap 03-08 NY,Thu,5,4,1,0,80.0,7.0,1.4,8.0,5,4,1,1.4,2.0,-1.0,80.0,66.0
5,NZDUSD,M15,London pre-overlap 03-08 NY,Wed,5,2,2,1,40.0,11.04,2.2076,6.52,4,3,1,2.76,3.52,-1.0,75.0,61.68
5,USDCAD,M30,Asia 19-02 NY,Mon,5,3,2,0,60.0,13.0,2.6,7.5,4,2,2,3.25,2.0,-1.0,50.0,61.5
6,USDCAD,M30,Asia 19-02 NY,Mon,5,2,2,1,40.0,12.64,2.5289,7.32,4,2,2,3.16,2.5,-1.0,50.0,61.24
5,XAUUSD,M15,London/NY overlap 08-12 NY,Tue,8,3,3,2,37.5,14.95,1.8687,5.98,5,4,1,2.99,1.18,-2.0,80.0,61.21
6,EURJPY,M30,Asia 19-02 NY,Mon,6,2,3,1,33.33,12.32,2.054,5.11,2,2,0,6.16,6.16,3.0,100.0,61.19
3,AUDUSD,M15,London/NY overlap 08-12 NY,Wed,6,4,2,0,66.67,10.0,1.6667,6.0,5,4,1,2.0,3.0,-1.0,80.0,61.0
3,GBPJPY,M15,Asia 19-02 NY,Tue,6,4,2,0,66.67,10.0,1.6667,6.0,5,4,1,2.0,3.0,-1.0,80.0,61.0
4,GBPJPY,M15,London/NY overlap 08-12 NY,Tue,6,3,2,1,50.0,10.32,1.7208,6.16,5,3,2,2.06,4.0,-1.0,60.0,60.12
4,EURGBP,H1,London pre-overlap 03-08 NY,Wed,5,2,1,2,40.0,8.38,1.6756,6.87,4,3,1,2.09,2.4,-0.43,75.0,59.1
5,EURJPY,M30,Asia 19-02 NY,Mon,6,3,3,0,50.0,12.0,2.0,5.0,2,2,0,6.0,6.0,2.0,100.0,59.0
4,USDCAD,M30,London pre-overlap 03-08 NY,Thu,5,3,2,0,60.0,10.0,2.0,6.0,5,3,2,2.0,4.0,-1.0,60.0,59.0
6,USDCAD,M30,London pre-overlap 03-08 NY,Thu,5,2,2,1,40.0,11.34,2.2673,6.67,5,3,2,2.27,1.34,-1.0,60.0,58.37
