session,range_minutes,rr,symbol,weekday,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
19:00-02:00 America/New_York,15,4,GBPUSD,Tue,47,17,23,7,36.17,56.32,1.1984,3.45,13,11,2,4.33,4.67,-3.0,84.62,123.91
19:00-02:00 America/New_York,15,6,AUDUSD,Tue,48,13,29,6,27.08,59.43,1.2382,3.04,13,10,3,4.57,4.0,-4.0,76.92,118.63
19:00-02:00 America/New_York,15,3,GBPUSD,Tue,47,22,21,4,46.81,49.91,1.062,3.38,13,11,1,3.84,4.0,-1.37,84.62,117.44
19:00-02:00 America/New_York,15,6,NZDUSD,Thu,47,11,27,9,23.4,57.59,1.2253,3.13,13,10,3,4.43,4.0,-4.0,76.92,117.24
09:30-16:00 America/New_York,15,4,NZDUSD,Thu,44,11,17,16,25.0,42.3,0.9614,3.35,13,11,2,3.25,3.13,-1.06,84.62,108.25
09:30-16:00 America/New_York,15,6,AUDUSD,Thu,45,5,17,23,11.11,43.82,0.9739,3.49,13,10,3,3.37,4.0,-1.76,76.92,107.51
09:30-16:00 America/New_York,15,5,NZDUSD,Thu,44,8,18,18,18.18,42.3,0.9615,3.22,13,10,3,3.25,4.13,-4.0,76.92,102.66
19:00-02:00 America/New_York,15,5,NZDUSD,Thu,47,11,27,9,23.4,46.59,0.9912,2.73,13,10,3,3.58,3.0,-4.0,76.92,102.24
08:00-12:00 America/New_York,15,6,USDCHF,Thu,43,7,25,11,16.28,47.07,1.0947,2.84,13,9,4,3.62,3.89,-3.0,69.23,102.05
19:00-02:00 America/New_York,15,5,AUDUSD,Tue,48,13,29,6,27.08,46.43,0.9673,2.59,13,10,3,3.57,3.0,-4.0,76.92,101.38
03:00-12:00 America/New_York,60,5,XAUUSD,Mon,52,4,24,24,7.69,40.3,0.7749,2.62,13,11,2,3.1,3.01,-4.0,84.62,99.42
19:00-02:00 America/New_York,15,5,GBPUSD,Tue,47,12,28,7,25.53,43.32,0.9218,2.55,13,9,4,3.33,4.89,-3.0,69.23,98.85
09:30-16:00 America/New_York,15,5,AUDUSD,Thu,45,6,17,22,13.33,38.47,0.8549,3.18,13,10,3,2.96,3.0,-1.76,76.92,98.61
09:30-16:00 America/New_York,15,4,AUDUSD,Thu,45,8,17,20,17.78,35.32,0.785,3.0,13,11,2,2.72,2.69,-1.76,84.62,97.94
08:00-12:00 America/New_York,30,5,XAGUSD,Fri,49,9,26,14,18.37,39.46,0.8053,2.47,13,10,3,3.04,2.7,-1.75,76.92,95.46
03:00-12:00 America/New_York,60,6,XAUUSD,Mon,52,0,24,28,0.0,37.11,0.7136,2.49,13,11,2,2.85,2.83,-4.0,84.62,95.22
03:00-12:00 America/New_York,60,4,XAUUSD,Mon,52,7,24,21,13.46,37.54,0.7219,2.51,13,11,2,2.89,2.4,-4.0,84.62,94.89
09:30-16:00 America/New_York,15,4,US30,Thu,48,7,19,22,14.58,30.99,0.6457,2.53,13,12,1,2.38,2.24,-1.33,92.31,94.79
03:00-12:00 America/New_York,15,6,XAGUSD,Mon,51,10,34,7,19.61,42.65,0.8364,2.25,13,9,4,3.28,3.0,-1.28,69.23,94.62
09:30-16:00 America/New_York,15,3,NZDUSD,Thu,44,15,17,12,34.09,34.88,0.7928,2.94,13,10,2,2.68,2.86,-1.06,76.92,94.24
08:00-12:00 America/New_York,30,6,XAGUSD,Fri,49,4,26,19,8.16,38.35,0.7827,2.43,13,10,3,2.95,2.7,-1.75,76.92,94.15
03:00-12:00 America/New_York,15,5,XAGUSD,Mon,51,12,34,5,23.53,36.35,0.7128,2.07,13,11,2,2.8,2.0,-1.0,84.62,93.7
19:00-02:00 America/New_York,15,3,AUDUSD,Tue,48,21,25,2,43.75,38.06,0.793,2.52,13,10,3,2.93,3.0,-3.0,76.92,93.66
