session,range_minutes,rr,symbol,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
19:00-02:00 America/New_York,15,6,AUDUSD,238,43,165,30,18.07,147.89,0.6214,1.89,13,13,0,11.38,11.25,1.0,100.0,232.84
19:00-02:00 America/New_York,15,5,AUDUSD,238,51,162,25,21.43,128.25,0.5389,1.78,13,12,1,9.87,8.95,-2.0,92.31,201.05
19:00-02:00 America/New_York,15,4,AUDUSD,238,63,157,18,26.47,110.15,0.4628,1.69,13,11,1,8.47,7.69,-2.76,84.62,175.22
19:00-02:00 America/New_York,15,3,AUDUSD,238,79,148,11,33.19,92.98,0.3907,1.62,13,11,1,7.15,8.75,-5.76,84.62,156.82
19:00-02:00 America/New_York,15,3,NZDUSD,241,72,147,22,29.88,95.21,0.3951,1.65,13,10,3,7.32,8.96,-5.14,76.92,156.24
19:00-02:00 America/New_York,15,6,USDCAD,233,30,160,43,12.88,89.85,0.3856,1.55,13,10,3,6.91,10.63,-13.57,76.92,145.29
19:00-02:00 America/New_York,15,5,NZDUSD,241,43,169,29,17.84,88.96,0.3691,1.52,13,10,3,6.84,9.0,-10.26,76.92,144.3
19:00-02:00 America/New_York,30,2,AUDUSD,246,100,131,15,40.65,75.3,0.3061,1.57,13,11,2,5.79,5.75,-3.0,84.62,135.65
03:00-12:00 America/New_York,15,4,BTCUSD,327,76,233,18,23.24,87.92,0.2689,1.38,13,8,5,6.76,7.0,-5.65,61.54,135.17
19:00-02:00 America/New_York,15,2,NZDUSD,241,100,133,8,41.49,74.46,0.309,1.56,13,11,2,5.73,7.0,-6.64,84.62,133.62
19:00-02:00 America/New_York,15,3,GBPUSD,234,73,148,13,31.2,80.89,0.3457,1.54,13,10,3,6.22,8.0,-11.47,76.92,133.12
09:30-16:00 America/New_York,15,6,BTCUSD,337,21,199,117,6.23,82.8,0.2457,1.4,13,9,4,6.37,4.92,-4.15,69.23,131.49
19:00-02:00 America/New_York,15,3,USDCHF,236,71,149,16,30.08,79.63,0.3374,1.53,13,9,4,6.13,8.0,-11.0,69.23,128.28
08:00-12:00 America/New_York,30,5,USDCHF,236,12,129,95,5.08,71.87,0.3045,1.53,13,11,2,5.53,3.91,-3.12,84.62,128.22
08:00-12:00 America/New_York,30,6,USDCAD,230,12,126,92,5.22,74.82,0.3253,1.58,13,10,3,5.76,4.07,-2.65,76.92,128.21
08:00-12:00 America/New_York,30,5,GBPUSD,227,15,119,93,6.61,69.62,0.3067,1.56,13,12,1,5.36,3.82,-5.0,92.31,128.06
19:00-02:00 America/New_York,30,6,EURJPY,248,17,152,79,6.85,71.34,0.2877,1.46,13,12,1,5.49,3.89,-6.59,92.31,127.83
03:00-12:00 America/New_York,15,5,BTCUSD,327,61,244,22,18.65,90.38,0.2764,1.37,13,7,5,6.95,5.03,-7.65,53.85,127.64
03:00-12:00 America/New_York,30,5,XAGUSD,255,34,171,50,13.33,74.52,0.2923,1.43,13,10,3,5.73,4.25,-4.9,76.92,125.27
19:00-02:00 America/New_York,15,4,NZDUSD,241,51,164,26,21.16,73.8,0.3062,1.45,13,9,4,5.68,7.4,-7.14,69.23,124.71
08:00-12:00 America/New_York,30,6,GBPUSD,227,8,119,100,3.52,69.65,0.3068,1.56,13,11,2,5.36,3.97,-5.0,84.62,124.39
08:00-12:00 America/New_York,30,6,USDCHF,236,6,129,101,2.54,65.45,0.2773,1.49,13,11,2,5.03,4.86,-3.12,84.62,123.5
19:00-02:00 America/New_York,15,6,USDJPY,239,25,163,51,10.46,69.86,0.2923,1.42,13,11,2,5.37,6.77,-11.56,84.62,122.94
19:00-02:00 America/New_York,15,5,USDCAD,233,36,158,39,15.45,75.06,0.3222,1.47,13,10,3,5.77,6.92,-13.57,76.92,122.68
19:00-02:00 America/New_York,15,5,GBPUSD,234,39,167,28,16.67,70.32,0.3005,1.42,13,10,3,5.41,6.38,-7.5,76.92,122.68
08:00-12:00 America/New_York,30,3,USDCHF,236,45,126,65,19.07,66.4,0.2814,1.5,13,11,2,5.11,3.93,-3.12,84.62,122.64
19:00-02:00 America/New_York,15,5,USDJPY,239,35,160,44,14.64,71.37,0.2986,1.43,13,10,3,5.49,7.53,-11.56,76.92,122.02
03:00-12:00 America/New_York,30,2,BTCUSD,358,133,207,18,37.15,66.67,0.1862,1.32,13,10,2,5.13,6.0,-4.95,76.92,120.32
19:00-02:00 America/New_York,15,6,NZDUSD,241,34,174,33,14.11,86.97,0.3609,1.5,13,8,4,6.69,1.82,-10.14,61.54,119.97
19:00-02:00 America/New_York,30,3,AUDUSD,246,65,151,30,26.42,67.44,0.2741,1.44,13,10,3,5.19,5.28,-5.31,76.92,119.89
19:00-02:00 America/New_York,30,2,EURJPY,248,84,126,38,33.87,61.32,0.2473,1.48,13,11,2,4.72,4.8,-3.49,84.62,118.83
08:00-12:00 America/New_York,30,4,USDCAD,230,29,125,76,12.61,70.37,0.306,1.55,13,10,2,5.41,2.07,-3.66,76.92,118.6
08:00-12:00 America/New_York,30,4,GBPUSD,227,21,118,88,9.25,63.55,0.2799,1.51,13,11,2,4.89,4.15,-5.0,84.62,118.4
08:00-12:00 America/New_York,30,4,USDCHF,236,22,129,85,9.32,64.95,0.2752,1.48,13,10,3,5.0,4.4,-3.12,76.92,118.03
19:00-02:00 America/New_York,15,6,XAGUSD,229,30,173,26,13.1,61.01,0.2664,1.35,13,11,2,4.69,4.31,-2.73,84.62,117.65
09:30-16:00 America/New_York,30,1,USDCHF,241,133,79,29,55.19,53.44,0.2217,1.63,13,12,1,4.11,4.31,-1.0,92.31,117.21
19:00-02:00 America/New_York,15,4,GBPUSD,234,51,161,22,21.79,67.74,0.2895,1.42,13,10,3,5.21,5.7,-9.47,76.92,116.77
03:00-12:00 America/New_York,15,6,XAGUSD,245,33,183,29,13.47,72.0,0.2939,1.39,13,9,3,5.54,5.61,-9.7,69.23,116.47
19:00-02:00 America/New_York,15,2,USDCAD,233,95,126,12,40.77,68.34,0.2933,1.54,13,10,3,5.26,3.63,-7.06,76.92,116.24
19:00-02:00 America/New_York,15,3,EURUSD,241,65,152,24,26.97,59.63,0.2474,1.39,13,11,2,4.59,3.04,-1.03,84.62,115.63
08:00-12:00 America/New_York,30,5,USDCAD,230,16,126,88,6.96,65.1,0.2831,1.51,13,10,3,5.01,3.07,-3.43,76.92,115.36
09:30-16:00 America/New_York,15,5,BTCUSD,337,29,199,109,8.61,69.09,0.205,1.34,13,9,4,5.31,3.81,-4.15,69.23,115.26
19:00-02:00 America/New_York,30,5,EURJPY,248,26,151,71,10.48,65.65,0.2647,1.43,13,11,2,5.05,2.28,-6.59,84.62,114.77
08:00-12:00 America/New_York,30,1,USDCAD,230,137,82,11,59.57,57.58,0.2503,1.7,13,10,3,4.43,5.0,-1.65,76.92,114.43
03:00-12:00 America/New_York,15,5,XAGUSD,245,40,179,26,16.33,66.17,0.2701,1.37,13,10,3,5.09,5.66,-10.7,76.92,113.64
19:00-02:00 America/New_York,15,4,USDCAD,233,47,153,33,20.17,70.78,0.3038,1.46,13,9,4,5.44,6.56,-13.57,69.23,113.63
08:00-12:00 America/New_York,30,3,AUDUSD,236,48,129,59,20.34,57.34,0.243,1.42,13,11,2,4.41,3.18,-1.79,84.62,113.01
19:00-02:00 America/New_York,30,5,AUDUSD,246,35,166,45,14.23,64.5,0.2622,1.38,13,10,3,4.96,3.89,-7.0,76.92,112.18
08:00-12:00 America/New_York,30,2,USDCAD,230,75,113,42,32.61,60.89,0.2647,1.53,13,11,2,4.68,2.23,-5.21,84.62,111.79
19:00-02:00 America/New_York,30,2,USDCAD,247,91,131,25,36.84,59.7,0.2417,1.45,13,10,3,4.59,4.84,-4.92,76.92,111.71
03:00-12:00 America/New_York,30,6,XAGUSD,255,24,173,58,9.41,66.14,0.2594,1.38,13,9,4,5.09,4.79,-7.5,69.23,111.12
09:30-16:00 America/New_York,15,6,XAGUSD,239,9,123,107,3.77,65.96,0.276,1.51,13,9,4,5.07,3.7,-5.82,69.23,111.09
19:00-02:00 America/New_York,30,6,AUDUSD,246,24,167,55,9.76,66.92,0.272,1.39,13,9,4,5.15,3.69,-7.18,69.23,110.07
03:00-12:00 America/New_York,15,6,USDCAD,244,30,185,29,12.3,68.63,0.2813,1.37,13,10,2,5.28,2.7,-11.33,76.92,109.55
19:00-02:00 America/New_York,60,2,XAGUSD,241,76,120,45,31.54,56.95,0.2363,1.46,13,10,3,4.38,4.73,-5.0,76.92,108.71
19:00-02:00 America/New_York,60,3,EURJPY,240,35,106,99,14.58,57.69,0.2404,1.5,13,10,3,4.44,3.98,-4.76,76.92,108.39
08:00-12:00 America/New_York,30,4,AUDUSD,236,29,130,77,12.29,62.54,0.265,1.46,13,9,4,4.81,3.13,-3.81,69.23,108.29
03:00-12:00 America/New_York,15,4,EURJPY,241,45,158,38,18.67,69.75,0.2894,1.43,13,9,4,5.37,3.1,-11.05,69.23,108.05
03:00-12:00 America/New_York,15,6,EURJPY,241,19,159,63,7.88,75.59,0.3136,1.47,13,8,5,5.81,2.55,-12.37,61.54,107.67
19:00-02:00 America/New_York,15,4,USDCHF,236,48,164,24,20.34,60.94,0.2582,1.37,13,9,4,4.69,5.88,-8.0,69.23,107.55
03:00-12:00 America/New_York,15,6,BTCUSD,327,49,254,24,14.98,75.61,0.2312,1.3,13,7,6,5.82,3.0,-9.06,53.85,107.05
08:00-12:00 America/New_York,30,3,USDCAD,230,47,124,59,20.43,62.08,0.2699,1.49,13,9,4,4.78,3.52,-5.66,69.23,106.91
09:30-16:00 America/New_York,15,5,XAGUSD,239,15,123,101,6.28,60.94,0.255,1.47,13,9,4,4.69,3.88,-5.27,69.23,106.78
19:00-02:00 America/New_York,15,2,GBPUSD,234,95,132,7,40.6,60.74,0.2596,1.46,13,10,3,4.67,6.0,-13.47,76.92,106.57
19:00-02:00 America/New_York,30,4,XAGUSD,252,46,167,39,18.25,64.84,0.2573,1.38,13,9,4,4.99,2.67,-6.57,69.23,106.51
19:00-02:00 America/New_York,15,6,USDCHF,236,28,172,36,11.86,65.82,0.2789,1.38,13,8,5,5.06,5.36,-9.0,61.54,106.44
09:30-16:00 America/New_York,15,4,US30,246,10,101,135,4.07,51.01,0.2074,1.47,13,11,2,3.92,2.59,-1.67,84.62,105.87
19:00-02:00 America/New_York,15,1,NZDUSD,241,146,95,0,60.58,51.0,0.2116,1.54,13,11,2,3.92,5.0,-7.0,84.62,105.7
19:00-02:00 America/New_York,60,4,XAGUSD,241,37,138,66,15.35,64.93,0.2694,1.46,13,9,4,4.99,3.53,-9.68,69.23,105.61
03:00-12:00 America/New_York,15,3,BTCUSD,327,90,220,17,27.52,63.49,0.1942,1.29,13,8,5,4.88,6.4,-9.65,61.54,105.09
08:00-12:00 America/New_York,30,2,GBPUSD,227,73,111,43,32.16,47.56,0.2095,1.41,13,12,1,3.66,3.61,-5.0,92.31,104.83
03:00-12:00 America/New_York,15,5,USDCAD,244,41,183,20,16.8,65.98,0.2704,1.36,13,9,4,5.08,4.0,-12.33,69.23,104.45
03:00-12:00 America/New_York,30,1,BTCUSD,358,202,150,6,56.42,51.73,0.1445,1.34,13,11,2,3.98,4.0,-6.0,84.62,104.43
19:00-02:00 America/New_York,15,5,USDCHF,236,37,169,30,15.68,61.72,0.2615,1.36,13,8,5,4.75,4.47,-5.62,61.54,103.84
08:00-12:00 America/New_York,15,2,GBPUSD,227,92,129,6,40.53,56.53,0.249,1.43,13,9,2,4.35,5.0,-6.0,69.23,103.68
19:00-02:00 America/New_York,30,5,USDJPY,249,24,150,75,9.64,60.89,0.2446,1.39,13,9,4,4.68,5.67,-11.57,69.23,103.61
03:00-12:00 America/New_York,15,5,EURJPY,241,29,158,54,12.03,71.59,0.2971,1.44,13,8,5,5.51,2.73,-12.71,61.54,103.54
08:00-12:00 America/New_York,15,6,USDCHF,231,18,161,52,7.79,55.97,0.2423,1.34,13,10,3,4.31,1.82,-2.92,76.92,103.39
08:00-12:00 America/New_York,30,4,NZDUSD,234,28,131,75,11.97,53.36,0.228,1.39,13,10,3,4.1,4.6,-6.82,76.92,102.69
19:00-02:00 America/New_York,15,5,XAGUSD,229,38,170,21,16.59,52.88,0.2309,1.31,13,10,3,4.07,2.97,-2.73,76.92,102.64
