policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-19 00:00:00,2026-05-19 02:15:00,BUY,1.37423,1.373807,4.0,1.374653,trail_stop,1.0,92,0.000192,0.0417,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,300.0,15.0,15.0,315.0
dynamic_capped,LTA,GBPJPY,M15,2026-05,2026-05-19 00:45:00,2026-05-19 05:30:00,SELL,213.375,213.48219,4.0,213.16062,trail_stop,1.5,94,0.074571,0.5,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,315.0,15.75,23.62,338.62
dynamic_capped,ORB,AUDUSD,M15,2026-05,2026-05-19 23:15:00,2026-05-19 23:45:00,BUY,0.71082,0.710642,5.0,0.710998,trail_stop,1.0,100,0.00021,0.5,0.5714,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,338.62,16.93,16.93,355.56
dynamic_capped,LTA,AUDUSD,M15,2026-05,2026-05-20 00:00:00,2026-05-20 01:45:00,SELL,0.70968,0.710565,4.0,0.70968,trail_stop,0.5,90,0.000246,0.0729,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,355.56,17.78,8.89,364.45
dynamic_capped,LTA,USDCAD,M30,2026-05,2026-05-20 00:00:00,2026-05-20 11:00:00,BUY,1.37535,1.374366,4.0,1.376334,trail_stop,1.0,93,0.000447,0.1042,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,364.45,18.22,18.22,382.67
dynamic_capped,ORB,AUDUSD,M15,2026-05,2026-05-20 23:15:00,2026-05-20 23:45:00,SELL,0.71501,0.715233,5.0,0.715233,loss,-1.0,100,0.000263,0.0312,0.7609,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,382.67,19.13,-19.13,363.53
dynamic_capped,LTA,AUDUSD,M15,2026-05,2026-05-21 01:30:00,2026-05-21 04:00:00,SELL,0.71346,0.714697,4.0,0.712222,trail_stop,1.0,94,0.000454,0.25,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,363.53,18.18,18.18,381.71
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-21 05:15:00,2026-05-21 06:15:00,BUY,1.37656,1.376,5.0,1.376,loss,-1.0,100,0.00028,0.1354,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,381.71,19.09,-19.09,362.63
dynamic_capped,ORB,AUDUSD,M15,2026-05,2026-05-21 23:15:00,2026-05-21 23:30:00,SELL,0.715,0.715257,5.0,0.715,trail_stop,0.5,100,0.000303,0.0208,0.5283,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,362.63,18.13,9.07,371.69
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-22 00:45:00,2026-05-22 01:00:00,SELL,1.3783,1.37879,4.0,1.37879,loss,-1.0,92,0.000276,0.2188,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,371.69,18.58,-18.58,353.11
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-22 05:15:00,2026-05-22 05:45:00,BUY,1.37892,1.37868,5.0,1.37868,loss,-1.0,100,0.000243,0.0417,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,353.11,17.66,-17.66,335.45
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-22 06:00:00,2026-05-22 08:15:00,BUY,1.37927,1.378594,5.0,1.378594,loss,-1.0,100,0.000307,0.3125,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,335.45,16.77,-16.77,318.68
dynamic_capped,ORB,GBPUSD,M15,2026-05,2026-05-24 23:15:00,2026-05-25 00:45:00,SELL,1.34836,1.348963,5.0,1.34836,trail_stop,0.5,100,0.00071,0.6667,0.6056,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,318.68,15.93,7.97,326.65
dynamic_capped,ORB,NZDUSD,M15,2026-05,2026-05-24 23:15:00,2026-05-25 00:15:00,SELL,0.58768,0.587985,4.0,0.587375,trail_stop,1.0,100,0.000359,0.5833,0.7515,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,326.65,16.33,16.33,342.98
dynamic_capped,ORB,USDCAD,M15,2026-05,2026-05-24 23:15:00,2026-05-25 00:00:00,SELL,1.37987,1.380509,3.0,1.380509,loss,-1.0,95,0.000581,0.8229,0.4477,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,342.98,17.15,-17.15,325.83
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-25 00:00:00,2026-05-25 01:15:00,BUY,1.38043,1.37969,3.0,1.37969,loss,-1.0,92,0.000555,0.8229,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,325.83,16.29,-16.29,309.54
dynamic_capped,LTA,GBPJPY,M30,2026-05,2026-05-25 04:30:00,2026-05-25 21:00:00,BUY,214.179,214.02405,4.0,214.4889,trail_stop,1.5,95,0.113,0.2812,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,309.54,15.48,23.22,332.75
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-25 04:30:00,2026-05-25 05:30:00,SELL,1.38072,1.38103,4.0,1.38072,trail_stop,0.5,91,0.000269,0.0208,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,332.75,16.64,8.32,341.07
dynamic_capped,LTA,USDCAD,M30,2026-05,2026-05-26 06:00:00,2026-05-26 09:00:00,SELL,1.38096,1.3815,5.0,1.38042,trail_stop,1.0,96,0.000335,0.1667,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,341.07,17.05,17.05,358.13
dynamic_capped,ORB,AUDUSD,M15,2026-05,2026-05-26 23:15:00,2026-05-26 23:45:00,BUY,0.71683,0.716705,5.0,0.71708,trail_stop,1.5,100,0.000147,0.0104,0.8155,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,358.13,17.91,26.86,384.98
dynamic_capped,ORB,GBPUSD,M15,2026-05,2026-05-26 23:15:00,2026-05-27 00:00:00,BUY,1.34508,1.344822,5.0,1.345596,trail_stop,1.5,100,0.000304,0.0104,0.5271,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,384.98,19.25,28.87,413.86
dynamic_capped,LTA,AUDUSD,M30,2026-05,2026-05-27 01:30:00,2026-05-27 12:00:00,SELL,0.71558,0.7169,4.0,0.71426,trail_stop,1.0,91,0.000458,0.3542,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,413.86,20.69,20.69,434.55
dynamic_capped,LTA,GBPJPY,M15,2026-05,2026-05-27 03:00:00,2026-05-27 06:00:00,BUY,214.205,214.14754,5.0,214.26246,trail_stop,1.0,96,0.063071,0.3021,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 2 - Internal Swing Confirmation,434.55,21.73,21.73,456.28
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-27 04:30:00,2026-05-27 05:45:00,SELL,1.38094,1.38122,5.0,1.38122,loss,-1.0,98,0.000219,0.0833,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 2 - Internal Swing Confirmation,456.28,22.81,-22.81,433.46
dynamic_capped,LTA,GBPJPY,M15,2026-05,2026-05-28 04:30:00,2026-05-28 07:15:00,BUY,213.45,213.30888,4.0,213.73224,trail_stop,1.5,94,0.0875,0.6667,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,433.46,21.67,32.51,465.97
dynamic_capped,ORB,AUDUSD,M15,2026-05,2026-05-28 23:15:00,2026-05-29 00:00:00,SELL,0.71623,0.71646,4.0,0.71646,loss,-1.0,100,0.00023,0.5,1.1882,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,465.97,23.3,-23.3,442.68
dynamic_capped,ORB,GBPUSD,M15,2026-05,2026-05-28 23:45:00,2026-05-29 00:30:00,BUY,1.34451,1.3441,3.0,1.3441,loss,-1.0,100,0.00041,0.5,1.3732,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,442.68,22.13,-22.13,420.54
dynamic_capped,LTA,USDCAD,M15,2026-05,2026-05-29 00:00:00,2026-05-29 00:45:00,SELL,1.37806,1.37838,4.0,1.37838,loss,-1.0,92,0.000154,0.5,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,420.54,21.03,-21.03,399.51
