policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_aggressive,LTA,GBPJPY,M15,2026-01,2026-01-20 00:15:00,2026-01-20 01:15:00,SELL,212.143,212.35047,5.0,212.143,trail_stop,0.5,91,0.103143,0.5417,,"max(structure,0.8ATR)",aggressive,Entry Model 3 - Confirmation of Internal Structure,300.0,15.0,7.5,307.5
dynamic_aggressive,ORB,AUDUSD,M15,2026-01,2026-01-20 00:15:00,2026-01-20 00:30:00,SELL,0.67087,0.67105,6.0,0.67087,trail_stop,0.5,100,0.000196,0.2083,0.9197,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,307.5,15.38,7.69,315.19
dynamic_aggressive,ORB,GBPUSD,M15,2026-01,2026-01-20 00:15:00,2026-01-20 01:00:00,SELL,1.34145,1.34199,4.0,1.34199,loss,-1.0,100,0.00054,0.1771,1.7221,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,315.19,15.76,-15.76,299.43
dynamic_aggressive,LTA,AUDUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 02:15:00,BUY,0.67322,0.6729,5.0,0.67386,trail_stop,1.5,91,0.000239,0.0104,,"max(structure,0.8ATR)",aggressive,Entry Model 1 - Double Wick Confirmation,299.43,14.97,22.46,321.89
dynamic_aggressive,ORB,GBPUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 00:45:00,SELL,1.3434,1.34398,4.0,1.34398,loss,-1.0,100,0.00058,0.0208,1.5467,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,321.89,16.09,-16.09,305.79
dynamic_aggressive,ORB,NZDUSD,M15,2026-01,2026-01-21 00:15:00,2026-01-21 01:15:00,SELL,0.58235,0.58275,4.0,0.58275,loss,-1.0,100,0.0004,0.0625,1.3965,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,305.79,15.29,-15.29,290.5
dynamic_aggressive,LTA,GBPJPY,M15,2026-01,2026-01-22 00:15:00,2026-01-22 01:45:00,SELL,212.433,212.66986,5.0,212.66986,loss,-1.0,92,0.119071,0.4167,,"max(structure,0.8ATR)",aggressive,Entry Model 3 - Confirmation of Internal Structure,290.5,14.53,-14.53,275.98
dynamic_aggressive,ORB,AUDUSD,M15,2026-01,2026-01-22 00:15:00,2026-01-22 00:30:00,BUY,0.67596,0.67535,4.0,0.6784,win,4.0,95,0.00061,0.0625,2.5957,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,275.98,13.8,55.2,331.17
dynamic_aggressive,ORB,GBPUSD,M15,2026-01,2026-01-22 00:15:00,2026-01-22 02:15:00,BUY,1.34213,1.34164,6.0,1.34262,trail_stop,1.0,100,0.000508,0.1146,0.9648,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,331.17,16.56,16.56,347.73
dynamic_aggressive,ORB,AUDUSD,M15,2026-01,2026-01-23 00:15:00,2026-01-23 01:30:00,BUY,0.68409,0.68386,6.0,0.68501,trail_stop,2.5,100,0.00023,0.0521,1.3036,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,347.73,17.39,43.47,391.2
dynamic_aggressive,ORB,USDCAD,M15,2026-01,2026-01-23 00:15:00,2026-01-23 01:15:00,BUY,1.37903,1.3784,4.0,1.3784,loss,-1.0,95,0.00063,0.0729,2.5418,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,391.2,19.56,-19.56,371.64
dynamic_aggressive,ORB,USDCHF,M15,2026-01,2026-01-23 00:15:00,2026-01-23 00:30:00,BUY,0.78946,0.78905,4.0,0.78905,loss,-1.0,100,0.00041,0.0312,1.6833,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,371.64,18.58,-18.58,353.05
dynamic_aggressive,ORB,GBPUSD,M15,2026-01,2026-01-26 00:15:00,2026-01-26 00:45:00,SELL,1.36459,1.36642,4.0,1.36642,loss,-1.0,100,0.00183,0.8125,1.6164,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,353.05,17.65,-17.65,335.4
