policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_balanced,LTA,GBPJPY,M30,2025-06,2025-06-25 00:00:00,2025-06-26 01:00:00,BUY,197.343,197.01126,4.0,198.00648,trail_stop,1.4337,92,0.164929,0.0663,22.0,0.0833,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,300.0,15.0,21.51,321.51
dynamic_balanced,LTA,USDCAD,M30,2025-06,2025-06-25 06:00:00,2025-06-25 07:00:00,SELL,1.3726,1.37355,5.0,1.37355,loss,-1.1579,96,0.000536,0.1579,15.0,0.0417,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,321.51,16.08,-18.61,302.89
dynamic_balanced,ORB,AUDUSD,M15,2025-06,2025-06-25 23:15:00,2025-06-26 01:15:00,BUY,0.65185,0.651088,3.0,0.651088,loss,-1.118,100,0.00061,0.118,9.0,0.2188,1.7755,"max(structure,1.25ATR)",balanced,ORB 15m breakout,302.89,15.14,-16.93,285.96
dynamic_balanced,ORB,NZDUSD,M15,2025-06,2025-06-25 23:15:00,2025-06-26 01:00:00,BUY,0.60482,0.603845,3.0,0.603845,loss,-1.1744,95,0.00078,0.1744,17.0,0.2292,2.224,"max(structure,1.25ATR)",balanced,ORB 15m breakout,285.96,14.3,-16.79,269.17
dynamic_balanced,ORB,USDCAD,M15,2025-06,2025-06-25 23:15:00,2025-06-26 01:00:00,SELL,1.37157,1.372308,3.0,1.37157,trail_stop,0.2966,100,0.00059,0.2034,15.0,0.1354,1.5353,"max(structure,1.25ATR)",balanced,ORB 15m breakout,269.17,13.46,3.99,273.16
dynamic_balanced,LTA,GBPJPY,M30,2025-06,2025-06-26 04:30:00,2025-06-26 10:00:00,SELL,198.352,198.6176,4.0,198.0864,trail_stop,0.9172,93,0.170643,0.0828,22.0,0.3438,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,273.16,13.66,12.53,285.69
dynamic_balanced,LTA,USDCAD,M15,2025-06,2025-06-26 04:30:00,2025-06-26 07:30:00,SELL,1.37173,1.3723,4.0,1.37059,trail_stop,1.2368,98,0.00053,0.2632,15.0,0.6146,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation,285.69,14.28,17.67,303.35
dynamic_balanced,ORB,AUDUSD,M15,2025-06,2025-06-26 23:15:00,2025-06-27 01:00:00,BUY,0.65476,0.65446,4.0,0.65506,trail_stop,0.7,100,0.0003,0.3,9.0,0.5,1.05,"max(structure,0.80ATR)",balanced,ORB 15m breakout,303.35,15.17,10.62,313.97
dynamic_balanced,ORB,GBPUSD,M15,2025-06,2025-06-26 23:15:00,2025-06-27 01:00:00,BUY,1.37254,1.37193,4.0,1.37254,trail_stop,0.3361,100,0.00061,0.1639,10.0,0.5,1.22,"max(structure,0.80ATR)",balanced,ORB 15m breakout,313.97,15.7,5.28,319.25
dynamic_balanced,ORB,NZDUSD,M15,2025-06,2025-06-26 23:15:00,2025-06-26 23:45:00,BUY,0.60578,0.605517,5.0,0.60578,trail_stop,-0.1452,100,0.000376,0.6452,17.0,0.0208,0.6907,"max(structure,0.70ATR)",balanced,ORB 15m breakout,319.25,15.96,-2.32,316.93
