policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_score,LTA,GBPJPY,M30,2025-06,2025-06-25 00:00:00,2025-06-25 11:00:00,BUY,197.343,197.01126,3.0,198.33822,win,1.9337,92,0.164929,0.0663,22.0,0.0833,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,300.0,15.0,29.01,329.01
dynamic_score,LTA,USDCAD,M30,2025-06,2025-06-25 06:00:00,2025-06-25 07:00:00,SELL,1.3726,1.37355,5.0,1.37355,loss,-1.1579,96,0.000536,0.1579,15.0,0.0417,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,329.01,16.45,-19.05,309.96
dynamic_score,ORB,AUDUSD,M15,2025-06,2025-06-25 23:15:00,2025-06-26 01:15:00,BUY,0.65185,0.651088,5.0,0.651088,loss,-1.118,100,0.00061,0.118,9.0,0.2188,1.7755,"max(structure,1.25ATR)",score,ORB 15m breakout,309.96,15.5,-17.33,292.63
dynamic_score,ORB,NZDUSD,M15,2025-06,2025-06-25 23:15:00,2025-06-26 01:00:00,BUY,0.60482,0.603845,4.0,0.603845,loss,-1.1744,95,0.00078,0.1744,17.0,0.2292,2.224,"max(structure,1.25ATR)",score,ORB 15m breakout,292.63,14.63,-17.18,275.45
dynamic_score,ORB,USDCAD,M15,2025-06,2025-06-25 23:15:00,2025-06-26 01:00:00,SELL,1.37157,1.372308,5.0,1.37157,trail_stop,0.2966,100,0.00059,0.2034,15.0,0.1354,1.5353,"max(structure,1.25ATR)",score,ORB 15m breakout,275.45,13.77,4.08,279.53
dynamic_score,LTA,GBPJPY,M15,2025-06,2025-06-26 00:15:00,2025-06-26 01:30:00,SELL,198.27,198.48586,6.0,198.27,trail_stop,0.3981,98,0.112429,0.1019,22.0,0.3438,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,279.53,13.98,5.56,285.1
dynamic_score,LTA,GBPJPY,M30,2025-06,2025-06-26 04:30:00,2025-06-26 10:00:00,SELL,198.352,198.6176,3.0,198.0864,trail_stop,0.9172,93,0.170643,0.0828,22.0,0.3438,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,285.1,14.25,13.07,298.17
dynamic_score,LTA,USDCAD,M15,2025-06,2025-06-26 04:30:00,2025-06-26 07:30:00,SELL,1.37173,1.3723,6.0,1.37059,trail_stop,1.2368,98,0.00053,0.2632,15.0,0.6146,,"max(structure,1.00ATR)",score,Entry Model 1 - Double Wick Confirmation,298.17,14.91,18.44,316.61
dynamic_score,ORB,AUDUSD,M15,2025-06,2025-06-26 23:15:00,2025-06-27 01:00:00,BUY,0.65476,0.65446,6.0,0.65506,trail_stop,0.7,100,0.0003,0.3,9.0,0.5,1.05,"max(structure,0.80ATR)",score,ORB 15m breakout,316.61,15.83,11.08,327.69
dynamic_score,ORB,GBPUSD,M15,2025-06,2025-06-26 23:15:00,2025-06-27 01:00:00,BUY,1.37254,1.37193,6.0,1.37254,trail_stop,0.3361,100,0.00061,0.1639,10.0,0.5,1.22,"max(structure,0.80ATR)",score,ORB 15m breakout,327.69,16.38,5.51,333.2
dynamic_score,LTA,AUDUSD,M15,2025-06,2025-06-27 01:30:00,2025-06-27 01:45:00,SELL,0.65486,0.65552,3.0,0.65552,loss,-1.1364,90,0.000461,0.1364,9.0,0.2708,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,333.2,16.66,-18.93,314.27
dynamic_score,LTA,USDCAD,M15,2025-06,2025-06-27 01:30:00,2025-06-27 01:45:00,BUY,1.36437,1.36378,3.0,1.36378,loss,-1.2542,93,0.000424,0.2542,15.0,0.1146,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,314.27,15.71,-19.71,294.56
dynamic_score,LTA,AUDUSD,M30,2025-06,2025-06-27 06:00:00,2025-06-27 08:00:00,BUY,0.65463,0.65383,3.0,0.65463,trail_stop,0.3875,90,0.00069,0.1125,9.0,0.5729,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,294.56,14.73,5.71,300.27
dynamic_score,LTA,USDCAD,M30,2025-06,2025-06-27 06:00:00,2025-06-27 09:30:00,SELL,1.36384,1.365,5.0,1.365,loss,-1.1293,97,0.000623,0.1293,15.0,0.1562,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,300.27,15.01,-16.95,283.31
