policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_capped,LTA,AUDUSD,M30,2025-12,2025-12-26 03:30:00,2025-12-26 14:00:00,SELL,0.67065,0.671802,4.0,0.671802,loss,-1.0781,95,0.000524,0.0781,9.0,0.6771,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,300.0,15.0,-16.17,283.83
dynamic_capped,LTA,GBPJPY,M30,2026-01,2026-01-02 03:30:00,2026-01-02 09:30:00,BUY,211.345,210.998971,4.0,210.998971,loss,-1.0636,90,0.157286,0.0636,22.0,0.5104,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,283.83,14.19,-15.09,268.73
dynamic_capped,ORB,GBPUSD,M15,2026-01,2026-01-05 01:15:00,2026-01-05 02:00:00,BUY,1.34476,1.343572,3.0,1.343572,loss,-1.0842,100,0.00108,0.0842,10.0,0.8333,1.3897,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,268.73,13.44,-14.57,254.17
dynamic_capped,LTA,AUDUSD,M15,2026-01,2026-01-07 01:15:00,2026-01-07 07:15:00,BUY,0.67359,0.672418,3.0,0.674762,trail_stop,0.9232,92,0.000533,0.0768,9.0,0.8854,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,254.17,12.71,11.73,265.9
dynamic_capped,ORB,AUDUSD,M15,2026-01,2026-01-12 00:15:00,2026-01-13 00:15:00,BUY,0.66948,0.6683,3.0,0.67066,trail_stop,0.9237,95,0.00118,0.0763,9.0,0.625,4.1717,"min(max(structure,0.85ATR),2.2ATR)",balanced,ORB 15m breakout,265.9,13.29,12.28,278.18
dynamic_capped,ORB,GBPUSD,M15,2026-01,2026-01-12 00:15:00,2026-01-13 00:15:00,BUY,1.34124,1.338809,3.0,1.34632,timeout,1.5037,95,0.00221,0.0411,10.0,0.7708,3.532,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,278.18,13.91,20.91,299.09
dynamic_capped,ORB,USDCHF,M15,2026-01,2026-01-12 00:15:00,2026-01-13 00:15:00,SELL,0.79971,0.801877,3.0,0.79759,timeout,0.9292,95,0.00197,0.06,13.0,0.8542,3.9288,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,299.09,14.95,13.9,312.99
dynamic_capped,ORB,GBPUSD,M15,2026-01,2026-01-19 00:15:00,2026-01-19 00:30:00,SELL,1.33848,1.340537,3.0,1.340537,loss,-1.0486,100,0.00187,0.0486,10.0,1.0,1.523,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,312.99,15.65,-16.41,296.58
dynamic_capped,ORB,USDCHF,M15,2026-01,2026-01-19 00:15:00,2026-01-19 00:30:00,BUY,0.80033,0.798438,3.0,0.798438,loss,-1.0687,95,0.00172,0.0687,13.0,1.0,2.0759,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,296.58,14.83,-15.85,280.73
dynamic_capped,ORB,AUDUSD,M15,2026-01,2026-01-19 00:30:00,2026-01-20 00:30:00,BUY,0.66893,0.667522,3.0,0.67111,timeout,1.2102,95,0.00128,0.0639,9.0,0.9792,2.4889,"min(max(structure,1.10ATR),2.2ATR)",balanced,ORB 15m breakout,280.73,14.04,16.99,297.72
dynamic_capped,LTA,GBPJPY,M30,2026-01,2026-01-20 00:30:00,2026-01-20 01:30:00,SELL,211.926,212.1999,4.0,212.1999,loss,-1.0803,94,0.1245,0.0803,22.0,0.1667,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,297.72,14.89,-16.08,281.64
