bot,symbol,timeframe,status,candles,broker_symbol
LTA,XAUUSD,M15,ok,4982,XAUUSDm
LTA,XAUUSD,M30,ok,2491,XAUUSDm
LTA,XAGUSD,M15,ok,4982,XAGUSDm
LTA,XAGUSD,M30,ok,2491,XAGUSDm
LTA,EURUSD,M15,ok,5224,EURUSDm
LTA,EURUSD,M30,ok,2612,EURUSDm
LTA,BTCUSD,M15,ok,7336,BTCUSDm
LTA,BTCUSD,M30,ok,3668,BTCUSDm
LTA,US30,M15,ok,4976,US30m
LTA,US30,M30,ok,2488,US30m
ORB,XAUUSD,M15,ok,2682,XAUUSDm
ORB,XAGUSD,M15,ok,2682,XAGUSDm
ORB,EURUSD,M15,ok,2824,EURUSDm
ORB,BTCUSD,M15,ok,3976,BTCUSDm
ORB,US30,M15,ok,2676,US30m
