policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,BTCUSD,21,0,12,9,0,0.0,-4.0,-0.191,0.67,5.52
dynamic_aggressive,LTA,EURUSD,5,0,4,1,0,0.0,-3.89,-0.778,0.09,5.8
dynamic_aggressive,LTA,US30,11,1,8,2,0,9.09,-3.95,-0.359,0.52,5.73
dynamic_aggressive,LTA,XAGUSD,10,0,7,3,0,0.0,-4.51,-0.451,0.36,5.2
dynamic_aggressive,LTA,XAUUSD,8,1,5,2,0,12.5,-1.0,-0.125,0.8,5.5
dynamic_aggressive,ORB,BTCUSD,24,1,12,11,0,4.17,-1.5,-0.063,0.87,5.42
dynamic_aggressive,ORB,US30,18,0,10,8,0,0.0,-5.4,-0.3,0.48,5.67
dynamic_aggressive,ORB,XAGUSD,21,2,5,14,0,9.52,9.97,0.475,2.99,5.52
dynamic_aggressive,ORB,XAUUSD,22,1,9,12,0,4.55,3.49,0.159,1.39,5.09
dynamic_balanced,LTA,BTCUSD,21,1,12,8,0,4.76,-3.5,-0.167,0.71,4.29
dynamic_balanced,LTA,EURUSD,5,0,4,1,0,0.0,-3.89,-0.778,0.09,4.6
dynamic_balanced,LTA,US30,11,1,8,2,0,9.09,-4.45,-0.404,0.46,4.55
dynamic_balanced,LTA,XAGUSD,10,0,7,3,0,0.0,-4.51,-0.451,0.36,4.0
dynamic_balanced,LTA,XAUUSD,8,1,5,2,0,12.5,-1.5,-0.188,0.7,4.38
dynamic_balanced,ORB,BTCUSD,24,2,12,10,0,8.33,-0.0,-0.0,1.0,4.17
dynamic_balanced,ORB,EURUSD,1,0,1,0,0,0.0,-1.09,-1.093,0.0,3.0
dynamic_balanced,ORB,US30,18,0,9,9,0,0.0,-3.9,-0.217,0.59,4.06
dynamic_balanced,ORB,XAGUSD,21,2,6,13,0,9.52,6.97,0.332,2.16,4.29
dynamic_balanced,ORB,XAUUSD,22,2,10,10,0,9.09,0.49,0.022,1.05,3.86
