policy,bot,symbol,month,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,BTCUSD,2026-05,4,3,0,0,0,75.0,3.86,0.966,79.05,1.3
challenge20_current,LTA,BTCUSD,2026-06,16,3,4,0,0,18.75,-4.06,-0.254,0.5,1.3
challenge20_current,LTA,EURUSD,2026-05,1,0,0,0,0,0.0,-0.77,-0.766,0.0,1.3
challenge20_current,LTA,EURUSD,2026-06,4,3,0,0,0,75.0,2.85,0.711,4.37,1.3
challenge20_current,LTA,US30,2026-06,7,2,1,1,0,28.57,-0.01,-0.001,1.0,1.3
challenge20_current,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,1.3
challenge20_current,LTA,XAGUSD,2026-06,10,4,1,1,0,40.0,2.15,0.215,1.7,1.3
challenge20_current,LTA,XAUUSD,2026-06,10,0,3,0,0,0.0,-5.24,-0.524,0.04,1.3
challenge20_current,ORB,BTCUSD,2026-05,4,0,2,1,0,0.0,-1.66,-0.416,0.17,1.3
challenge20_current,ORB,BTCUSD,2026-06,20,5,3,4,0,25.0,1.62,0.081,1.3,1.3
challenge20_current,ORB,EURUSD,2026-06,3,1,0,0,0,33.33,0.66,0.221,2.15,1.3
challenge20_current,ORB,US30,2026-05,2,0,0,0,0,0.0,-0.45,-0.226,0.1,1.3
challenge20_current,ORB,US30,2026-06,15,1,4,1,0,6.67,-4.27,-0.285,0.3,1.3
challenge20_current,ORB,XAGUSD,2026-05,3,1,0,2,0,33.33,1.3,0.433,566.39,1.3
challenge20_current,ORB,XAGUSD,2026-06,19,10,5,2,0,52.63,7.29,0.384,2.23,1.3
challenge20_current,ORB,XAUUSD,2026-05,3,1,0,1,0,33.33,1.08,0.36,5.84,1.3
challenge20_current,ORB,XAUUSD,2026-06,19,10,6,1,0,52.63,6.25,0.329,1.91,1.3
dynamic_aggressive,LTA,BTCUSD,2026-05,4,0,0,4,0,0.0,5.0,1.25,5.0,5.25
dynamic_aggressive,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-9.0,-0.563,0.18,5.62
dynamic_aggressive,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.06,-0.065,0.0,5.0
dynamic_aggressive,LTA,EURUSD,2026-06,4,0,1,3,0,0.0,2.72,0.679,3.37,5.5
dynamic_aggressive,LTA,US30,2026-06,7,0,4,3,0,0.0,0.75,0.108,1.18,5.43
dynamic_aggressive,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,5.0
dynamic_aggressive,LTA,XAGUSD,2026-06,10,0,5,5,0,0.0,-2.01,-0.201,0.6,5.7
dynamic_aggressive,LTA,XAUUSD,2026-06,10,0,7,3,0,0.0,-4.0,-0.4,0.43,5.6
dynamic_aggressive,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,5.0
dynamic_aggressive,ORB,BTCUSD,2026-06,20,1,9,10,0,5.0,-0.0,-0.0,1.0,5.6
dynamic_aggressive,ORB,US30,2026-05,2,0,1,1,0,0.0,-1.14,-0.569,0.0,6.0
dynamic_aggressive,ORB,US30,2026-06,15,0,8,7,0,0.0,-6.68,-0.445,0.22,5.6
dynamic_aggressive,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,6.0
dynamic_aggressive,ORB,XAGUSD,2026-06,19,2,4,13,0,10.53,9.97,0.525,3.49,5.47
dynamic_aggressive,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,6.0
dynamic_aggressive,ORB,XAUUSD,2026-06,19,1,7,11,0,5.26,4.99,0.263,1.71,4.95
dynamic_balanced,LTA,BTCUSD,2026-05,4,1,0,3,0,25.0,6.0,1.5,6.0,4.0
dynamic_balanced,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-9.0,-0.563,0.18,4.38
dynamic_balanced,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.06,-0.065,0.0,4.0
dynamic_balanced,LTA,EURUSD,2026-06,4,1,1,2,0,25.0,3.72,0.929,4.24,4.5
dynamic_balanced,LTA,US30,2026-06,7,0,4,3,0,0.0,0.75,0.108,1.18,4.29
dynamic_balanced,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_balanced,LTA,XAGUSD,2026-06,10,0,5,5,0,0.0,-2.01,-0.201,0.6,4.2
dynamic_balanced,LTA,XAUUSD,2026-06,10,1,7,2,0,10.0,-1.0,-0.1,0.86,4.3
dynamic_balanced,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,3.75
dynamic_balanced,ORB,BTCUSD,2026-06,20,2,10,8,0,10.0,2.0,0.1,1.2,4.3
dynamic_balanced,ORB,EURUSD,2026-06,1,0,1,0,0,0.0,-1.09,-1.093,0.0,3.0
dynamic_balanced,ORB,US30,2026-05,2,0,1,1,0,0.0,-1.14,-0.568,0.0,4.5
dynamic_balanced,ORB,US30,2026-06,15,0,8,7,0,0.0,-6.69,-0.446,0.21,3.93
dynamic_balanced,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,4.67
dynamic_balanced,ORB,XAGUSD,2026-06,19,2,5,12,0,10.53,5.97,0.314,2.19,4.26
dynamic_balanced,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,4.67
dynamic_balanced,ORB,XAUUSD,2026-06,19,2,8,9,0,10.53,0.99,0.052,1.12,3.74
dynamic_capped,LTA,BTCUSD,2026-05,4,1,0,3,0,25.0,6.0,1.5,6.0,4.0
dynamic_capped,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-10.0,-0.625,0.09,4.38
dynamic_capped,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.09,-0.087,0.0,4.0
dynamic_capped,LTA,EURUSD,2026-06,3,1,1,1,0,33.33,3.78,1.259,4.48,4.33
dynamic_capped,LTA,US30,2026-06,7,0,4,3,0,0.0,0.75,0.108,1.18,4.29
dynamic_capped,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_capped,LTA,XAGUSD,2026-06,10,0,5,5,0,0.0,-2.01,-0.201,0.6,4.2
dynamic_capped,LTA,XAUUSD,2026-06,10,1,7,2,0,10.0,-1.0,-0.1,0.86,4.3
dynamic_capped,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,3.75
dynamic_capped,ORB,BTCUSD,2026-06,20,2,8,10,0,10.0,3.0,0.15,1.37,4.3
dynamic_capped,ORB,US30,2026-05,2,0,1,1,0,0.0,-1.13,-0.565,0.0,4.5
dynamic_capped,ORB,US30,2026-06,15,0,8,7,0,0.0,-5.64,-0.376,0.34,3.93
dynamic_capped,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,4.67
dynamic_capped,ORB,XAGUSD,2026-06,19,3,3,13,0,15.79,12.98,0.683,5.31,4.26
dynamic_capped,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,4.67
dynamic_capped,ORB,XAUUSD,2026-06,19,1,7,11,0,5.26,1.99,0.105,1.28,3.74
dynamic_conservative,LTA,BTCUSD,2026-05,4,1,0,3,0,25.0,5.0,1.25,5.0,2.75
