policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
challenge20_current,ORB,XAGUSD,M15,2026-05,2026-05-27 23:15:00,2026-05-28 00:00:00,SELL,74.576,74.780643,1.304,74.576,trail_stop,-0.0015,100,0.139786,0.0015,30.0,0.0104,0.8441,"live_adaptive(vol=0.42,volume=0.58)",challenge20,ORB 15m breakout,300.0,15.0,-0.02,299.98
challenge20_current,ORB,BTCUSD,M15,2026-05,2026-05-28 23:15:00,2026-05-29 01:15:00,BUY,73492.12,73238.398214,1.304,73492.12,trail_stop,-0.0001,100,175.507143,0.0001,1400.0,0.2083,0.6621,"live_adaptive(vol=0.83,volume=0.56)",challenge20,ORB 15m breakout,299.98,15.0,-0.0,299.98
challenge20_current,LTA,EURUSD,M30,2026-05,2026-05-29 01:30:00,2026-05-29 06:30:00,SELL,1.16444,1.16568,1.304,1.16531,smart_exit,-0.7661,90,0.000418,0.0645,8.0,0.1562,,"live_adaptive(vol=0.57,volume=0.84)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,299.98,15.0,-11.49,288.49
challenge20_current,ORB,BTCUSD,M15,2026-05,2026-05-30 23:15:00,2026-05-31 00:15:00,SELL,73723.53,73895.1,1.304,73895.1,loss,-1.0001,95,171.57,0.0001,1400.0,0.3125,2.1081,"live_adaptive(vol=0.90,volume=1.04)",challenge20,ORB 15m breakout,288.49,14.42,-14.43,274.06
challenge20_current,ORB,BTCUSD,M15,2026-05,2026-05-31 23:15:00,2026-06-01 00:00:00,SELL,73823.7,74161.552832,1.304,73709.87,smart_exit,0.3369,95,283.52,0.0,1400.0,1.0,2.1457,"live_adaptive(vol=1.36,volume=1.63)",challenge20,ORB 15m breakout,274.06,13.7,4.62,278.68
challenge20_current,ORB,XAGUSD,M15,2026-06,2026-06-01 23:15:00,2026-06-02 00:00:00,BUY,74.995,74.802036,1.304,74.802036,loss,-1.0016,100,0.128,0.0016,30.0,0.0312,1.009,"live_adaptive(vol=0.43,volume=0.43)",challenge20,ORB 15m breakout,278.68,13.93,-13.96,264.72
challenge20_current,ORB,XAGUSD,M15,2026-06,2026-06-02 23:15:00,2026-06-03 00:15:00,SELL,74.601,75.001,1.304,75.001,loss,-1.0008,95,0.4,0.0007,30.0,0.1042,2.2108,"live_adaptive(vol=0.70,volume=1.10)",challenge20,ORB 15m breakout,264.72,13.24,-13.25,251.47
challenge20_current,LTA,US30,M15,2026-06,2026-06-03 05:15:00,2026-06-03 06:00:00,SELL,51352.7,51380.35679,1.304,51316.625926,win,1.2284,96,12.378571,0.0759,21.0,0.0208,,"live_adaptive(vol=0.34,volume=0.84)",challenge20,Entry Model 1 - Double Wick Confirmation,251.47,12.57,15.45,266.92
challenge20_current,LTA,US30,M15,2026-06,2026-06-04 01:00:00,2026-06-04 02:00:00,BUY,50824.8,50762.860714,1.304,50772.8,smart_exit,-0.8734,91,40.742857,0.0339,21.0,0.5417,,"live_adaptive(vol=0.78,volume=0.55)",challenge20,Entry Model 1 - Double Wick Confirmation,266.92,13.35,-11.66,255.26
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-05 23:15:00,2026-06-06 00:00:00,SELL,61275.99,62015.536071,1.304,61275.99,trail_stop,-0.0,100,506.448571,0.0,1008.0,0.4688,0.9553,"live_adaptive(vol=0.86,volume=0.76)",challenge20,ORB 15m breakout,255.26,12.76,-0.0,255.26
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-06 23:30:00,2026-06-07 01:00:00,BUY,60732.77,60446.377143,1.304,61106.325901,win,1.3043,100,221.29,0.0,1008.0,0.1354,1.2993,"live_adaptive(vol=0.75,volume=0.81)",challenge20,ORB 15m breakout,255.26,12.76,16.65,271.91
challenge20_current,ORB,BTCUSD,M15,2026-06,2026-06-07 23:15:00,2026-06-08 01:00:00,BUY,63036.77,61492.378796,1.304,63044.99,smart_exit,0.0053,100,531.435714,0.0,1008.0,1.0,0.5165,"live_adaptive(vol=2.05,volume=1.86)",challenge20,ORB 15m breakout,271.91,13.6,0.07,271.98
challenge20_current,ORB,XAGUSD,M15,2026-06,2026-06-08 23:15:00,2026-06-09 00:00:00,SELL,68.063,68.279964,1.304,67.780003,win,1.303,100,0.155714,0.0014,30.0,0.0104,0.5394,"live_adaptive(vol=0.42,volume=0.31)",challenge20,ORB 15m breakout,271.98,13.6,17.72,289.7
