bot,symbol,timeframe,series_key,start_index,opened_at,direction,entry,base_stop,configured_rr,setup_score,atr,atr_percentile,session_metric,entry_model
LTA,EURUSD,M15,LTA:EURUSD:M15,3283,2026-05-29 01:30:00,SELL,1.16492,1.16566,6.0,92,0.0002971428571428371,0.17708333333333334,,Entry Model 1 - Double Wick Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,3775,2026-06-05 04:30:00,BUY,1.1615,1.16128,6.0,97,0.00022642857142856393,0.10416666666666667,,Entry Model 2 - Internal Swing Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,3952,2026-06-09 00:45:00,BUY,1.15309,1.15263,6.0,92,0.0002671428571428309,0.07291666666666667,,Entry Model 1 - Double Wick Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,4051,2026-06-10 01:30:00,SELL,1.15381,1.15436,6.0,97,0.00042571428571428323,0.3958333333333333,,Entry Model 1 - Double Wick Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,4243,2026-06-12 01:30:00,BUY,1.15623,1.15606,6.0,92,0.0004957142857142978,0.375,,Entry Model 2 - Internal Swing Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,4249,2026-06-12 03:00:00,BUY,1.15669,1.15606,6.0,95,0.0004557142857143053,0.2916666666666667,,Entry Model 1 - Double Wick Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,4345,2026-06-15 03:00:00,SELL,1.15984,1.16019,6.0,91,0.00045071428571427256,0.1875,,Entry Model 2 - Internal Swing Confirmation
LTA,EURUSD,M15,LTA:EURUSD:M15,4645,2026-06-18 06:00:00,BUY,1.15222,1.15093,6.0,90,0.0004271428571428799,0.25,,Entry Model 3 - Confirmation of Internal Structure
LTA,EURUSD,M15,LTA:EURUSD:M15,4912,2026-06-23 00:45:00,BUY,1.14266,1.14219,6.0,91,0.0002321428571429188,0.041666666666666664,,Entry Model 1 - Double Wick Confirmation
LTA,EURUSD,M30,LTA:EURUSD:M30,1642,2026-05-29 01:30:00,SELL,1.16444,1.16568,6.0,90,0.0004178571428571365,0.15625,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
