policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,51,24,18,9,0,47.06,11.15,0.219,1.58,1.3
challenge20_current,ORB,192,88,86,18,0,45.83,28.05,0.146,1.32,1.3
dynamic_aggressive,LTA,53,2,18,33,0,3.77,14.71,0.278,1.76,5.45
dynamic_aggressive,ORB,192,13,88,91,0,6.77,54.29,0.283,1.61,5.38
dynamic_balanced,LTA,53,4,19,30,0,7.55,12.73,0.24,1.62,4.25
dynamic_balanced,ORB,199,22,91,86,0,11.06,40.74,0.205,1.44,4.11
dynamic_capped,LTA,53,4,18,31,0,7.55,17.68,0.334,1.91,4.25
dynamic_capped,ORB,192,19,88,85,0,9.9,38.3,0.199,1.43,4.14
dynamic_conservative,LTA,54,9,18,27,0,16.67,14.75,0.273,1.76,2.94
dynamic_conservative,ORB,194,43,85,66,0,22.16,39.15,0.202,1.46,2.66
dynamic_score,LTA,53,6,19,28,0,11.32,13.73,0.259,1.67,4.11
dynamic_score,ORB,199,10,91,98,0,5.03,44.74,0.225,1.49,5.5
fixed_current,LTA,51,1,18,32,0,1.96,10.85,0.213,1.56,6.0
fixed_current,ORB,192,58,86,48,0,30.21,42.25,0.22,1.49,2.58
production_current,LTA,56,0,9,12,0,0.0,5.06,0.09,1.3,6.0
production_current,ORB,198,51,72,37,0,25.76,44.48,0.225,1.55,2.54
