policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model
production_current,LTA,US30,M15,2025-12,2025-12-30 00:45:00,2025-12-30 08:00:00,SELL,48503.4,48539.003571,6.0,48498.4,smart_exit,0.0871,92,24.4,0.0534,19.0,0.5625,,"live_adaptive(vol=0.61,volume=0.21)",static,Entry Model 2 - Internal Swing Confirmation
production_current,LTA,US30,M15,2025-12,2025-12-30 02:15:00,2025-12-30 08:00:00,SELL,48500.8,48531.06821,6.0,48500.8,trail_stop,-0.0628,93,17.121429,0.0628,19.0,0.2292,,"live_adaptive(vol=0.41,volume=0.36)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,US30,M15,2025-12,2025-12-30 03:45:00,2025-12-30 08:00:00,SELL,48510.8,48533.289286,6.0,48488.310714,trail_stop,0.9155,97,14.4,0.0845,19.0,0.1458,,"live_adaptive(vol=0.39,volume=0.80)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,US30,M15,2026-01,2026-01-05 05:15:00,2026-01-05 07:15:00,BUY,48420.4,48374.14821,6.0,48420.4,trail_stop,-0.0454,90,15.678571,0.0454,21.0,0.1771,,"live_adaptive(vol=0.28,volume=0.50)",static,Entry Model 2 - Internal Swing Confirmation
production_current,LTA,US30,M15,2026-01,2026-01-09 07:00:00,2026-01-09 09:45:00,SELL,49278.4,49310.80143,6.0,49310.80143,loss,-1.0648,100,15.342857,0.0648,21.0,0.1146,,"live_adaptive(vol=0.58,volume=0.93)",static,Entry Model 3 - Confirmation of Internal Structure
production_current,LTA,US30,M15,2026-01,2026-01-13 01:30:00,2026-01-13 06:15:00,BUY,49564.2,49531.553571,6.0,49580.2,smart_exit,0.4258,93,20.471429,0.0643,21.0,0.125,,"live_adaptive(vol=0.49,volume=0.28)",static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
production_current,LTA,US30,M15,2026-01,2026-01-14 01:00:00,2026-01-14 06:30:00,SELL,49157.7,49206.44786,6.0,49096.8,smart_exit,1.2103,94,24.985714,0.039,19.0,0.4479,,"live_adaptive(vol=0.28,volume=0.12)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,US30,M15,2026-01,2026-01-23 06:45:00,2026-01-23 10:45:00,SELL,49448.7,49483.04679,6.0,49307.5,smart_exit,4.0499,97,14.978571,0.0611,21.0,0.0729,,"live_adaptive(vol=0.50,volume=1.03)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,US30,M15,2026-02,2026-02-02 06:00:00,2026-02-02 07:15:00,SELL,48512.8,48594.346429,6.0,48512.8,trail_stop,-0.0258,95,53.578571,0.0258,21.0,0.1667,,"live_adaptive(vol=0.71,volume=0.96)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,US30,M15,2026-02,2026-02-03 03:15:00,2026-02-03 08:15:00,BUY,49467.2,49428.965,6.0,49488.1,smart_exit,0.4969,100,22.9,0.0497,19.0,0.5,,"live_adaptive(vol=0.42,volume=0.63)",static,Entry Model 2 - Internal Swing Confirmation
