policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_aggressive,ORB,XAGUSD,M15,2026-05,2026-05-28 23:15:00,2026-05-28 23:45:00,BUY,75.727,75.565,6.0,75.565,loss,-1.0019,100,0.162,0.0019,30.0,0.5,1.3027,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,300.0,15.0,-15.03,284.97
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-01 23:15:00,2026-06-01 23:45:00,BUY,74.995,74.867,6.0,74.995,trail_stop,-0.0023,100,0.128,0.0023,30.0,0.0312,1.009,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,284.97,14.25,-0.03,284.94
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-02 23:15:00,2026-06-03 00:15:00,SELL,74.601,75.001,4.0,75.001,loss,-1.0008,95,0.4,0.0007,30.0,0.1042,2.2108,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,284.94,14.25,-14.26,270.68
dynamic_aggressive,ORB,XAUUSD,M15,2026-06,2026-06-03 23:15:00,2026-06-04 00:00:00,BUY,4450.354,4444.694971,6.0,4456.013029,trail_stop,0.9995,100,7.073786,0.0005,280.0,0.3021,0.7019,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,270.68,13.53,13.53,284.21
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-04 23:30:00,2026-06-05 02:30:00,SELL,73.792,74.124,4.0,72.464,win,3.9991,95,0.332,0.0009,30.0,0.0208,2.5894,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,284.21,14.21,56.83,341.04
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-08 23:15:00,2026-06-09 00:00:00,SELL,68.063,68.187571,6.0,67.938429,trail_stop,0.9976,100,0.155714,0.0024,30.0,0.0104,0.5394,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,341.04,17.05,17.01,358.05
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-09 23:15:00,2026-06-10 00:45:00,SELL,64.862,65.139,6.0,64.585,trail_stop,0.9989,100,0.277,0.0011,30.0,0.1979,1.1791,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,358.05,17.9,17.88,375.93
dynamic_aggressive,ORB,XAUUSD,M15,2026-06,2026-06-10 23:15:00,2026-06-11 02:15:00,BUY,4053.897,4023.761,4.0,4084.033,trail_stop,0.9999,95,30.136,0.0001,260.0,0.8646,2.2137,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,375.93,18.8,18.79,394.72
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-11 00:15:00,2026-06-11 12:30:00,BUY,62.833,61.49,4.0,62.833,trail_stop,-0.0002,95,1.343,0.0002,30.0,0.9479,3.1264,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,394.72,19.74,-0.0,394.72
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-15 23:15:00,2026-06-16 00:30:00,SELL,69.909,70.024543,6.0,69.793457,trail_stop,0.9974,100,0.144429,0.0026,30.0,0.0104,0.5401,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,394.72,19.74,19.68,414.41
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-16 23:15:00,2026-06-17 00:00:00,SELL,70.099,70.218829,6.0,69.979171,trail_stop,0.9975,100,0.149786,0.0025,30.0,0.5,0.5608,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,414.41,20.72,20.67,435.07
dynamic_aggressive,ORB,XAUUSD,M15,2026-06,2026-06-17 23:15:00,2026-06-18 06:00:00,BUY,4282.067,4264.187,6.0,4299.947,trail_stop,0.9999,100,22.226714,0.0001,260.0,0.8229,0.8044,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,435.07,21.75,21.75,456.83
dynamic_aggressive,ORB,XAUUSD,M15,2026-06,2026-06-18 23:15:00,2026-06-19 04:30:00,SELL,4194.154,4208.453,4.0,4136.958,win,3.9998,100,14.299,0.0002,260.0,0.0833,1.9894,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,456.83,22.84,91.36,548.19
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-22 23:15:00,2026-06-22 23:30:00,SELL,65.003,65.121114,6.0,65.121114,loss,-1.0025,100,0.147643,0.0025,30.0,0.5,0.7992,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,548.19,27.41,-27.48,520.71
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-23 23:30:00,2026-06-23 23:45:00,SELL,61.105,61.495,4.0,61.495,loss,-1.0008,95,0.39,0.0008,30.0,0.2188,2.1462,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,520.71,26.04,-26.06,494.65
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-24 23:15:00,2026-06-25 00:00:00,BUY,57.514,57.2572,6.0,57.514,trail_stop,-0.0012,100,0.321,0.0012,30.0,0.2917,0.6386,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,494.65,24.73,-0.03,494.62
dynamic_aggressive,ORB,XAGUSD,M15,2026-06,2026-06-25 23:15:00,2026-06-25 23:30:00,BUY,57.82,57.653543,6.0,57.82,trail_stop,-0.0018,100,0.208071,0.0018,30.0,0.0104,0.5287,"max(structure,0.8ATR)",aggressive,ORB 15m breakout,494.62,24.73,-0.04,494.58
