policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
fixed_current,ORB,XAGUSD,M15,2026-05,2026-05-28 23:15:00,2026-05-28 23:45:00,BUY,75.727,75.565,4.0,75.565,loss,-1.0019,100,0.162,0.0019,30.0,0.5,1.3027,structure,static,ORB 15m breakout,300.0,15.0,-15.03,284.97
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-01 23:15:00,2026-06-01 23:45:00,BUY,74.995,74.867,4.0,74.995,trail_stop,-0.0023,100,0.128,0.0023,30.0,0.0312,1.009,structure,static,ORB 15m breakout,284.97,14.25,-0.03,284.94
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-02 23:15:00,2026-06-03 00:15:00,SELL,74.601,75.001,4.0,75.001,loss,-1.0008,95,0.4,0.0007,30.0,0.1042,2.2108,structure,static,ORB 15m breakout,284.94,14.25,-14.26,270.68
fixed_current,ORB,XAUUSD,M15,2026-06,2026-06-03 23:15:00,2026-06-03 23:45:00,BUY,4450.354,4445.389,1.304,4456.82836,win,1.3034,100,7.073786,0.0006,280.0,0.3021,0.7019,structure,static,ORB 15m breakout,270.68,13.53,17.64,288.32
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-04 23:30:00,2026-06-05 02:30:00,SELL,73.792,74.124,4.0,72.464,win,3.9991,95,0.332,0.0009,30.0,0.0208,2.5894,structure,static,ORB 15m breakout,288.32,14.42,57.65,345.97
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-08 23:15:00,2026-06-09 00:00:00,SELL,68.063,68.147,4.0,67.895,trail_stop,1.9964,100,0.155714,0.0036,30.0,0.0104,0.5394,structure,static,ORB 15m breakout,345.97,17.3,34.53,380.51
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-09 23:15:00,2026-06-10 00:45:00,SELL,64.862,65.139,4.0,64.585,trail_stop,0.9989,100,0.277,0.0011,30.0,0.1979,1.1791,structure,static,ORB 15m breakout,380.51,19.03,19.0,399.51
fixed_current,ORB,XAUUSD,M15,2026-06,2026-06-10 23:15:00,2026-06-11 01:15:00,BUY,4053.897,4023.761,1.304,4093.194344,win,1.3039,95,30.136,0.0001,260.0,0.8646,2.2137,structure,static,ORB 15m breakout,399.51,19.98,26.05,425.56
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-11 00:15:00,2026-06-11 12:30:00,BUY,62.833,61.49,4.0,62.833,trail_stop,-0.0002,95,1.343,0.0002,30.0,0.9479,3.1264,structure,static,ORB 15m breakout,425.56,21.28,-0.0,425.55
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-15 23:15:00,2026-06-15 23:30:00,SELL,69.909,69.987,4.0,69.909,trail_stop,-0.0038,100,0.144429,0.0038,30.0,0.0104,0.5401,structure,static,ORB 15m breakout,425.55,21.28,-0.08,425.47
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-16 23:15:00,2026-06-17 00:00:00,SELL,70.099,70.183,4.0,69.931,trail_stop,1.9964,100,0.149786,0.0036,30.0,0.5,0.5608,structure,static,ORB 15m breakout,425.47,21.27,42.47,467.94
fixed_current,ORB,XAUUSD,M15,2026-06,2026-06-17 23:15:00,2026-06-18 00:30:00,BUY,4282.067,4264.187,1.304,4305.38252,win,1.3039,100,22.226714,0.0001,260.0,0.8229,0.8044,structure,static,ORB 15m breakout,467.94,23.4,30.51,498.45
fixed_current,ORB,XAUUSD,M15,2026-06,2026-06-18 23:15:00,2026-06-19 02:15:00,SELL,4194.154,4208.453,1.304,4175.508104,win,1.3038,100,14.299,0.0002,260.0,0.0833,1.9894,structure,static,ORB 15m breakout,498.45,24.92,32.49,530.94
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-22 23:15:00,2026-06-22 23:30:00,SELL,65.003,65.121,4.0,65.121,loss,-1.0025,100,0.147643,0.0025,30.0,0.5,0.7992,structure,static,ORB 15m breakout,530.94,26.55,-26.61,504.33
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-23 23:30:00,2026-06-23 23:45:00,SELL,61.105,61.495,4.0,61.495,loss,-1.0008,95,0.39,0.0008,30.0,0.2188,2.1462,structure,static,ORB 15m breakout,504.33,25.22,-25.24,479.09
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-24 23:15:00,2026-06-25 00:00:00,BUY,57.514,57.309,4.0,57.514,trail_stop,-0.0015,100,0.321,0.0015,30.0,0.2917,0.6386,structure,static,ORB 15m breakout,479.09,23.95,-0.04,479.06
fixed_current,ORB,XAGUSD,M15,2026-06,2026-06-25 23:15:00,2026-06-25 23:30:00,BUY,57.82,57.71,4.0,57.82,trail_stop,-0.0027,100,0.208071,0.0027,30.0,0.0104,0.5287,structure,static,ORB 15m breakout,479.06,23.95,-0.06,478.99
