policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_at_entry,risk_amount,pnl,balance_before_settlement,balance_after
challenge20_current,LTA,XAGUSD,M15,2026-05,2026-05-28 03:00:00,2026-05-28 05:30:00,SELL,72.988,74.084,1.304,72.988,trail_stop,-0.0003,91,0.38,0.0003,30.0,0.7292,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-0.0,300.0,300.0
challenge20_current,LTA,XAGUSD,M15,2026-05,2026-05-28 17:15:00,2026-05-28 17:45:00,SELL,75.574,75.95661,1.304,75.95661,loss,-1.0008,98,0.430714,0.0008,30.0,0.8438,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-15.01,300.0,284.99
challenge20_current,LTA,XAUUSD,M15,2026-05,2026-05-28 17:15:00,2026-05-29 01:15:00,SELL,4502.156,4516.86599,1.304,4516.86599,loss,-1.0002,98,14.666571,0.0002,280.0,0.8646,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-15.0,284.99,269.99
challenge20_current,LTA,XAUUSD,M15,2026-05,2026-05-29 01:45:00,2026-05-29 09:00:00,BUY,4506.564,4490.76396,1.304,4527.172748,win,1.3042,98,7.560286,0.0002,280.0,0.2292,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,269.99,13.5,17.61,269.99,287.6
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-02 01:30:00,2026-06-02 01:45:00,SELL,75.343,75.95324,1.304,74.547035,win,1.3039,98,0.294929,0.0005,30.0,0.4896,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,287.6,14.38,18.75,287.6,306.35
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-02 08:15:00,2026-06-02 09:00:00,SELL,76.747,77.05236,1.304,76.348704,win,1.3034,90,0.315714,0.001,30.0,0.5417,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,306.35,15.32,19.96,306.35,326.31
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-02 07:30:00,2026-06-02 12:45:00,SELL,4531.813,4542.73601,1.304,4517.565596,win,1.3041,99,7.600071,0.0003,280.0,0.3438,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 3 - Confirmation of Internal Structure,306.35,15.32,19.98,326.31,346.29
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-03 01:00:00,2026-06-03 13:30:00,SELL,74.515,75.36644,1.304,73.404426,win,1.304,100,0.302929,0.0004,30.0,0.6042,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 3 - Confirmation of Internal Structure + Entry Model 2 - Internal Swing Confirmation,346.29,17.31,22.58,346.29,368.87
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-03 07:45:00,2026-06-03 13:45:00,SELL,4453.345,4473.67659,1.304,4426.825535,win,1.3042,95,9.570571,0.0001,280.0,0.9062,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,346.29,17.31,22.58,368.87,391.45
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-04 14:00:00,2026-06-05 01:30:00,SELL,4487.819,4517.45397,1.304,4449.164691,win,1.3043,100,12.913143,0.0001,280.0,0.9583,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,391.45,19.57,25.53,391.45,416.98
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-05 06:00:00,2026-06-05 06:45:00,SELL,4436.558,4451.0146,1.304,4451.0146,loss,-1.0002,90,6.964,0.0002,280.0,0.2604,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,416.98,20.85,-20.85,416.98,396.13
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-05 01:30:00,2026-06-05 08:15:00,SELL,72.737,74.01145,1.304,72.737,trail_stop,-0.0002,97,0.263,0.0002,30.0,0.4167,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,416.98,20.85,-0.0,396.13,396.13
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-08 13:00:00,2026-06-08 14:45:00,SELL,68.348,68.98394,1.304,68.348,trail_stop,-0.0005,100,0.446286,0.0005,30.0,0.6354,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 3 - Confirmation of Internal Structure,396.13,19.81,-0.01,396.13,396.12
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-09 17:45:00,2026-06-09 22:45:00,SELL,4262.959,4283.7686,1.304,4235.816043,win,1.3042,96,17.677357,0.0001,260.0,0.9271,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,396.12,19.81,25.83,396.12,421.95
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-11 18:15:00,2026-06-12 19:30:00,BUY,65.953,63.53495,1.304,67.641,timeout,0.698,96,0.593643,0.0001,30.0,0.8958,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,421.95,21.1,14.73,421.95,436.68
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-16 01:45:00,2026-06-16 07:30:00,SELL,69.346,70.01027,1.304,70.01027,loss,-1.0005,91,0.221786,0.0005,30.0,0.5729,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,436.68,21.83,-21.84,436.68,414.84
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-17 20:00:00,2026-06-18 00:30:00,BUY,67.722,66.65239,1.304,69.117143,win,1.3041,100,0.864071,0.0003,30.0,1.0,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 3 - Confirmation of Internal Structure + Entry Model 4 - High Volume Continuation,414.84,20.74,27.05,414.84,441.89
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-18 11:15:00,2026-06-18 19:00:00,SELL,67.327,68.58645,1.304,65.684239,win,1.3041,98,0.303,0.0002,30.0,0.5,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,441.89,22.09,28.81,441.89,470.7
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-22 10:30:00,2026-06-22 11:00:00,SELL,4208.625,4215.26958,1.304,4215.26958,loss,-1.0004,91,6.657214,0.0004,260.0,0.0521,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,470.7,23.54,-23.54,470.7,447.16
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-23 03:15:00,2026-06-24 01:00:00,SELL,63.008,64.70618,1.304,60.792983,win,1.3042,90,0.427857,0.0002,30.0,0.9479,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 4 - High Volume Continuation,447.16,22.36,29.16,447.16,476.32
challenge20_current,LTA,XAGUSD,M15,2026-06,2026-06-26 02:30:00,2026-06-26 06:45:00,SELL,56.065,58.0834,1.304,58.0834,loss,-1.0001,97,0.402643,0.0001,30.0,0.7188,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,476.32,23.82,-23.82,476.32,452.5
