policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_at_entry,risk_amount,pnl,balance_before_settlement,balance_after
dynamic_capped,LTA,XAUUSD,M15,2026-05,2026-05-01 09:45:00,2026-05-01 12:00:00,SELL,4562.515,4580.142343,4.0,4580.142343,loss,-1.0002,96,8.012429,0.0002,280.0,0.5521,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-15.0,300.0,285.0
dynamic_capped,LTA,XAGUSD,M15,2026-05,2026-05-01 09:15:00,2026-05-01 12:15:00,BUY,73.2,72.92637,4.0,74.29452,win,3.9989,100,0.230857,0.0011,30.0,0.5104,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,300.0,15.0,59.98,285.0,344.98
dynamic_capped,LTA,XAGUSD,M15,2026-05,2026-05-01 13:00:00,2026-05-01 15:00:00,BUY,74.567,73.769029,3.0,75.364971,trail_stop,0.9996,97,0.362714,0.0004,30.0,1.0,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,344.98,17.25,17.24,344.98,362.22
dynamic_capped,LTA,XAGUSD,M15,2026-05,2026-05-07 17:45:00,2026-05-07 18:45:00,BUY,79.748,78.75189,3.0,78.75189,loss,-1.0003,100,0.527429,0.0003,30.0,0.9792,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,362.22,18.11,-18.12,362.22,344.1
dynamic_capped,LTA,XAUUSD,M15,2026-05,2026-05-11 13:30:00,2026-05-12 06:15:00,BUY,4743.508,4700.675881,4.0,4700.675881,loss,-1.0001,99,11.383857,0.0001,280.0,0.7188,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 4 - High Volume Continuation,344.1,17.2,-17.21,344.1,326.89
dynamic_capped,LTA,XAGUSD,M15,2026-05,2026-05-13 00:45:00,2026-05-13 01:00:00,SELL,87.196,87.70253,5.0,87.70253,loss,-1.0006,96,0.290214,0.0006,30.0,0.0729,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,326.89,16.34,-16.35,326.89,310.54
dynamic_capped,LTA,XAUUSD,M15,2026-05,2026-05-13 00:30:00,2026-05-13 02:45:00,SELL,4720.459,4728.0304,4.0,4690.1734,win,3.9996,93,6.569357,0.0004,280.0,0.1146,,"min(max(structure,0.85ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,326.89,16.34,65.37,310.54,375.91
dynamic_capped,LTA,XAGUSD,M15,2026-05,2026-05-14 13:45:00,2026-05-15 05:30:00,SELL,83.946,85.69434,3.0,78.70098,win,2.9998,100,0.592,0.0002,30.0,0.9271,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,375.91,18.8,56.38,375.91,432.29
dynamic_capped,LTA,XAUUSD,M15,2026-05,2026-05-20 01:45:00,2026-05-20 03:00:00,BUY,4481.199,4454.10737,3.0,4454.10737,loss,-1.0001,100,12.924214,0.0001,280.0,0.8333,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation,432.29,21.61,-21.62,432.29,410.67
dynamic_capped,LTA,XAGUSD,M15,2026-05,2026-05-19 13:45:00,2026-05-20 15:00:00,BUY,74.372,73.005329,3.0,75.662,timeout,0.9437,96,0.621214,0.0002,30.0,0.9792,,"min(max(structure,1.10ATR),2.2ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,432.29,21.61,20.4,410.67,431.07
