rr,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,pnl,r_multiple,setup_score,entry_model,bot,_opened_sort,balance_before,pnl_dynamic,balance_after,range_minutes,date,range_high,range_low,range_atr,logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,sl,tp1,tp2,tp5,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk
6.0,GBPJPY,M15,2026-05,2026-05-19 00:45:00,2026-05-19 12:15:00,SELL,213.375,213.48219,212.73186,213.48219,loss,-10719.0,-1.0,94.0,Entry Model 1 - Double Wick Confirmation,LTA,2026-05-19 00:45:00,300.0,-15.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-19 23:15:00,2026-05-19 23:45:00,BUY,0.71082,0.7107,0.71154,0.7107,loss,-12.0,-1.0,,,ORB,2026-05-19 23:15:00,285.0,-14.25,270.75,15.0,2026-05-19,0.71082,0.7107,0.5714,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-20 23:15:00,2026-05-20 23:45:00,SELL,0.71501,0.71521,0.71381,0.71521,loss,-20.0,-1.0,,,ORB,2026-05-20 23:15:00,270.75,-13.54,257.21,15.0,2026-05-20,0.71521,0.71501,0.7609,,,,,,,,,,,,,,,,,,,,,
6.0,USDCAD,M30,2026-05,2026-05-21 23:00:00,2026-05-22 10:30:00,BUY,1.3776,1.37725,1.3797,1.3797,win,210.0,6.0,91.0,Entry Model 1 - Double Wick Confirmation,LTA,2026-05-21 23:00:00,257.21,77.16,334.38,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-21 23:15:00,2026-05-22 00:45:00,SELL,0.715,0.71516,0.71404,0.71404,win,96.0,6.0,,,ORB,2026-05-21 23:15:00,334.38,100.31,434.69,15.0,2026-05-21,0.71516,0.715,0.5283,,,,,,,,,,,,,,,,,,,,,
,BTCUSD,,,2026-05-22T12:00:00Z,,,77347.59,,,76311.79,trail_stop,10.36,1.0,,,Sniper,2026-05-22 12:00:00,434.69,21.73,456.42,,,,,,BTCUSD,BTCUSDm,SELL,1779451200.0,1779451200.0,1779568500.0,78383.39,76311.79,75275.98,72168.57,1035.8,28.57,57.14,MILD BEAR,690.54,14.0,2026-05-22T12:00:00Z,2026-05-23T20:35:00Z,0.01,15.0,10.36
3.0,NZDUSD,,2026-05,2026-05-24 23:15:00,2026-05-25 01:15:00,SELL,0.58768,0.58795,0.58687,0.58795,loss,-27.0,-1.0,,,ORB,2026-05-24 23:15:00,456.42,-22.82,433.6,15.0,2026-05-24,0.58795,0.58768,0.7515,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-25 23:15:00,2026-05-26 05:00:00,SELL,0.71732,0.71754,0.716,0.716,win,132.0,6.0,,,ORB,2026-05-25 23:15:00,433.6,130.08,563.68,15.0,2026-05-25,0.71754,0.71732,1.0883,,,,,,,,,,,,,,,,,,,,,
,BTCUSD,,,2026-05-26T20:00:00Z,,,75921.84,,,69720.22,win,62.02,5.0,,,Sniper,2026-05-26 20:00:00,563.68,140.92,704.6,,,,,,BTCUSD,BTCUSDm,SELL,1779825600.0,1779825600.0,1780383600.0,77162.16,74681.52,73441.19,69720.22,1240.32,14.29,71.43,STRONG BEAR,826.88,14.0,2026-05-26T20:00:00Z,2026-06-02T07:00:00Z,0.01,15.52,12.4
6.0,AUDUSD,,2026-05,2026-05-26 23:15:00,2026-05-27 00:30:00,BUY,0.71683,0.71671,0.71755,0.71755,win,72.0,6.0,,,ORB,2026-05-26 23:15:00,704.6,211.38,915.99,15.0,2026-05-26,0.71683,0.71671,0.8155,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-05,2026-05-28 04:30:00,2026-05-29 04:30:00,BUY,213.45,213.30888,214.29672,214.07,timeout,62000.0,4.3934,94.0,Entry Model 3 - Confirmation of Internal Structure,LTA,2026-05-28 04:30:00,915.99,201.21,1117.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,USDCAD,M30,2026-05,2026-05-28 23:00:00,2026-05-29 03:00:00,SELL,1.37822,1.37872,1.37522,1.37872,loss,-50.0,-1.0,96.0,Entry Model 2 - Internal Swing Confirmation,LTA,2026-05-28 23:00:00,1117.2,-55.86,1061.34,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-28 23:15:00,2026-05-29 00:00:00,SELL,0.71623,0.71646,0.71485,0.71646,loss,-23.0,-1.0,,,ORB,2026-05-28 23:15:00,1061.34,-53.07,1008.27,15.0,2026-05-28,0.71646,0.71623,1.1882,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-05,2026-05-31 23:15:00,2026-06-01 00:00:00,BUY,0.71822,0.71778,0.72086,0.71778,loss,-44.0,-1.0,,,ORB,2026-05-31 23:15:00,1008.27,-50.41,957.86,15.0,2026-05-31,0.71822,0.71778,1.1536,,,,,,,,,,,,,,,,,,,,,
3.0,USDCHF,,2026-06,2026-06-01 23:15:00,2026-06-02 00:00:00,SELL,0.78642,0.78663,0.78579,0.78663,loss,-21.0,-1.0,,,ORB,2026-06-01 23:15:00,957.86,-47.89,909.97,15.0,2026-06-01,0.78663,0.78642,1.0849,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-06,2026-06-02 00:00:00,2026-06-02 00:45:00,BUY,214.905,214.79129,215.58726,214.79129,loss,-11371.0,-1.0,90.0,Entry Model 1 - Double Wick Confirmation,LTA,2026-06-02 00:00:00,909.97,-45.5,864.47,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-02 23:15:00,2026-06-03 00:15:00,SELL,0.71756,0.7178,0.71612,0.7178,loss,-24.0,-1.0,,,ORB,2026-06-02 23:15:00,864.47,-43.22,821.24,15.0,2026-06-02,0.7178,0.71756,1.3228,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-03 23:15:00,2026-06-04 06:00:00,SELL,0.71287,0.71368,0.70801,0.71307,timeout,-20.0,-0.2469,,,ORB,2026-06-03 23:15:00,821.24,-10.14,811.11,15.0,2026-06-03,0.71368,0.71287,3.4892,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,M30,2026-06,2026-06-04 03:30:00,2026-06-05 01:00:00,BUY,0.71273,0.71213,0.71633,0.71213,loss,-60.0,-1.0,95.0,Entry Model 1 - Double Wick Confirmation,LTA,2026-06-04 03:30:00,811.11,-40.56,770.55,,,,,,,,,,,,,,,,,,,,,,,,,,
