rr,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,pnl,r_multiple,setup_score,entry_model,bot
6,GBPJPY,M15,2026-05,2026-05-19 00:45:00,2026-05-19 12:15:00,SELL,213.375,213.48219,212.73186,213.48219,loss,-10719.0,-1.0,94,Entry Model 1 - Double Wick Confirmation,LTA
6,USDCAD,M30,2026-05,2026-05-21 23:00:00,2026-05-22 10:30:00,BUY,1.3776,1.37725,1.3797,1.3797,win,210.0,6.0,91,Entry Model 1 - Double Wick Confirmation,LTA
6,GBPJPY,M15,2026-05,2026-05-28 04:30:00,2026-05-29 04:30:00,BUY,213.45,213.30888,214.29672,214.07,timeout,62000.0,4.3934,94,Entry Model 3 - Confirmation of Internal Structure,LTA
6,USDCAD,M30,2026-05,2026-05-28 23:00:00,2026-05-29 03:00:00,SELL,1.37822,1.37872,1.37522,1.37872,loss,-50.0,-1.0,96,Entry Model 2 - Internal Swing Confirmation,LTA
6,GBPJPY,M15,2026-06,2026-06-02 00:00:00,2026-06-02 00:45:00,BUY,214.905,214.79129,215.58726,214.79129,loss,-11371.0,-1.0,90,Entry Model 1 - Double Wick Confirmation,LTA
6,AUDUSD,M30,2026-06,2026-06-04 03:30:00,2026-06-05 01:00:00,BUY,0.71273,0.71213,0.71633,0.71213,loss,-60.0,-1.0,95,Entry Model 1 - Double Wick Confirmation,LTA
6,GBPJPY,M15,2026-06,2026-06-05 03:45:00,2026-06-05 08:00:00,BUY,214.76,214.70062,215.11628,215.11628,win,35628.0,6.0,96,Entry Model 2 - Internal Swing Confirmation,LTA
6,GBPJPY,M15,2026-06,2026-06-08 23:15:00,2026-06-09 01:00:00,SELL,213.667,213.71422,213.38368,213.71422,loss,-4722.0,-1.0,92,Entry Model 2 - Internal Swing Confirmation,LTA
6,GBPJPY,M15,2026-06,2026-06-09 03:45:00,2026-06-09 11:00:00,BUY,213.924,213.81312,214.58928,214.58928,win,66528.0,6.0,100,Entry Model 2 - Internal Swing Confirmation,LTA
6,USDCAD,M30,2026-06,2026-06-11 02:00:00,2026-06-11 08:30:00,BUY,1.39366,1.39303,1.39744,1.39744,win,378.0,6.0,93,Entry Model 2 - Internal Swing Confirmation,LTA
6,GBPJPY,M15,2026-06,2026-06-11 23:15:00,2026-06-11 23:45:00,SELL,214.707,214.81147,214.08018,214.81147,loss,-10447.0,-1.0,95,Entry Model 3 - Confirmation of Internal Structure,LTA
6,GBPJPY,M15,2026-06,2026-06-12 00:45:00,2026-06-12 02:00:00,SELL,214.748,214.85685,214.0949,214.85685,loss,-10885.0,-1.0,92,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,LTA
6,GBPJPY,M15,2026-06,2026-06-16 05:15:00,2026-06-16 07:00:00,SELL,214.729,214.8027,214.2868,214.8027,loss,-7370.0,-1.0,100,Entry Model 2 - Internal Swing Confirmation,LTA
