symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,pnl,range_high,range_low,range_atr,bot
AUDUSD,15,6,2026-05,2026-05-19,2026-05-19 23:15:00,2026-05-19 23:45:00,BUY,0.71082,0.7107,0.71154,0.7107,loss,-1.0,-12.0,0.71082,0.7107,0.5714,ORB
AUDUSD,15,6,2026-05,2026-05-20,2026-05-20 23:15:00,2026-05-20 23:45:00,SELL,0.71501,0.71521,0.71381,0.71521,loss,-1.0,-20.0,0.71521,0.71501,0.7609,ORB
AUDUSD,15,6,2026-05,2026-05-21,2026-05-21 23:15:00,2026-05-22 00:45:00,SELL,0.715,0.71516,0.71404,0.71404,win,6.0,96.0,0.71516,0.715,0.5283,ORB
NZDUSD,15,3,2026-05,2026-05-24,2026-05-24 23:15:00,2026-05-25 01:15:00,SELL,0.58768,0.58795,0.58687,0.58795,loss,-1.0,-27.0,0.58795,0.58768,0.7515,ORB
AUDUSD,15,6,2026-05,2026-05-25,2026-05-25 23:15:00,2026-05-26 05:00:00,SELL,0.71732,0.71754,0.716,0.716,win,6.0,132.0,0.71754,0.71732,1.0883,ORB
AUDUSD,15,6,2026-05,2026-05-26,2026-05-26 23:15:00,2026-05-27 00:30:00,BUY,0.71683,0.71671,0.71755,0.71755,win,6.0,72.0,0.71683,0.71671,0.8155,ORB
AUDUSD,15,6,2026-05,2026-05-28,2026-05-28 23:15:00,2026-05-29 00:00:00,SELL,0.71623,0.71646,0.71485,0.71646,loss,-1.0,-23.0,0.71646,0.71623,1.1882,ORB
AUDUSD,15,6,2026-05,2026-05-31,2026-05-31 23:15:00,2026-06-01 00:00:00,BUY,0.71822,0.71778,0.72086,0.71778,loss,-1.0,-44.0,0.71822,0.71778,1.1536,ORB
USDCHF,15,3,2026-06,2026-06-01,2026-06-01 23:15:00,2026-06-02 00:00:00,SELL,0.78642,0.78663,0.78579,0.78663,loss,-1.0,-21.0,0.78663,0.78642,1.0849,ORB
AUDUSD,15,6,2026-06,2026-06-02,2026-06-02 23:15:00,2026-06-03 00:15:00,SELL,0.71756,0.7178,0.71612,0.7178,loss,-1.0,-24.0,0.7178,0.71756,1.3228,ORB
AUDUSD,15,6,2026-06,2026-06-03,2026-06-03 23:15:00,2026-06-04 06:00:00,SELL,0.71287,0.71368,0.70801,0.71307,timeout,-0.2469,-20.0,0.71368,0.71287,3.4892,ORB
AUDUSD,15,6,2026-06,2026-06-04,2026-06-04 23:15:00,2026-06-04 23:30:00,BUY,0.71353,0.7133,0.71491,0.7133,loss,-1.0,-23.0,0.71353,0.7133,1.382,ORB
AUDUSD,15,6,2026-06,2026-06-07,2026-06-07 23:15:00,2026-06-08 06:00:00,BUY,0.70381,0.70313,0.70789,0.70383,timeout,0.0294,2.0,0.70381,0.70313,1.1347,ORB
AUDUSD,15,6,2026-06,2026-06-08,2026-06-08 23:15:00,2026-06-08 23:45:00,SELL,0.70444,0.70451,0.70402,0.70402,win,6.0,42.0,0.70451,0.70444,0.3712,ORB
AUDUSD,15,6,2026-06,2026-06-09,2026-06-09 23:15:00,2026-06-09 23:45:00,SELL,0.70179,0.70224,0.69909,0.70224,loss,-1.0,-45.0,0.70224,0.70179,1.3433,ORB
NZDUSD,15,3,2026-06,2026-06-10,2026-06-10 23:15:00,2026-06-11 01:00:00,BUY,0.57894,0.57857,0.58005,0.58005,win,3.0,111.0,0.57894,0.57857,0.89,ORB
AUDUSD,15,6,2026-06,2026-06-11,2026-06-11 23:15:00,2026-06-12 02:30:00,SELL,0.70489,0.70523,0.70285,0.70285,win,6.0,204.0,0.70523,0.70489,0.6781,ORB
AUDUSD,15,6,2026-06,2026-06-14,2026-06-14 23:15:00,2026-06-14 23:45:00,SELL,0.70718,0.7077,0.70406,0.7077,loss,-1.0,-52.0,0.7077,0.70718,0.7679,ORB
NZDUSD,15,3,2026-06,2026-06-15,2026-06-15 23:15:00,2026-06-16 00:15:00,BUY,0.58268,0.58237,0.58361,0.58237,loss,-1.0,-31.0,0.58268,0.58237,1.3822,ORB
AUDUSD,15,6,2026-06,2026-06-16,2026-06-16 23:15:00,2026-06-16 23:45:00,BUY,0.70691,0.70675,0.70787,0.70675,loss,-1.0,-16.0,0.70691,0.70675,0.8327,ORB
AUDUSD,15,6,2026-06,2026-06-17,2026-06-17 23:15:00,2026-06-18 06:00:00,BUY,0.70183,0.70141,0.70435,0.70327,timeout,3.4286,144.0,0.70183,0.70141,1.0519,ORB
AUDUSD,15,6,2026-06,2026-06-18,2026-06-18 23:15:00,2026-06-19 01:00:00,SELL,0.70163,0.70176,0.70085,0.70085,win,6.0,78.0,0.70176,0.70163,0.4764,ORB
